ts_et,strike,side,bid,ask
16:08:18,7385.0,sell,23.7,24.1
16:08:23,7435.0,buy,31.9,32.3
16:08:23,7385.0,sell,23.7,24.1
16:08:28,7435.0,buy,32.0,32.3
16:08:28,7385.0,sell,23.8,24.1
16:08:33,7435.0,buy,31.9,32.2
16:08:33,7385.0,sell,23.7,24.1
16:08:38,7435.0,buy,31.8,32.2
16:08:38,7385.0,sell,23.7,24.0
16:08:43,7435.0,buy,31.8,32.2
16:08:43,7385.0,sell,23.7,24.0
16:08:48,7435.0,buy,31.9,32.2
16:08:48,7385.0,sell,23.7,24.1
16:08:53,7435.0,buy,31.9,32.2
16:08:53,7385.0,sell,23.7,24.1
16:08:58,7435.0,buy,31.9,32.3
16:08:58,7385.0,sell,23.7,24.1
16:09:03,7435.0,buy,31.9,32.2
16:09:03,7385.0,sell,23.7,24.1
16:09:08,7435.0,buy,31.9,32.3
16:09:08,7385.0,sell,23.7,24.1
16:09:13,7435.0,buy,31.9,32.2
16:09:13,7385.0,sell,23.7,24.1
16:09:18,7435.0,buy,31.9,32.2
16:09:18,7385.0,sell,23.7,24.0
16:09:23,7435.0,buy,31.8,32.2
16:09:23,7385.0,sell,23.7,24.0
16:09:28,7435.0,buy,31.9,32.2
16:09:28,7385.0,sell,23.7,24.1
16:09:33,7435.0,buy,31.9,32.3
16:09:33,7385.0,sell,23.7,24.1
16:09:38,7435.0,buy,31.9,32.2
16:09:38,7385.0,sell,23.7,24.0
16:09:43,7435.0,buy,31.6,32.2
16:09:43,7385.0,sell,23.5,24.0
16:09:48,7435.0,buy,31.8,32.2
16:09:48,7385.0,sell,23.7,24.0
16:09:53,7435.0,buy,31.8,32.2
16:09:53,7385.0,sell,23.7,24.1
16:09:58,7435.0,buy,32.0,32.4
16:09:58,7385.0,sell,23.8,24.2
16:10:03,7435.0,buy,32.2,32.6
16:10:03,7385.0,sell,24.0,24.3
16:10:09,7435.0,buy,32.2,32.6
16:10:09,7385.0,sell,24.0,24.3
16:10:13,7435.0,buy,32.4,32.7
16:10:13,7385.0,sell,24.1,24.5
16:10:19,7435.0,buy,32.4,32.8
16:10:19,7385.0,sell,24.2,24.5
16:10:24,7435.0,buy,32.4,32.8
16:10:24,7385.0,sell,24.2,24.5
16:10:29,7435.0,buy,32.4,32.7
16:10:29,7385.0,sell,24.1,24.5
16:10:34,7435.0,buy,32.4,32.8
16:10:34,7385.0,sell,24.2,24.5
16:10:39,7435.0,buy,32.4,32.8
16:10:39,7385.0,sell,24.2,24.5
16:10:44,7435.0,buy,32.4,32.8
16:10:44,7385.0,sell,24.2,24.5
16:10:49,7435.0,buy,32.4,32.8
16:10:49,7385.0,sell,24.2,24.5
16:10:54,7435.0,buy,32.5,32.9
16:10:54,7385.0,sell,24.2,24.6
16:10:59,7435.0,buy,32.5,32.8
16:10:59,7385.0,sell,24.2,24.5
16:11:04,7435.0,buy,32.4,32.8
16:11:04,7385.0,sell,24.2,24.5
16:11:09,7435.0,buy,32.5,32.8
16:11:09,7385.0,sell,24.2,24.6
16:11:14,7435.0,buy,32.5,32.9
16:11:14,7385.0,sell,24.3,24.6
16:11:19,7435.0,buy,32.5,32.9
16:11:19,7385.0,sell,24.3,24.6
16:11:24,7435.0,buy,32.6,33.0
16:11:24,7385.0,sell,24.3,24.7
16:11:29,7435.0,buy,32.7,33.0
16:11:29,7385.0,sell,24.4,24.7
16:11:34,7435.0,buy,32.6,33.0
16:11:34,7385.0,sell,24.4,24.7
16:11:39,7435.0,buy,32.7,33.0
16:11:39,7385.0,sell,24.4,24.7
16:11:44,7435.0,buy,32.6,33.0
16:11:44,7385.0,sell,24.4,24.7
16:11:49,7435.0,buy,32.6,33.0
16:11:49,7385.0,sell,24.3,24.7
16:11:54,7435.0,buy,32.6,33.0
16:11:54,7385.0,sell,24.3,24.7
16:11:59,7435.0,buy,32.5,32.9
16:11:59,7385.0,sell,24.3,24.6
16:12:04,7435.0,buy,32.7,33.1
16:12:04,7385.0,sell,24.4,24.8
16:12:09,7435.0,buy,32.7,33.1
16:12:09,7385.0,sell,24.4,24.8
16:12:14,7435.0,buy,32.5,32.9
16:12:14,7385.0,sell,24.3,24.6
16:12:19,7435.0,buy,32.7,33.1
16:12:19,7385.0,sell,24.4,24.8
16:12:24,7435.0,buy,32.7,33.0
16:12:24,7385.0,sell,24.4,24.7
16:12:29,7435.0,buy,32.6,33.0
16:12:29,7385.0,sell,24.3,24.7
16:12:34,7435.0,buy,32.5,32.9
16:12:34,7385.0,sell,24.3,24.6
16:12:39,7435.0,buy,32.6,33.0
16:12:39,7385.0,sell,24.3,24.7
16:12:44,7435.0,buy,32.6,33.0
16:12:44,7385.0,sell,24.3,24.7
16:12:49,7435.0,buy,32.6,33.0
16:12:49,7385.0,sell,24.3,24.7
16:12:54,7435.0,buy,32.6,33.0
16:12:54,7385.0,sell,24.3,24.7
16:12:59,7435.0,buy,32.5,32.9
16:12:59,7385.0,sell,24.3,24.6
16:13:04,7435.0,buy,32.4,32.8
16:13:04,7385.0,sell,24.2,24.5
16:13:09,7435.0,buy,32.4,32.8
16:13:09,7385.0,sell,24.2,24.6
16:13:14,7435.0,buy,32.4,32.8
16:13:14,7385.0,sell,24.2,24.5
