book,trade_id,strategy,source,structure,occ_root,leg_idx,side,right,strike,expiry,qty,entry_dt_ct,exit_dt_ct,fill_model,close_reason,credit,exit_cost
SPX,auto_20260810_090247,openfly_p,auto_trigger,vertical 25pt,SPXW,0,buy,P,7735.0,20260810,1,2026-08-10 09:02,2026-08-10 10:42,paper_fill,level ACCEPTED: spot 7758 held below the 7760 short strike for 11min (>10) — the wall we sold did not hold,7.1,6.35
SPX,auto_20260810_090247,openfly_p,auto_trigger,vertical 25pt,SPXW,1,sell,P,7760.0,20260810,1,2026-08-10 09:02,2026-08-10 10:42,paper_fill,level ACCEPTED: spot 7758 held below the 7760 short strike for 11min (>10) — the wall we sold did not hold,7.1,6.35
SPX,auto_20260810_090308,openfly_c,auto_trigger,vertical 25pt,SPXW,0,buy,C,7785.0,20260810,1,2026-08-10 09:03,2026-08-10 09:17,paper_fill,level ACCEPTED: spot 7765 held above the 7760 short strike for 10min (>10) — the wall we sold did not hold,7.9,9.65
SPX,auto_20260810_090308,openfly_c,auto_trigger,vertical 25pt,SPXW,1,sell,C,7760.0,20260810,1,2026-08-10 09:03,2026-08-10 09:17,paper_fill,level ACCEPTED: spot 7765 held above the 7760 short strike for 10min (>10) — the wall we sold did not hold,7.9,9.65
SPX,auto_20260810_090329,gx_bps,auto_trigger,vertical 25pt,SPXW,0,buy,P,7705.0,20260810,1,2026-08-10 09:03,2026-08-10 16:00,cash_settle,expired,1.5,0.0
SPX,auto_20260810_090329,gx_bps,auto_trigger,vertical 25pt,SPXW,1,sell,P,7730.0,20260810,1,2026-08-10 09:03,2026-08-10 16:00,cash_settle,expired,1.5,0.0
SPX,auto_20260810_090350,gx_bcs,auto_trigger,vertical 25pt,SPXW,0,buy,C,7800.0,20260810,1,2026-08-10 09:03,2026-08-10 16:00,cash_settle,expired,3.1,0.0
SPX,auto_20260810_090350,gx_bcs,auto_trigger,vertical 25pt,SPXW,1,sell,C,7775.0,20260810,1,2026-08-10 09:03,2026-08-10 16:00,cash_settle,expired,3.1,0.0
SPX,auto_20260811_083044,eodic_p,auto_trigger,vertical 25pt,SPXW,0,buy,P,7650.0,20260811,1,2026-08-11 08:30,2026-08-11 16:00,cash_settle,expired,0.15,0.0
SPX,auto_20260811_083044,eodic_p,auto_trigger,vertical 25pt,SPXW,1,sell,P,7675.0,20260811,1,2026-08-11 08:30,2026-08-11 16:00,cash_settle,expired,0.15,0.0
