ts_et,trade_id,spot,net_mid,net_spread,unreal_pnl,pop,ev,p_maxloss,sigma,max_gain,max_loss
2026-07-24 14:21:28,auto_20260724_085540,7423.82,-1.4,0.1,740.0,0.8212,485,0.0856,35.5,880,-1620
2026-07-24 14:21:28,auto_20260724_090200,7423.82,23.43,0.15,-787.5,0.4438,92,0.0167,35.5,12958,-3123
2026-07-24 14:23:41,auto_20260724_085540,7421.9,-1.38,0.15,742.5,0.8084,458,0.0934,35.1,880,-1620
2026-07-24 14:23:41,auto_20260724_090200,7421.9,22.62,0.25,-867.5,0.4273,-11,0.0171,35.1,12605,-3125
2026-07-24 14:25:55,auto_20260724_085540,7420.52,-1.68,0.15,712.5,0.7996,440,0.0961,34.7,880,-1620
2026-07-24 14:25:55,auto_20260724_090200,7420.52,21.52,0.35,-977.5,0.4123,-89,0.0173,34.7,12303,-3127
2026-07-24 14:28:08,auto_20260724_085540,7417.55,-2.25,0.1,655.0,0.7811,391,0.1104,34.3,880,-1620
2026-07-24 14:28:08,auto_20260724_090200,7417.55,20.7,0.4,-1060.0,0.3921,-213,0.0179,34.3,11842,-3123
2026-07-24 14:30:22,auto_20260724_085540,7415.2,-2.62,0.25,617.5,0.7618,350,0.1198,33.9,880,-1620
2026-07-24 14:30:22,auto_20260724_090200,7415.2,19.6,0.4,-1170.0,0.3794,-306,0.0183,33.9,11440,-3120
2026-07-24 14:32:36,auto_20260724_085540,7411.85,-3.62,0.25,517.5,0.7311,284,0.1365,33.4,880,-1620
2026-07-24 14:32:36,auto_20260724_090200,7411.85,19.1,0.2,-1220.0,0.3596,-406,0.0187,33.4,10935,-3119
2026-07-24 14:34:49,auto_20260724_085540,7405.75,-5.47,0.15,332.5,0.67,143,0.1788,33.0,880,-1620
2026-07-24 14:34:49,auto_20260724_090200,7405.75,19.45,0.3,-1185.0,0.3453,-495,0.0255,33.0,10154,-3108
2026-07-24 14:37:02,auto_20260724_085540,7406.85,-4.88,0.15,392.5,0.6872,177,0.1665,32.6,880,-1620
2026-07-24 14:37:02,auto_20260724_090200,7406.85,18.35,0.3,-1295.0,0.3378,-526,0.0255,32.6,10090,-3106
2026-07-24 14:39:15,auto_20260724_085540,7407.65,-4.38,0.15,442.5,0.6929,204,0.1586,32.1,880,-1620
2026-07-24 14:39:15,auto_20260724_090200,7407.65,17.6,0.4,-1370.0,0.3309,-557,0.0191,32.1,9995,-3122
2026-07-24 14:41:29,auto_20260724_085540,7403.45,-5.68,0.15,312.5,0.6525,100,0.1872,31.7,880,-1620
2026-07-24 14:41:29,auto_20260724_090200,7403.45,17.75,0.3,-1355.0,0.3256,-598,0.0191,31.7,9706,-3127
2026-07-24 14:43:42,auto_20260724_085540,7405.15,-4.95,0.2,385.0,0.67,152,0.1705,31.3,880,-1620
2026-07-24 14:43:42,auto_20260724_090200,7405.15,16.8,0.2,-1450.0,0.3173,-637,0.0191,31.3,9386,-3115
2026-07-24 14:45:55,auto_20260724_085540,7406.85,-4.38,0.15,442.5,0.6929,204,0.1548,30.8,880,-1620
2026-07-24 14:45:55,auto_20260724_090200,7406.85,16.45,0.3,-1485.0,0.3106,-669,0.0191,30.8,9373,-3118
2026-07-24 14:48:09,auto_20260724_085540,7409.95,-3.17,0.15,562.5,0.7311,291,0.1263,30.3,880,-1620
2026-07-24 14:48:09,auto_20260724_090200,7409.95,16.05,0.3,-1525.0,0.3082,-679,0.0189,30.3,9496,-3120
2026-07-24 14:50:22,auto_20260724_085540,7406.23,-4.23,0.15,457.5,0.6929,202,0.151,29.9,880,-1620
2026-07-24 14:50:22,auto_20260724_090200,7406.23,15.45,0.3,-1585.0,0.2951,-746,0.0255,29.9,8935,-3110
2026-07-24 14:52:35,auto_20260724_085540,7406.7,-4.12,0.25,467.5,0.6985,223,0.1436,29.4,880,-1620
2026-07-24 14:52:35,auto_20260724_090200,7406.7,15.5,0.4,-1580.0,0.2883,-783,0.0255,29.4,8790,-3112
2026-07-24 14:54:49,auto_20260724_085540,7407.12,-4.03,0.15,477.5,0.7095,242,0.1365,28.9,880,-1620
2026-07-24 14:54:49,auto_20260724_090200,7407.12,15.0,0.4,-1630.0,0.2778,-820,0.0255,28.9,8637,-3111
2026-07-24 14:57:02,auto_20260724_085540,7409.55,-3.13,0.15,567.5,0.7415,315,0.1135,28.4,880,-1620
2026-07-24 14:57:02,auto_20260724_090200,7409.55,15.3,0.2,-1600.0,0.2791,-836,0.0189,28.4,8681,-3129
2026-07-24 14:59:16,auto_20260724_085540,7408.88,-3.27,0.25,552.5,0.7363,307,0.1135,27.9,880,-1620
2026-07-24 14:59:16,auto_20260724_090200,7408.88,14.6,0.2,-1670.0,0.2671,-884,0.0253,27.9,8412,-3116
2026-07-24 15:01:29,auto_20260724_085540,7412.5,-2.35,0.1,645.0,0.7811,408,0.0882,27.4,880,-1620
2026-07-24 15:01:29,auto_20260724_090200,7412.5,15.25,0.3,-1605.0,0.2699,-865,0.0185,27.4,8567,-3124
2026-07-24 15:03:42,auto_20260724_085540,7406.75,-3.83,0.25,497.5,0.7204,269,0.1198,26.8,880,-1620
2026-07-24 15:03:42,auto_20260724_090200,7406.75,13.85,0.3,-1745.0,0.247,-984,0.0191,26.8,7782,-3127
2026-07-24 15:05:56,auto_20260724_085540,7408.85,-2.97,0.25,582.5,0.7467,337,0.1017,26.3,880,-1620
2026-07-24 15:05:56,auto_20260724_090200,7408.85,13.9,0.4,-1740.0,0.238,-1009,0.019,26.3,7778,-3124
2026-07-24 15:08:09,auto_20260724_085540,7401.48,-5.73,0.15,307.5,0.6525,128,0.1548,25.8,880,-1620
2026-07-24 15:08:09,auto_20260724_090200,7401.48,14.55,0.3,-1675.0,0.2282,-1056,0.0253,25.8,7527,-3111
2026-07-24 15:10:22,auto_20260724_085540,7400.25,-6.22,0.15,257.5,0.6406,96,0.1625,25.2,880,-1620
2026-07-24 15:10:22,auto_20260724_090200,7400.25,14.95,0.3,-1635.0,0.2233,-1084,0.0251,25.2,7427,-3121
2026-07-24 15:12:35,auto_20260724_085540,7405.2,-4.1,0.2,470.0,0.715,266,0.1135,24.6,880,-1620
2026-07-24 15:12:35,auto_20260724_090200,7405.2,13.5,0.4,-1780.0,0.2062,-1165,0.0255,24.6,6744,-3111
2026-07-24 15:14:49,auto_20260724_085540,7400.23,-5.7,0.2,310.0,0.6466,114,0.151,24.1,880,-1620
2026-07-24 15:14:49,auto_20260724_090200,7400.23,14.0,0.2,-1730.0,0.2038,-1174,0.025,24.1,6967,-3115
2026-07-24 15:17:02,auto_20260724_085540,7399.88,-5.78,0.15,302.5,0.6466,112,0.1473,23.5,880,-1620
2026-07-24 15:17:02,auto_20260724_090200,7399.88,13.9,0.2,-1740.0,0.1924,-1215,0.0249,23.5,6762,-3117
2026-07-24 15:19:15,auto_20260724_085540,7401.07,-5.33,0.25,347.5,0.67,166,0.1296,22.8,880,-1620
2026-07-24 15:19:15,auto_20260724_090200,7401.07,13.3,0.2,-1800.0,0.1779,-1281,0.0252,22.8,6398,-3121
2026-07-24 15:21:29,auto_20260724_085540,7401.12,-4.97,0.15,382.5,0.67,180,0.123,22.2,880,-1620
2026-07-24 15:21:29,auto_20260724_090200,7401.12,12.8,0.4,-1850.0,0.1631,-1332,0.0189,22.2,6140,-3127
2026-07-24 15:23:42,auto_20260724_085540,7402.02,-4.78,0.15,402.5,0.6929,226,0.1075,21.6,880,-1620
2026-07-24 15:23:42,auto_20260724_090200,7402.02,12.35,0.3,-1895.0,0.1491,-1394,0.0253,21.6,5790,-3118
