ts_et,strike,side,bid,ask
16:10:26,7325.0,sell,47.1,47.6
16:10:26,7225.0,buy,29.6,30.0
16:10:31,7325.0,sell,47.2,47.7
16:10:31,7225.0,buy,29.7,30.1
16:10:36,7325.0,sell,47.3,47.8
16:10:36,7225.0,buy,29.8,30.2
16:10:41,7325.0,sell,47.2,47.7
16:10:41,7225.0,buy,29.7,30.1
16:10:46,7325.0,sell,47.2,47.7
16:10:46,7225.0,buy,29.7,30.1
16:10:51,7325.0,sell,47.2,47.7
16:10:51,7225.0,buy,29.7,30.1
16:10:56,7325.0,sell,47.3,47.8
16:10:56,7225.0,buy,29.7,30.1
16:11:01,7325.0,sell,47.3,47.8
16:11:01,7225.0,buy,29.7,30.2
16:11:06,7325.0,sell,47.3,47.8
16:11:06,7225.0,buy,29.7,30.1
16:11:11,7325.0,sell,47.2,47.6
16:11:11,7225.0,buy,29.7,30.0
16:11:16,7325.0,sell,47.2,47.6
16:11:16,7225.0,buy,29.7,30.0
16:11:21,7325.0,sell,47.3,47.7
16:11:21,7225.0,buy,29.7,30.1
16:11:26,7325.0,sell,47.3,47.6
16:11:26,7225.0,buy,29.7,30.0
16:11:31,7325.0,sell,47.1,47.6
16:11:31,7225.0,buy,29.6,30.0
16:11:36,7325.0,sell,47.2,47.6
16:11:36,7225.0,buy,29.6,30.0
16:11:41,7325.0,sell,47.1,47.6
16:11:41,7225.0,buy,29.5,30.0
16:11:46,7325.0,sell,47.1,47.6
16:11:46,7225.0,buy,29.5,29.9
16:11:51,7325.0,sell,47.1,47.6
16:11:51,7225.0,buy,29.5,30.0
16:11:56,7325.0,sell,47.1,47.6
16:11:56,7225.0,buy,29.6,30.0
16:12:01,7325.0,sell,47.1,47.6
16:12:01,7225.0,buy,29.6,30.0
16:12:06,7325.0,sell,47.1,47.6
16:12:06,7225.0,buy,29.6,30.0
16:12:11,7325.0,sell,47.1,47.5
16:12:11,7225.0,buy,29.5,29.9
16:12:16,7325.0,sell,47.1,47.6
16:12:16,7225.0,buy,29.5,30.0
16:12:21,7325.0,sell,47.0,47.5
16:12:21,7225.0,buy,29.5,29.9
16:12:26,7325.0,sell,46.8,47.3
16:12:26,7225.0,buy,29.3,29.8
16:12:31,7325.0,sell,46.8,47.3
16:12:31,7225.0,buy,29.3,29.7
16:12:36,7325.0,sell,46.8,47.4
16:12:36,7225.0,buy,29.3,29.8
16:12:41,7325.0,sell,46.9,47.4
16:12:41,7225.0,buy,29.4,29.8
16:12:47,7325.0,sell,46.9,47.4
16:12:47,7225.0,buy,29.4,29.8
16:12:52,7325.0,sell,46.9,47.4
16:12:52,7225.0,buy,29.4,29.8
16:12:57,7325.0,sell,46.9,47.3
16:12:57,7225.0,buy,29.4,29.8
16:13:02,7325.0,sell,46.9,47.4
16:13:02,7225.0,buy,29.4,29.8
16:13:07,7325.0,sell,46.9,47.4
16:13:07,7225.0,buy,29.4,29.8
16:13:12,7325.0,sell,46.9,47.3
16:13:12,7225.0,buy,29.4,29.8
16:13:17,7325.0,sell,46.9,47.4
16:13:17,7225.0,buy,29.4,29.8
16:13:22,7325.0,sell,46.8,47.3
16:13:22,7225.0,buy,29.3,29.7
16:13:27,7325.0,sell,46.8,47.2
16:13:27,7225.0,buy,29.3,29.7
16:13:32,7325.0,sell,46.6,47.1
16:13:32,7225.0,buy,29.2,29.6
16:13:37,7325.0,sell,46.6,47.1
16:13:37,7225.0,buy,29.2,29.6
16:13:42,7325.0,sell,46.6,47.0
16:13:42,7225.0,buy,29.2,29.5
16:13:47,7325.0,sell,46.6,47.0
16:13:47,7225.0,buy,29.2,29.5
16:13:52,7325.0,sell,46.6,47.0
16:13:52,7225.0,buy,29.2,29.5
16:13:57,7325.0,sell,46.6,47.1
16:13:57,7225.0,buy,29.2,29.6
16:14:02,7325.0,sell,46.8,47.3
