Date,book,dir,fill_bar,net
2023-10-20,FADE-L,L,50,-942.5
2023-10-24,FADE-L,L,10,-880.0
2023-10-25,FADE-S,S,11,-880.0
2023-10-25,WT-S,S,47,45.0
2023-10-26,FADE-S,S,13,-892.5
2023-10-27,WT-L,L,30,-880.0
2023-10-31,FADE-S,S,12,-880.0
2023-10-31,FADE-S,S,24,-880.0
2023-10-31,WT-L,L,62,120.0
2023-11-03,FADE-S,S,16,-792.5
2023-11-06,WT-S,S,54,-517.5
2023-11-07,WT-L,L,27,-105.0
2023-11-08,FADE-S,S,12,-117.5
2023-11-09,FADE-S,S,14,-642.5
2023-11-09,FADE-S,S,50,870.0
2023-11-10,FADE-S,S,11,-630.0
2023-11-10,WT-L,L,61,582.5
2023-11-10,WT-L,L,64,520.0
2023-11-13,WT-L,L,36,-105.0
2023-11-16,FADE-S,S,17,-592.5
2023-11-17,WT-L,L,42,95.0
2023-11-20,FADE-S,S,23,-542.5
2023-11-21,FADE-L,L,27,7.5
2023-11-22,FADE-S,S,22,-555.0
2023-11-24,FADE-L,L,14,7.5
2023-11-28,FADE-L,L,47,270.0
2023-11-29,WT-S,S,31,-342.5
2023-11-30,WT-L,L,13,-367.5
2023-12-01,WT-S,S,56,-380.0
2023-12-01,WT-L,L,62,195.0
2023-12-05,FADE-S,S,26,-180.0
2023-12-05,WT-S,S,37,-392.5
2023-12-05,FADE-S,S,55,-392.5
2023-12-06,WT-S,S,31,945.0
2023-12-06,WT-S,S,51,782.5
2023-12-07,WT-L,L,62,-180.0
2023-12-08,WT-L,L,23,820.0
2023-12-12,WT-L,L,28,882.5
2023-12-12,WT-L,L,45,732.5
2023-12-14,FADE-S,S,9,-580.0
2023-12-14,FADE-L,L,63,70.0
2023-12-15,WT-L,L,9,-592.5
2023-12-15,WT-L,L,19,-592.5
2023-12-19,WT-L,L,28,132.5
2023-12-19,WT-L,L,56,170.0
2023-12-28,WT-S,S,30,32.5
2023-12-29,WT-L,L,59,-55.0
2024-01-03,FADE-S,S,8,-530.0
2024-01-03,FADE-S,S,48,-530.0
2024-01-05,WT-S,S,47,-567.5
2024-01-05,FADE-L,L,57,-567.5
2024-01-11,WT-L,L,49,732.5
2024-01-12,FADE-L,L,32,195.0
2024-01-16,WT-L,L,18,-580.0
2024-01-16,WT-S,S,43,-417.5
2024-01-16,FADE-S,S,54,-580.0
2024-01-18,WT-S,S,12,-592.5
2024-01-18,WT-S,S,37,-592.5
2024-01-19,WT-L,L,32,2082.5
2024-01-22,WT-S,S,29,270.0
2024-01-22,WT-S,S,63,70.0
2024-01-23,FADE-S,S,10,-567.5
2024-01-23,WT-S,S,33,-567.5
2024-01-26,FADE-L,L,46,-92.5
2024-02-01,WT-L,L,49,1795.0
2024-02-02,WT-L,L,22,982.5
2024-02-02,WT-L,L,34,-630.0
2024-02-07,FADE-S,S,57,-55.0
2024-02-08,WT-S,S,12,-205.0
2024-02-08,WT-L,L,58,170.0
2024-02-09,FADE-L,L,32,632.5
2024-02-12,FADE-L,L,29,-630.0
2024-02-14,WT-L,L,14,-667.5
2024-02-14,FADE-L,L,42,1270.0
2024-02-14,FADE-L,L,65,982.5
2024-02-15,FADE-L,L,11,-642.5
2024-02-15,WT-S,S,23,-642.5
2024-02-15,WT-L,L,52,495.0
2024-02-16,FADE-L,L,16,-592.5
2024-02-20,FADE-S,S,24,107.5
2024-02-21,WT-S,S,39,-530.0
2024-02-21,FADE-L,L,51,-530.0
2024-02-23,FADE-S,S,10,907.5
2024-02-26,WT-S,S,58,607.5
2024-02-27,WT-L,L,11,-592.5
2024-02-27,FADE-L,L,60,357.5
2024-02-29,WT-S,S,13,-505.0
2024-02-29,WT-S,S,34,-505.0
2024-03-01,FADE-S,S,12,-517.5
2024-03-01,WT-L,L,42,332.5
2024-03-04,WT-L,L,20,-330.0
2024-03-04,WT-L,L,43,-530.0
2024-03-04,FADE-L,L,54,-530.0
2024-03-05,FADE-S,S,42,20.0
2024-03-06,WT-S,S,14,-580.0
2024-03-06,WT-S,S,58,-192.5
2024-03-06,WT-S,S,63,-242.5
2024-03-07,FADE-L,L,13,57.5
2024-03-07,WT-L,L,39,-30.0
2024-03-07,WT-L,L,62,-580.0
2024-03-08,FADE-S,S,15,2357.5
2024-03-12,WT-L,L,22,-617.5
2024-03-12,WT-S,S,43,-617.5
2024-03-14,FADE-S,S,64,-342.5
2024-03-19,WT-L,L,32,1282.5
2024-03-20,WT-L,L,24,2495.0
2024-03-21,WT-L,L,8,-717.5
2024-03-21,WT-S,S,49,395.0
2024-03-21,FADE-S,S,55,7.5
2024-03-22,WT-S,S,27,270.0
2024-03-26,FADE-L,L,9,-592.5
2024-03-26,FADE-L,L,21,-592.5
2024-03-26,WT-S,S,59,820.0
2024-03-27,FADE-S,S,52,-530.0
2024-03-27,FADE-S,S,63,-530.0
2024-03-28,FADE-L,L,14,-555.0
2024-03-28,FADE-L,L,55,-217.5
2024-04-01,WT-S,S,18,20.0
2024-04-01,WT-S,S,31,-505.0
2024-04-01,FADE-L,L,57,157.5
2024-04-03,FADE-L,L,46,-505.0
2024-04-08,FADE-S,S,23,207.5
2024-04-09,FADE-L,L,30,-630.0
2024-04-11,FADE-L,L,51,95.0
2024-04-16,FADE-L,L,18,-17.5
2024-04-16,WT-S,S,54,-967.5
2024-04-17,FADE-S,S,16,1520.0
2024-04-18,WT-S,S,36,1420.0
2024-04-18,WT-S,S,52,45.0
2024-04-19,FADE-S,S,13,1195.0
2024-04-22,WT-L,L,57,-967.5
2024-04-23,FADE-S,S,60,-130.0
2024-04-24,WT-S,S,33,-1017.5
2024-04-24,FADE-S,S,60,620.0
2024-04-26,WT-L,L,16,-180.0
2024-04-29,FADE-L,L,12,-1030.0
2024-04-30,WT-S,S,10,3632.5
2024-04-30,WT-S,S,30,2145.0
2024-04-30,FADE-S,S,63,1570.0
2024-05-01,WT-S,S,10,-967.5
2024-05-01,WT-S,S,36,-967.5
2024-05-06,FADE-L,L,14,820.0
2024-05-06,WT-L,L,65,420.0
2024-05-09,WT-L,L,25,645.0
2024-05-09,FADE-S,S,52,-680.0
2024-05-10,WT-S,S,29,-167.5
2024-05-10,WT-S,S,34,-167.5
2024-05-10,FADE-S,S,47,-392.5
2024-05-13,WT-S,S,56,-17.5
2024-05-15,FADE-L,L,12,1207.5
2024-05-15,WT-L,L,50,195.0
2024-05-16,WT-S,S,39,1045.0
2024-05-17,FADE-L,L,10,-530.0
2024-05-17,FADE-S,S,38,-530.0
2024-05-20,FADE-L,L,9,-505.0
2024-05-21,WT-L,L,26,507.5
2024-05-21,FADE-S,S,61,-480.0
2024-05-22,FADE-L,L,38,-492.5
2024-05-24,WT-L,L,29,20.0
2024-05-30,FADE-L,L,18,-517.5
2024-05-30,WT-L,L,38,-517.5
2024-05-30,FADE-S,S,51,1420.0
2024-05-31,WT-S,S,40,-530.0
2024-05-31,WT-L,L,60,3370.0
2024-06-04,WT-S,S,35,-705.0
2024-06-04,WT-L,L,43,1232.5
2024-06-04,WT-L,L,52,807.5
2024-06-05,WT-L,L,42,820.0
2024-06-07,FADE-L,L,31,-680.0
2024-06-10,FADE-L,L,19,545.0
2024-06-10,FADE-S,S,57,-92.5
2024-06-11,WT-L,L,64,370.0
2024-06-13,WT-S,S,15,-780.0
2024-06-13,FADE-L,L,42,682.5
2024-06-14,FADE-L,L,37,395.0
2024-06-17,FADE-L,L,14,2120.0
2024-06-24,WT-S,S,54,595.0
2024-06-24,WT-S,S,61,407.5
2024-06-25,FADE-L,L,27,-592.5
