Date,dir,net,yr,tr
2026-02-03,S,-495.0,2026,False
2026-02-12,S,1125.0,2026,False
2026-02-12,S,370.0,2026,False
2026-02-13,L,-695.0,2026,False
2026-02-17,L,-1480.0,2026,False
2026-02-19,L,-2755.0,2026,False
2026-03-10,S,185.0,2026,False
2026-03-17,L,-2410.0,2026,False
2026-03-20,S,2050.0,2026,False
2026-03-20,S,1100.0,2026,False
2026-04-07,S,-2410.0,2026,False
2026-04-07,S,-2410.0,2026,False
2026-04-09,L,90.0,2026,False
2026-04-10,L,-1040.0,2026,False
2026-04-10,S,-280.0,2026,False
2026-04-10,S,-975.0,2026,False
2026-04-22,L,2855.0,2026,False
2026-04-29,L,-1845.0,2026,False
2026-05-01,S,130.0,2026,False
2026-05-04,L,-1915.0,2026,False
2026-05-04,S,-425.0,2026,False
2026-05-04,S,-1915.0,2026,False
2026-05-07,S,-495.0,2026,False
2026-05-20,L,755.0,2026,False
2026-05-22,S,-2620.0,2026,False
2026-06-01,L,140.0,2026,False
2026-06-01,L,-1660.0,2026,False
2026-06-03,L,-2155.0,2026,False
2026-06-03,S,-175.0,2026,False
2026-06-16,S,4665.0,2026,False
2026-06-24,S,-4090.0,2026,False
2026-07-02,S,-2075.0,2026,False
