Date,dir,net
2023-08-08,S,-205.0
2023-08-08,L,570.0
2023-08-10,L,-205.0
2023-08-10,L,-205.0
2023-08-10,S,1995.0
2023-08-10,S,-205.0
2023-08-10,S,-205.0
2023-08-14,L,-205.0
2023-08-16,L,-205.0
2023-08-17,S,1032.5
2023-08-18,S,-205.0
2023-08-21,S,-205.0
2023-08-21,S,-205.0
2023-08-22,S,-205.0
2023-08-22,S,-205.0
2023-08-24,S,1945.0
2023-08-24,S,1920.0
2023-08-24,S,-205.0
2023-08-25,S,-205.0
2023-08-25,S,-205.0
2023-08-25,L,582.5
2023-08-28,S,-205.0
2023-08-28,S,-205.0
2023-08-29,L,-205.0
2023-08-29,L,820.0
2023-08-29,L,707.5
2023-08-31,S,-205.0
2023-09-01,L,-205.0
2023-09-01,S,-30.0
2023-09-01,S,-205.0
2023-09-07,S,-205.0
2023-09-08,L,-205.0
2023-09-08,L,-205.0
2023-09-11,L,357.5
2023-09-11,L,45.0
2023-09-12,S,-205.0
2023-09-12,S,-205.0
2023-09-12,S,-205.0
2023-09-12,S,332.5
2023-09-13,L,-205.0
2023-09-13,S,-205.0
2023-09-13,S,82.5
2023-09-14,L,-205.0
2023-09-14,L,332.5
2023-09-14,L,-205.0
2023-09-15,S,-30.0
2023-09-18,L,-205.0
2023-09-18,L,-205.0
2023-09-19,L,370.0
2023-09-20,L,-205.0
2023-09-22,L,-205.0
2023-09-22,L,-205.0
2023-09-22,L,-205.0
2023-09-26,S,-205.0
2023-09-29,S,-205.0
2023-09-29,S,-205.0
2023-10-02,S,-205.0
2023-10-02,S,-205.0
2023-10-03,S,357.5
2023-10-03,S,-205.0
2023-10-03,L,-205.0
2023-10-04,L,-205.0
2023-10-04,L,-205.0
2023-10-04,L,-205.0
2023-10-05,S,-205.0
2023-10-06,L,-205.0
2023-10-06,L,2445.0
2023-10-06,L,-205.0
2023-10-06,L,-205.0
2023-10-09,L,-205.0
2023-10-10,L,-205.0
2023-10-11,S,-205.0
2023-10-11,L,1107.5
2023-10-12,L,520.0
