Date,dir,variant,net
2022-02-17,S,retest6,1470.0
2022-02-17,S,base,1920.0
2022-02-17,S,be1.0,1920.0
2022-02-17,S,be0.5,1920.0
2022-02-17,S,tight6,145.0
2022-02-17,S,scale2x,2001.2
2022-02-17,S,retest2,1895.0
2022-02-17,S,retest6,1945.0
2022-02-22,S,base,-1030.0
2022-02-22,S,be1.0,-17.5
2022-02-22,S,be0.5,-17.5
2022-02-22,S,tight6,205.0
2022-02-22,S,scale2x,488.8
2022-02-22,S,retest2,-1030.0
2022-02-22,S,retest6,-1030.0
2022-02-22,S,base,-1030.0
2022-02-22,S,be1.0,-17.5
2022-02-22,S,be0.5,-17.5
2022-02-22,S,tight6,538.8
2022-02-22,S,scale2x,-1030.0
2022-02-22,S,retest2,-1030.0
2022-02-22,S,retest6,-1030.0
2022-02-23,S,base,-1067.5
2022-02-23,S,be1.0,-1067.5
2022-02-23,S,be0.5,-1067.5
2022-02-23,S,tight6,-667.5
2022-02-23,S,scale2x,-1067.5
2022-02-23,S,retest2,-1067.5
2022-02-23,S,retest6,-1067.5
2022-02-24,L,base,-1205.0
2022-02-24,L,be1.0,-1205.0
2022-02-24,L,be0.5,-17.5
2022-02-24,L,tight6,-127.5
2022-02-24,L,scale2x,-1205.0
2022-02-24,L,retest2,-1205.0
2022-02-24,L,retest6,-1205.0
2022-02-24,L,base,3382.5
2022-02-24,L,be1.0,3382.5
2022-02-24,L,be0.5,3382.5
2022-02-24,L,tight6,3382.5
2022-02-24,L,scale2x,2870.0
2022-02-24,L,retest2,3357.5
2022-02-24,L,retest6,3407.5
2022-03-01,S,base,1457.5
2022-03-01,S,be1.0,1457.5
2022-03-01,S,be0.5,-17.5
2022-03-01,S,tight6,183.7
2022-03-01,S,scale2x,2007.5
2022-03-01,S,retest2,1432.5
2022-03-01,S,retest6,1482.5
2022-03-01,S,base,982.5
2022-03-01,S,be1.0,982.5
2022-03-01,S,be0.5,982.5
2022-03-01,S,tight6,1151.2
2022-03-01,S,scale2x,1770.0
2022-03-01,S,retest2,957.5
2022-03-01,S,retest6,1007.5
2022-03-02,L,base,45.0
2022-03-02,L,be1.0,45.0
2022-03-02,L,be0.5,-17.5
2022-03-02,L,tight6,45.0
2022-03-02,L,scale2x,45.0
2022-03-02,L,retest2,20.0
2022-03-02,L,retest6,70.0
2022-03-02,L,base,-830.0
2022-03-02,L,be1.0,-830.0
2022-03-02,L,be0.5,-830.0
2022-03-02,L,tight6,-367.5
2022-03-02,L,scale2x,-830.0
2022-03-02,L,retest2,-855.0
2022-03-02,L,retest6,-805.0
2022-03-04,S,base,-1430.0
2022-03-04,S,be1.0,-1430.0
2022-03-04,S,be0.5,-1430.0
2022-03-04,S,tight6,-75.0
2022-03-04,S,scale2x,-1430.0
2022-03-04,S,retest2,-1430.0
2022-03-04,S,retest6,-1430.0
2022-03-04,S,base,-1430.0
2022-03-04,S,be1.0,-1430.0
2022-03-04,S,be0.5,-1430.0
2022-03-04,S,tight6,-917.5
2022-03-04,S,scale2x,-1430.0
2022-03-04,S,retest2,-1430.0
2022-03-04,S,retest6,-1430.0
2022-03-04,L,base,270.0
2022-03-04,L,be1.0,270.0
2022-03-04,L,be0.5,270.0
2022-03-04,L,tight6,-267.5
2022-03-04,L,scale2x,270.0
2022-03-04,L,retest2,245.0
2022-03-04,L,retest6,295.0
2022-03-07,S,base,2120.0
2022-03-07,S,be1.0,2120.0
2022-03-07,S,be0.5,2120.0
