Date,eod,reg,cut
2025-01-03,-505.0,-180.0,True
2025-01-14,-1155.0,570.0,True
2025-01-14,-1155.0,-217.5,True
2025-01-21,220.0,-292.5,True
2025-01-24,395.0,182.5,True
2025-01-28,-705.0,-442.5,True
2025-02-05,-917.5,-205.0,True
2025-02-10,-155.0,-55.0,True
2025-02-10,-292.5,-192.5,True
2025-02-11,295.0,-780.0,True
2025-02-11,257.5,257.5,False
2025-02-13,1345.0,-567.5,True
2025-02-14,-380.0,-280.0,True
2025-02-14,-192.5,-92.5,True
2025-02-14,-155.0,-230.0,True
2025-02-18,-692.5,-205.0,True
2025-02-18,-692.5,-367.5,True
2025-02-21,3095.0,3095.0,False
2025-02-21,782.5,782.5,False
2025-02-25,-742.5,-742.5,False
2025-02-26,-817.5,-617.5,True
2025-02-26,-817.5,-655.0,True
2025-03-03,-1092.5,-680.0,True
2025-03-03,2357.5,-442.5,True
2025-03-05,-1492.5,-580.0,True
2025-03-07,-1692.5,1382.5,True
2025-03-13,-242.5,-755.0,True
2025-03-18,-705.0,-442.5,True
2025-03-19,-1517.5,-880.0,True
2025-03-26,2482.5,2070.0,True
2025-03-26,970.0,557.5,True
2025-03-26,-167.5,-580.0,True
2025-03-28,432.5,-530.0,True
2025-04-01,-1205.0,-342.5,True
2025-04-15,557.5,-30.0,True
2025-04-24,2445.0,757.5,True
2025-04-24,2257.5,570.0,True
2025-04-29,-917.5,-367.5,True
2025-05-07,-1380.0,-342.5,True
2025-05-07,-1380.0,-605.0,True
2025-05-14,-92.5,-242.5,True
2025-05-22,-5.0,-530.0,True
2025-05-27,1295.0,1295.0,False
2025-05-27,670.0,670.0,False
2025-05-27,357.5,357.5,False
2025-05-28,-892.5,-192.5,True
2025-05-30,-955.0,-955.0,False
2025-06-05,1182.5,1182.5,False
2025-06-11,-867.5,245.0,True
2025-06-11,-867.5,-192.5,True
2025-06-11,1270.0,-80.0,True
2025-06-11,182.5,182.5,False
2025-06-17,-5.0,-367.5,True
2025-06-26,-80.0,-217.5,True
2025-06-30,395.0,-117.5,True
2025-07-02,657.5,282.5,True
2025-07-02,445.0,70.0,True
2025-07-02,282.5,-92.5,True
2025-07-09,-80.0,1032.5,True
2025-07-10,-605.0,-92.5,True
2025-07-18,-330.0,-267.5,True
2025-07-21,-680.0,-80.0,True
2025-07-25,570.0,682.5,True
2025-07-25,95.0,207.5,True
2025-07-25,-80.0,32.5,True
2025-07-25,-180.0,-67.5,True
2025-07-28,-505.0,-417.5,True
2025-07-29,370.0,370.0,False
2025-08-05,-767.5,-767.5,False
2025-08-11,-917.5,-355.0,True
2025-08-11,495.0,495.0,False
2025-08-12,445.0,445.0,False
2025-08-12,232.5,232.5,False
2025-08-14,-142.5,307.5,True
2025-08-19,695.0,620.0,True
2025-08-20,720.0,-305.0,True
2025-08-26,1470.0,-205.0,True
2025-08-26,1170.0,-242.5,True
2025-09-04,1557.5,-205.0,True
2025-09-04,1470.0,-292.5,True
2025-09-04,1045.0,1045.0,False
2025-09-08,-280.0,-205.0,True
2025-09-08,-317.5,-242.5,True
2025-09-09,720.0,720.0,False
2025-09-11,-5.0,107.5,True
2025-09-12,-317.5,195.0,True
2025-09-16,-192.5,-167.5,True
2025-09-17,-605.0,-155.0,True
2025-09-19,657.5,657.5,False
