Date,engine,dir,net
2023-09-13,OLD,S,-455.0
2023-09-13,NEW,S,-455.0
2023-09-15,OLD,S,545.0
2023-09-15,OLD,S,-155.0
2023-09-15,NEW,S,545.0
2023-09-15,NEW,S,-155.0
2023-09-19,OLD,L,345.0
2023-09-19,NEW,L,345.0
2023-09-20,OLD,S,2757.5
2023-09-20,OLD,L,-505.0
2023-09-20,OLD,S,2370.0
2023-09-20,NEW,S,2757.5
2023-09-20,NEW,L,-505.0
2023-09-20,NEW,S,2370.0
2023-09-22,OLD,S,-555.0
2023-09-22,NEW,S,-555.0
2023-10-03,OLD,L,-755.0
2023-10-03,NEW,L,-755.0
2023-10-04,OLD,S,-792.5
2023-10-04,NEW,L,-792.5
2023-10-04,NEW,S,-792.5
2023-10-05,OLD,S,-780.0
2023-10-05,NEW,S,-780.0
2023-10-06,OLD,L,82.5
2023-10-06,NEW,L,82.5
2023-10-09,NEW,L,1707.5
2023-10-11,OLD,S,-892.5
2023-10-11,NEW,S,-892.5
2023-10-13,OLD,L,-330.0
2023-10-13,NEW,L,-330.0
2023-10-19,OLD,L,-892.5
2023-10-19,NEW,L,-892.5
2023-10-25,OLD,S,45.0
2023-10-25,NEW,S,45.0
2023-10-27,OLD,L,-880.0
2023-10-27,NEW,L,-880.0
2023-10-31,OLD,L,120.0
2023-10-31,NEW,L,120.0
2023-11-06,OLD,S,-517.5
2023-11-06,NEW,S,-517.5
2023-11-07,OLD,L,-105.0
2023-11-07,NEW,L,-105.0
2023-11-07,NEW,S,-242.5
2023-11-10,OLD,L,582.5
2023-11-10,OLD,L,520.0
2023-11-10,NEW,L,582.5
2023-11-10,NEW,L,520.0
2023-11-13,OLD,L,-105.0
2023-11-13,NEW,L,632.5
2023-11-13,NEW,L,-105.0
2023-11-17,OLD,L,95.0
2023-11-17,NEW,L,95.0
2023-11-22,NEW,S,282.5
2023-11-28,NEW,S,-367.5
2023-11-29,OLD,S,-342.5
2023-11-29,NEW,S,-342.5
2023-11-30,OLD,L,-367.5
2023-11-30,NEW,L,-367.5
2023-12-01,OLD,S,-380.0
2023-12-01,OLD,L,195.0
2023-12-01,NEW,S,-380.0
2023-12-01,NEW,L,195.0
2023-12-05,OLD,S,-392.5
2023-12-05,NEW,S,-392.5
2023-12-05,NEW,L,270.0
2023-12-06,OLD,S,945.0
2023-12-06,OLD,S,782.5
2023-12-06,NEW,S,945.0
2023-12-06,NEW,S,782.5
2023-12-07,OLD,L,-180.0
2023-12-07,NEW,L,-180.0
2023-12-08,OLD,L,820.0
2023-12-08,NEW,L,820.0
2023-12-12,OLD,L,882.5
2023-12-12,OLD,L,732.5
2023-12-12,NEW,L,882.5
2023-12-12,NEW,L,732.5
2023-12-15,OLD,L,-592.5
2023-12-15,OLD,L,-592.5
2023-12-15,NEW,L,-592.5
2023-12-15,NEW,L,-592.5
2023-12-19,OLD,L,132.5
2023-12-19,OLD,L,170.0
2023-12-19,NEW,L,132.5
2023-12-19,NEW,L,170.0
2023-12-28,OLD,S,32.5
2023-12-28,NEW,S,32.5
2023-12-29,OLD,L,-55.0
2023-12-29,NEW,L,-55.0
2024-01-05,OLD,S,-567.5
2024-01-05,NEW,S,-567.5
2024-01-11,OLD,L,732.5
2024-01-11,NEW,L,732.5
2024-01-16,OLD,L,-580.0
2024-01-16,OLD,S,-417.5
2024-01-16,NEW,L,-580.0
2024-01-16,NEW,S,-417.5
2024-01-18,OLD,S,-592.5
2024-01-18,OLD,S,-592.5
2024-01-18,NEW,S,-592.5
2024-01-18,NEW,S,-592.5
2024-01-19,OLD,L,2082.5
2024-01-19,NEW,L,2082.5
2024-01-22,OLD,S,270.0
2024-01-22,OLD,S,70.0
2024-01-22,NEW,S,270.0
2024-01-22,NEW,S,70.0
2024-01-23,OLD,S,-567.5
2024-01-23,NEW,S,-567.5
2024-01-24,NEW,L,-555.0
2024-01-26,NEW,S,-17.5
2024-01-26,NEW,S,45.0
2024-02-01,OLD,L,1795.0
2024-02-01,NEW,L,1795.0
2024-02-02,OLD,L,982.5
2024-02-02,OLD,L,-630.0
2024-02-02,NEW,L,982.5
2024-02-02,NEW,L,-630.0
2024-02-07,NEW,L,370.0
2024-02-07,NEW,L,20.0
2024-02-07,NEW,L,-55.0
2024-02-08,OLD,S,-205.0
2024-02-08,OLD,L,170.0
2024-02-08,NEW,S,-205.0
2024-02-08,NEW,L,170.0
2024-02-14,OLD,L,-667.5
2024-02-14,NEW,L,-667.5
2024-02-14,NEW,S,-667.5
2024-02-15,OLD,S,-642.5
2024-02-15,OLD,L,495.0
2024-02-15,NEW,S,-642.5
2024-02-15,NEW,L,495.0
2024-02-21,OLD,S,-530.0
2024-02-21,NEW,S,-530.0
2024-02-26,OLD,S,607.5
2024-02-26,NEW,L,-592.5
2024-02-26,NEW,S,607.5
2024-02-27,OLD,L,-592.5
2024-02-27,NEW,L,-592.5
2024-02-29,OLD,S,-505.0
2024-02-29,OLD,S,-505.0
2024-02-29,NEW,S,-505.0
2024-02-29,NEW,S,-505.0
2024-03-01,OLD,L,332.5
2024-03-01,NEW,L,332.5
2024-03-04,OLD,L,-330.0
2024-03-04,OLD,L,-530.0
2024-03-04,NEW,L,-330.0
2024-03-04,NEW,L,-530.0
2024-03-06,OLD,S,-580.0
2024-03-06,OLD,S,-192.5
2024-03-06,OLD,S,-242.5
