side,h,N,N_base,mean_bp,median_bp,up%,t,excess_bp,src,tf,event,rep
long,10,91,8984,18.9,19.1,61.5,1.72,13.6,null_shuffle,60m,kelt_pull,9
long,20,91,8974,31.3,31.4,58.2,1.91,20.6,null_shuffle,60m,kelt_pull,9
short,1,86,8993,-3.9,-3.1,44.2,-1.0,-3.4,null_shuffle,60m,kelt_pull,9
short,3,86,8991,-10.6,-4.1,43.0,-1.43,-9.0,null_shuffle,60m,kelt_pull,9
short,5,86,8989,-5.8,3.2,53.5,-0.61,-3.1,null_shuffle,60m,kelt_pull,9
short,10,86,8984,-3.4,-9.9,44.2,-0.26,2.0,null_shuffle,60m,kelt_pull,9
short,20,86,8974,-3.9,5.6,51.2,-0.21,6.8,null_shuffle,60m,kelt_pull,9
long,1,2,1304,3.5,3.5,50.0,0.41,-0.2,null_shuffle,daily,compress_bo,10
long,3,2,1302,-34.4,-34.4,0.0,-39.89,-45.6,null_shuffle,daily,compress_bo,10
long,5,2,1300,-28.2,-28.2,50.0,-0.65,-46.7,null_shuffle,daily,compress_bo,10
long,10,2,1295,11.7,11.7,50.0,0.2,-25.4,null_shuffle,daily,compress_bo,10
long,20,2,1285,99.1,99.1,100.0,3.32,24.5,null_shuffle,daily,compress_bo,10
short,1,0,1304,,,,,,null_shuffle,daily,compress_bo,10
short,3,0,1302,,,,,,null_shuffle,daily,compress_bo,10
short,5,0,1300,,,,,,null_shuffle,daily,compress_bo,10
short,10,0,1295,,,,,,null_shuffle,daily,compress_bo,10
short,20,0,1285,,,,,,null_shuffle,daily,compress_bo,10
long,1,21,1304,-37.8,-7.6,42.9,-1.16,-41.5,null_shuffle,daily,kelt_pull,10
long,3,21,1302,60.5,30.8,57.1,1.45,49.3,null_shuffle,daily,kelt_pull,10
long,5,21,1300,93.6,144.8,66.7,1.81,75.1,null_shuffle,daily,kelt_pull,10
long,10,21,1295,32.0,95.8,57.1,0.45,-5.1,null_shuffle,daily,kelt_pull,10
long,20,21,1285,23.8,30.8,57.1,0.28,-50.7,null_shuffle,daily,kelt_pull,10
short,1,10,1304,10.9,1.6,50.0,0.32,14.6,null_shuffle,daily,kelt_pull,10
short,3,10,1302,32.7,38.9,80.0,1.04,44.0,null_shuffle,daily,kelt_pull,10
short,5,10,1300,-23.2,-43.2,30.0,-0.63,-4.7,null_shuffle,daily,kelt_pull,10
short,10,10,1295,-181.5,-138.0,20.0,-1.78,-144.4,null_shuffle,daily,kelt_pull,10
short,20,9,1285,-117.0,-47.0,44.4,-0.69,-42.5,null_shuffle,daily,kelt_pull,10
long,1,46,1304,13.0,11.3,60.9,1.06,9.3,null_shuffle,daily,donch100,10
long,3,46,1302,-25.4,-9.7,45.7,-1.32,-36.6,null_shuffle,daily,donch100,10
long,5,46,1300,-25.9,-11.4,47.8,-0.92,-44.4,null_shuffle,daily,donch100,10
long,10,46,1295,-30.1,-40.4,45.7,-0.77,-67.3,null_shuffle,daily,donch100,10
long,20,46,1285,28.1,24.5,54.3,0.43,-46.4,null_shuffle,daily,donch100,10
short,1,11,1304,2.1,-6.8,45.5,0.12,5.8,null_shuffle,daily,donch100,10
short,3,11,1302,27.9,28.2,54.5,0.65,39.1,null_shuffle,daily,donch100,10
short,5,11,1300,-36.5,7.9,54.5,-0.28,-18.0,null_shuffle,daily,donch100,10
short,10,11,1295,-56.5,-4.2,45.5,-0.33,-19.4,null_shuffle,daily,donch100,10
short,20,11,1285,-144.6,17.9,54.5,-0.79,-70.1,null_shuffle,daily,donch100,10
long,1,27,1304,1.7,10.6,55.6,0.11,-2.0,null_shuffle,daily,donch260,10
long,3,27,1302,-73.7,-92.8,25.9,-2.5,-84.9,null_shuffle,daily,donch260,10
long,5,27,1300,-66.5,-60.4,37.0,-1.62,-85.0,null_shuffle,daily,donch260,10
long,10,27,1295,-78.9,-110.5,40.7,-1.31,-116.0,null_shuffle,daily,donch260,10
long,20,27,1285,-68.0,-150.3,33.3,-0.69,-142.6,null_shuffle,daily,donch260,10
short,1,3,1304,14.2,-16.2,33.3,0.4,17.9,null_shuffle,daily,donch260,10
short,3,3,1302,27.8,8.8,66.7,0.6,39.0,null_shuffle,daily,donch260,10
short,5,3,1300,74.6,126.4,66.7,0.49,93.1,null_shuffle,daily,donch260,10
short,10,3,1295,42.8,3.2,66.7,0.2,80.0,null_shuffle,daily,donch260,10
short,20,3,1285,-30.3,53.7,66.7,-0.12,44.2,null_shuffle,daily,donch260,10
long,1,27,8993,4.1,1.4,55.6,0.67,3.6,null_shuffle,60m,compress_bo,10
long,3,27,8991,17.0,20.9,63.0,1.91,15.4,null_shuffle,60m,compress_bo,10
long,5,27,8989,34.0,39.9,70.4,2.87,31.3,null_shuffle,60m,compress_bo,10
long,10,27,8984,31.4,34.5,74.1,2.16,26.0,null_shuffle,60m,compress_bo,10
long,20,27,8974,1.4,-26.9,37.0,0.06,-9.2,null_shuffle,60m,compress_bo,10
short,1,19,8993,-2.6,0.7,52.6,-0.48,-2.1,null_shuffle,60m,compress_bo,10
short,3,19,8991,2.1,-10.3,36.8,0.23,3.7,null_shuffle,60m,compress_bo,10
short,5,19,8989,3.7,13.7,52.6,0.25,6.4,null_shuffle,60m,compress_bo,10
short,10,19,8984,-3.4,-0.3,47.4,-0.26,2.0,null_shuffle,60m,compress_bo,10
short,20,19,8974,-14.1,-49.4,42.1,-0.47,-3.5,null_shuffle,60m,compress_bo,10
long,1,103,8993,-0.9,-3.3,45.6,-0.21,-1.4,null_shuffle,60m,kelt_pull,10
long,3,103,8991,-4.2,-7.0,45.6,-0.64,-5.9,null_shuffle,60m,kelt_pull,10
long,5,103,8989,-11.3,-9.9,44.7,-1.12,-14.0,null_shuffle,60m,kelt_pull,10
long,10,103,8984,-10.8,-11.0,42.7,-0.85,-16.2,null_shuffle,60m,kelt_pull,10
long,20,103,8974,10.9,-3.5,48.5,0.62,0.3,null_shuffle,60m,kelt_pull,10
short,1,104,8993,-0.6,-1.1,45.2,-0.17,-0.1,null_shuffle,60m,kelt_pull,10
short,3,104,8991,3.3,-3.7,47.1,0.49,4.9,null_shuffle,60m,kelt_pull,10
short,5,104,8989,-1.4,1.8,51.0,-0.17,1.3,null_shuffle,60m,kelt_pull,10
short,10,104,8984,3.7,-12.9,43.3,0.38,9.0,null_shuffle,60m,kelt_pull,10
short,20,104,8974,-25.7,-40.4,37.5,-1.74,-15.0,null_shuffle,60m,kelt_pull,10
long,1,1,1304,,,,,,null_shuffle,daily,compress_bo,11
long,3,1,1302,,,,,,null_shuffle,daily,compress_bo,11
long,5,1,1300,,,,,,null_shuffle,daily,compress_bo,11
long,10,1,1295,,,,,,null_shuffle,daily,compress_bo,11
long,20,1,1285,,,,,,null_shuffle,daily,compress_bo,11
short,1,2,1304,-44.4,-44.4,50.0,-0.66,-40.7,null_shuffle,daily,compress_bo,11
short,3,2,1302,-149.4,-149.4,0.0,-1.34,-138.0,null_shuffle,daily,compress_bo,11
short,5,2,1300,-239.5,-239.5,0.0,-1.26,-220.5,null_shuffle,daily,compress_bo,11
short,10,2,1295,-125.8,-125.8,0.0,-2.99,-89.7,null_shuffle,daily,compress_bo,11
short,20,2,1285,-338.0,-338.0,0.0,-1.63,-265.2,null_shuffle,daily,compress_bo,11
long,1,17,1304,-11.6,-10.2,41.2,-0.75,-15.3,null_shuffle,daily,kelt_pull,11
long,3,17,1302,-17.0,-2.0,47.1,-0.58,-28.4,null_shuffle,daily,kelt_pull,11
long,5,17,1300,-29.9,17.3,52.9,-0.71,-48.9,null_shuffle,daily,kelt_pull,11
long,10,17,1295,-91.0,-51.3,35.3,-1.26,-127.2,null_shuffle,daily,kelt_pull,11
long,20,17,1285,-110.0,-90.0,41.2,-1.24,-182.8,null_shuffle,daily,kelt_pull,11
short,1,10,1304,-44.8,3.2,60.0,-0.89,-41.1,null_shuffle,daily,kelt_pull,11
short,3,10,1302,-24.1,6.3,50.0,-0.34,-12.7,null_shuffle,daily,kelt_pull,11
short,5,9,1300,-111.4,-55.8,33.3,-1.1,-92.5,null_shuffle,daily,kelt_pull,11
short,10,9,1295,-167.9,-112.1,22.2,-1.37,-131.8,null_shuffle,daily,kelt_pull,11
short,20,9,1285,-130.7,-245.5,33.3,-1.19,-57.8,null_shuffle,daily,kelt_pull,11
long,1,33,1304,-14.8,-24.7,42.4,-0.98,-18.5,null_shuffle,daily,donch100,11
long,3,33,1302,-14.5,-36.0,42.4,-0.49,-25.9,null_shuffle,daily,donch100,11
long,5,33,1300,-27.1,-100.3,39.4,-0.75,-46.0,null_shuffle,daily,donch100,11
long,10,33,1295,-65.3,-37.1,48.5,-1.17,-101.4,null_shuffle,daily,donch100,11
long,20,33,1285,-176.2,-235.0,36.4,-2.23,-249.0,null_shuffle,daily,donch100,11
short,1,9,1304,-8.9,-1.1,44.4,-0.43,-5.2,null_shuffle,daily,donch100,11
short,3,9,1302,-101.3,-102.1,11.1,-1.92,-90.0,null_shuffle,daily,donch100,11
short,5,9,1300,-139.5,-70.7,11.1,-2.71,-120.6,null_shuffle,daily,donch100,11
short,10,8,1295,-193.5,-65.1,25.0,-2.0,-157.4,null_shuffle,daily,donch100,11
short,20,7,1285,-591.1,-602.8,0.0,-6.62,-518.3,null_shuffle,daily,donch100,11
long,1,25,1304,-21.6,-32.2,36.0,-1.13,-25.3,null_shuffle,daily,donch260,11
long,3,25,1302,-37.3,-51.3,32.0,-1.17,-48.7,null_shuffle,daily,donch260,11
long,5,25,1300,-38.2,-104.5,40.0,-0.96,-57.2,null_shuffle,daily,donch260,11
long,10,25,1295,-82.8,-37.1,44.0,-1.3,-118.9,null_shuffle,daily,donch260,11
long,20,25,1285,-213.1,-219.0,36.0,-2.27,-286.0,null_shuffle,daily,donch260,11
short,1,0,1304,,,,,,null_shuffle,daily,donch260,11
short,3,0,1302,,,,,,null_shuffle,daily,donch260,11
short,5,0,1300,,,,,,null_shuffle,daily,donch260,11
short,10,0,1295,,,,,,null_shuffle,daily,donch260,11
short,20,0,1285,,,,,,null_shuffle,daily,donch260,11
long,1,30,8993,-3.2,3.6,60.0,-0.82,-3.7,null_shuffle,60m,compress_bo,11
long,3,30,8991,10.7,-1.0,46.7,1.02,9.0,null_shuffle,60m,compress_bo,11
long,5,30,8989,26.4,7.4,63.3,2.06,23.7,null_shuffle,60m,compress_bo,11
long,10,30,8984,5.7,-19.3,40.0,0.27,0.3,null_shuffle,60m,compress_bo,11
long,20,30,8974,5.7,-1.6,50.0,0.19,-5.1,null_shuffle,60m,compress_bo,11
short,1,21,8993,-14.7,-2.5,33.3,-1.85,-14.2,null_shuffle,60m,compress_bo,11
short,3,21,8991,-24.0,-19.9,33.3,-1.63,-22.4,null_shuffle,60m,compress_bo,11
short,5,21,8989,-16.5,-9.2,42.9,-0.95,-13.9,null_shuffle,60m,compress_bo,11
short,10,21,8984,-10.9,6.9,52.4,-0.43,-5.5,null_shuffle,60m,compress_bo,11
short,20,21,8974,-2.2,-10.4,47.6,-0.05,8.6,null_shuffle,60m,compress_bo,11
long,1,92,8993,-6.8,0.8,51.1,-1.81,-7.4,null_shuffle,60m,kelt_pull,11
long,3,92,8991,-4.4,-10.0,46.7,-0.61,-6.0,null_shuffle,60m,kelt_pull,11
long,5,92,8989,0.6,-10.1,40.2,0.07,-2.1,null_shuffle,60m,kelt_pull,11
long,10,92,8984,12.1,-0.8,50.0,1.01,6.7,null_shuffle,60m,kelt_pull,11
long,20,92,8974,44.1,20.2,54.3,2.4,33.3,null_shuffle,60m,kelt_pull,11
short,1,79,8993,-0.4,-0.4,48.1,-0.1,0.1,null_shuffle,60m,kelt_pull,11
short,3,79,8991,-5.8,-7.5,41.8,-0.76,-4.2,null_shuffle,60m,kelt_pull,11
short,5,79,8989,-3.8,-3.5,48.1,-0.47,-1.2,null_shuffle,60m,kelt_pull,11
short,10,79,8984,-3.4,13.7,55.7,-0.31,2.0,null_shuffle,60m,kelt_pull,11
short,20,79,8974,-6.7,4.0,53.2,-0.42,4.1,null_shuffle,60m,kelt_pull,11
long,1,2,1304,110.3,110.3,50.0,0.95,106.6,null_shuffle,daily,compress_bo,12
long,3,2,1302,150.3,150.3,100.0,1.95,139.2,null_shuffle,daily,compress_bo,12
long,5,2,1300,133.1,133.1,100.0,2.99,114.6,null_shuffle,daily,compress_bo,12
long,10,2,1295,190.0,190.0,100.0,15.45,153.1,null_shuffle,daily,compress_bo,12
long,20,2,1285,308.7,308.7,100.0,2.95,236.0,null_shuffle,daily,compress_bo,12
short,1,6,1304,-36.9,1.0,50.0,-1.36,-33.2,null_shuffle,daily,compress_bo,12
short,3,6,1302,-40.4,-73.5,33.3,-0.76,-29.3,null_shuffle,daily,compress_bo,12
short,5,6,1300,-95.2,-79.4,33.3,-1.04,-76.8,null_shuffle,daily,compress_bo,12
short,10,6,1295,-362.5,-304.7,16.7,-2.8,-325.6,null_shuffle,daily,compress_bo,12
short,20,6,1285,-705.0,-770.7,0.0,-4.11,-632.3,null_shuffle,daily,compress_bo,12
long,1,15,1304,-1.6,0.0,40.0,-0.12,-5.3,null_shuffle,daily,kelt_pull,12
long,3,15,1302,17.4,-8.9,46.7,0.56,6.3,null_shuffle,daily,kelt_pull,12
long,5,15,1300,47.8,-44.3,40.0,0.49,29.4,null_shuffle,daily,kelt_pull,12
long,10,15,1295,138.3,156.0,66.7,1.37,101.4,null_shuffle,daily,kelt_pull,12
long,20,15,1285,64.1,153.9,60.0,0.52,-8.6,null_shuffle,daily,kelt_pull,12
short,1,13,1304,10.7,-21.4,30.8,0.43,14.4,null_shuffle,daily,kelt_pull,12
short,3,13,1302,12.3,-4.3,46.2,0.38,23.3,null_shuffle,daily,kelt_pull,12
short,5,13,1300,-2.4,33.2,61.5,-0.06,16.0,null_shuffle,daily,kelt_pull,12
short,10,13,1295,-91.8,-134.9,38.5,-1.21,-55.0,null_shuffle,daily,kelt_pull,12
short,20,13,1285,-228.0,-211.5,30.8,-1.43,-155.4,null_shuffle,daily,kelt_pull,12
long,1,36,1304,1.8,9.7,58.3,0.14,-1.9,null_shuffle,daily,donch100,12
long,3,36,1302,36.3,39.9,61.1,1.58,25.2,null_shuffle,daily,donch100,12
long,5,36,1300,14.6,42.9,58.3,0.42,-3.8,null_shuffle,daily,donch100,12
long,10,36,1295,19.0,7.2,50.0,0.4,-17.9,null_shuffle,daily,donch100,12
long,20,36,1285,49.6,140.2,63.9,0.78,-23.0,null_shuffle,daily,donch100,12
short,1,16,1304,9.5,11.4,56.2,0.47,13.2,null_shuffle,daily,donch100,12
short,3,16,1302,-40.6,-47.3,43.8,-1.21,-29.6,null_shuffle,daily,donch100,12
short,5,16,1300,-57.3,-98.6,18.8,-1.28,-38.9,null_shuffle,daily,donch100,12
short,10,16,1295,-79.0,-99.2,43.8,-1.21,-42.1,null_shuffle,daily,donch100,12
short,20,16,1285,-197.0,-165.1,25.0,-2.1,-124.4,null_shuffle,daily,donch100,12
long,1,17,1304,-5.5,3.9,58.8,-0.26,-9.2,null_shuffle,daily,donch260,12
long,3,17,1302,28.9,25.7,58.8,0.78,17.8,null_shuffle,daily,donch260,12
long,5,17,1300,-39.4,9.4,52.9,-0.71,-57.8,null_shuffle,daily,donch260,12
long,10,17,1295,-60.0,-20.3,47.1,-0.89,-96.9,null_shuffle,daily,donch260,12
long,20,17,1285,-41.3,27.8,58.8,-0.43,-114.0,null_shuffle,daily,donch260,12
short,1,7,1304,28.0,14.5,71.4,0.67,31.7,null_shuffle,daily,donch260,12
short,3,7,1302,-16.7,-40.1,28.6,-0.27,-5.6,null_shuffle,daily,donch260,12
short,5,7,1300,-34.7,-136.8,28.6,-0.35,-16.2,null_shuffle,daily,donch260,12
short,10,7,1295,-42.5,-94.7,42.9,-0.3,-5.6,null_shuffle,daily,donch260,12
short,20,7,1285,-151.0,-164.5,42.9,-0.77,-78.4,null_shuffle,daily,donch260,12
long,1,24,8993,3.9,4.3,62.5,0.53,3.4,null_shuffle,60m,compress_bo,12
long,3,24,8991,0.8,-3.9,41.7,0.06,-0.8,null_shuffle,60m,compress_bo,12
long,5,24,8989,1.1,-5.2,50.0,0.08,-1.6,null_shuffle,60m,compress_bo,12
long,10,24,8984,14.7,4.6,50.0,0.77,9.3,null_shuffle,60m,compress_bo,12
long,20,24,8974,25.3,8.4,54.2,1.02,14.3,null_shuffle,60m,compress_bo,12
short,1,24,8993,-6.3,0.3,50.0,-0.59,-5.8,null_shuffle,60m,compress_bo,12
short,3,24,8991,-22.1,-16.4,37.5,-1.82,-20.5,null_shuffle,60m,compress_bo,12
short,5,24,8989,-19.4,-13.7,45.8,-1.19,-16.7,null_shuffle,60m,compress_bo,12
short,10,24,8984,-18.5,7.8,54.2,-0.72,-13.1,null_shuffle,60m,compress_bo,12
short,20,24,8974,-23.4,18.1,50.0,-0.67,-12.4,null_shuffle,60m,compress_bo,12
long,1,105,8993,4.3,1.9,54.3,1.48,3.8,null_shuffle,60m,kelt_pull,12
long,3,105,8991,5.6,11.3,61.0,0.94,4.0,null_shuffle,60m,kelt_pull,12
long,5,105,8989,3.8,12.8,57.1,0.42,1.1,null_shuffle,60m,kelt_pull,12
long,10,105,8984,17.2,17.4,56.2,1.24,11.7,null_shuffle,60m,kelt_pull,12
long,20,105,8974,18.2,24.9,55.2,1.19,7.1,null_shuffle,60m,kelt_pull,12
short,1,74,8993,0.8,-0.1,50.0,0.25,1.4,null_shuffle,60m,kelt_pull,12
short,3,74,8991,-4.9,-6.1,44.6,-0.99,-3.3,null_shuffle,60m,kelt_pull,12
short,5,74,8989,0.3,-7.5,45.9,0.04,3.0,null_shuffle,60m,kelt_pull,12
short,10,74,8984,-12.6,-3.4,48.6,-0.95,-7.2,null_shuffle,60m,kelt_pull,12
short,20,74,8974,-19.7,-28.5,47.3,-1.14,-8.6,null_shuffle,60m,kelt_pull,12
long,1,0,1304,,,,,,null_shuffle,daily,compress_bo,13
long,3,0,1302,,,,,,null_shuffle,daily,compress_bo,13
long,5,0,1300,,,,,,null_shuffle,daily,compress_bo,13
long,10,0,1295,,,,,,null_shuffle,daily,compress_bo,13
long,20,0,1285,,,,,,null_shuffle,daily,compress_bo,13
short,1,0,1304,,,,,,null_shuffle,daily,compress_bo,13
short,3,0,1302,,,,,,null_shuffle,daily,compress_bo,13
short,5,0,1300,,,,,,null_shuffle,daily,compress_bo,13
short,10,0,1295,,,,,,null_shuffle,daily,compress_bo,13
short,20,0,1285,,,,,,null_shuffle,daily,compress_bo,13
long,1,18,1304,37.1,45.1,77.8,1.66,33.4,null_shuffle,daily,kelt_pull,13
long,3,18,1302,69.5,21.5,61.1,1.07,58.6,null_shuffle,daily,kelt_pull,13
long,5,18,1300,96.1,76.8,66.7,1.29,78.1,null_shuffle,daily,kelt_pull,13
long,10,18,1295,157.1,206.7,55.6,1.7,120.3,null_shuffle,daily,kelt_pull,13
long,20,18,1285,124.5,232.2,61.1,1.03,46.5,null_shuffle,daily,kelt_pull,13
short,1,12,1304,15.7,0.4,50.0,0.48,19.4,null_shuffle,daily,kelt_pull,13
short,3,12,1302,-38.3,-51.8,41.7,-0.69,-27.4,null_shuffle,daily,kelt_pull,13
short,5,12,1300,-65.3,-76.8,33.3,-0.91,-47.3,null_shuffle,daily,kelt_pull,13
short,10,12,1295,-29.0,-76.4,41.7,-0.27,7.8,null_shuffle,daily,kelt_pull,13
short,20,11,1285,-156.4,-130.8,45.5,-1.04,-78.4,null_shuffle,daily,kelt_pull,13
long,1,48,1304,13.0,5.8,52.1,1.13,9.3,null_shuffle,daily,donch100,13
long,3,48,1302,-5.5,-17.1,45.8,-0.29,-16.4,null_shuffle,daily,donch100,13
long,5,48,1300,-7.4,4.2,52.1,-0.28,-25.5,null_shuffle,daily,donch100,13
long,10,48,1295,33.0,60.9,62.5,0.81,-3.8,null_shuffle,daily,donch100,13
long,20,48,1285,49.1,-7.1,50.0,0.97,-28.9,null_shuffle,daily,donch100,13
short,1,16,1304,20.0,13.3,56.2,0.91,23.7,null_shuffle,daily,donch100,13
short,3,16,1302,20.9,-4.3,43.8,0.65,31.8,null_shuffle,daily,donch100,13
short,5,15,1300,64.9,22.4,53.3,1.38,82.9,null_shuffle,daily,donch100,13
short,10,14,1295,119.8,32.6,57.1,1.56,156.7,null_shuffle,daily,donch100,13
short,20,13,1285,119.5,67.0,53.8,0.83,197.6,null_shuffle,daily,donch100,13
long,1,29,1304,0.3,-1.6,48.3,0.02,-3.4,null_shuffle,daily,donch260,13
long,3,29,1302,-17.1,-31.4,44.8,-0.67,-28.0,null_shuffle,daily,donch260,13
long,5,29,1300,-28.0,-11.2,48.3,-0.79,-46.1,null_shuffle,daily,donch260,13
long,10,29,1295,-39.7,-22.2,48.3,-0.82,-76.5,null_shuffle,daily,donch260,13
long,20,29,1285,-37.2,-29.9,41.4,-0.61,-115.2,null_shuffle,daily,donch260,13
short,1,5,1304,-17.5,-8.2,40.0,-0.64,-13.8,null_shuffle,daily,donch260,13
short,3,5,1302,-88.2,-45.5,0.0,-2.26,-77.3,null_shuffle,daily,donch260,13
short,5,4,1300,-143.4,-114.4,0.0,-4.27,-125.4,null_shuffle,daily,donch260,13
short,10,3,1295,-174.7,-214.5,33.3,-1.58,-137.8,null_shuffle,daily,donch260,13
short,20,2,1285,-205.8,-205.8,50.0,-0.72,-127.8,null_shuffle,daily,donch260,13
long,1,29,8993,-4.7,-4.3,37.9,-0.62,-5.2,null_shuffle,60m,compress_bo,13
long,3,29,8991,-16.1,-6.2,37.9,-1.2,-17.7,null_shuffle,60m,compress_bo,13
long,5,29,8989,-23.4,-5.9,44.8,-1.26,-26.0,null_shuffle,60m,compress_bo,13
long,10,29,8984,-31.0,-13.0,48.3,-1.43,-36.4,null_shuffle,60m,compress_bo,13
long,20,29,8974,-28.3,-37.0,37.9,-0.85,-39.0,null_shuffle,60m,compress_bo,13
short,1,20,8993,1.8,-1.5,40.0,0.2,2.3,null_shuffle,60m,compress_bo,13
short,3,20,8991,24.2,18.8,60.0,1.74,25.7,null_shuffle,60m,compress_bo,13
short,5,20,8989,37.4,23.0,65.0,2.19,40.1,null_shuffle,60m,compress_bo,13
short,10,20,8984,55.3,46.9,70.0,3.02,60.6,null_shuffle,60m,compress_bo,13
short,20,20,8974,50.2,65.5,70.0,1.78,60.9,null_shuffle,60m,compress_bo,13
long,1,100,8993,-2.7,-1.5,45.0,-1.04,-3.2,null_shuffle,60m,kelt_pull,13
long,3,100,8991,-4.0,7.5,61.0,-0.6,-5.6,null_shuffle,60m,kelt_pull,13
long,5,99,8989,-8.8,-1.1,48.5,-0.89,-11.4,null_shuffle,60m,kelt_pull,13
long,10,99,8984,2.1,12.2,53.5,0.17,-3.3,null_shuffle,60m,kelt_pull,13
long,20,99,8974,6.7,10.2,56.6,0.34,-4.0,null_shuffle,60m,kelt_pull,13
short,1,90,8993,3.9,-1.1,47.8,0.94,4.4,null_shuffle,60m,kelt_pull,13
short,3,90,8991,-2.5,-7.3,43.3,-0.35,-0.9,null_shuffle,60m,kelt_pull,13
short,5,90,8989,-3.9,-6.2,43.3,-0.49,-1.2,null_shuffle,60m,kelt_pull,13
short,10,90,8984,10.0,17.6,58.9,0.91,15.3,null_shuffle,60m,kelt_pull,13
short,20,90,8974,3.7,1.8,51.1,0.27,14.4,null_shuffle,60m,kelt_pull,13
long,1,5,1304,24.6,29.5,60.0,0.72,20.9,null_shuffle,daily,compress_bo,14
long,3,5,1302,23.8,-6.9,40.0,0.76,12.7,null_shuffle,daily,compress_bo,14
long,5,5,1300,33.8,18.9,60.0,0.64,15.3,null_shuffle,daily,compress_bo,14
long,10,5,1295,-39.8,-58.4,20.0,-0.55,-76.1,null_shuffle,daily,compress_bo,14
long,20,5,1285,-7.3,-54.1,40.0,-0.09,-80.4,null_shuffle,daily,compress_bo,14
short,1,1,1304,,,,,,null_shuffle,daily,compress_bo,14
short,3,1,1302,,,,,,null_shuffle,daily,compress_bo,14
short,5,1,1300,,,,,,null_shuffle,daily,compress_bo,14
short,10,1,1295,,,,,,null_shuffle,daily,compress_bo,14
short,20,1,1285,,,,,,null_shuffle,daily,compress_bo,14
long,1,13,1304,-23.6,-3.7,46.2,-1.09,-27.3,null_shuffle,daily,kelt_pull,14
long,3,13,1302,14.9,69.8,61.5,0.35,3.8,null_shuffle,daily,kelt_pull,14
long,5,13,1300,-42.5,-58.0,46.2,-0.86,-60.9,null_shuffle,daily,kelt_pull,14
long,10,13,1295,23.6,-19.7,38.5,0.33,-12.6,null_shuffle,daily,kelt_pull,14
long,20,13,1285,43.0,-44.5,46.2,0.33,-30.0,null_shuffle,daily,kelt_pull,14
short,1,9,1304,20.2,11.6,55.6,0.55,23.9,null_shuffle,daily,kelt_pull,14
short,3,9,1302,33.0,20.4,55.6,1.03,44.2,null_shuffle,daily,kelt_pull,14
short,5,9,1300,86.8,106.7,66.7,1.76,105.3,null_shuffle,daily,kelt_pull,14
short,10,8,1295,89.9,85.0,75.0,1.09,126.2,null_shuffle,daily,kelt_pull,14
short,20,8,1285,32.7,-80.2,25.0,0.23,105.7,null_shuffle,daily,kelt_pull,14
long,1,38,1304,22.1,20.4,65.8,1.73,18.4,null_shuffle,daily,donch100,14
long,3,38,1302,25.0,27.3,57.9,0.99,13.8,null_shuffle,daily,donch100,14
long,5,38,1300,34.9,6.0,52.6,1.2,16.4,null_shuffle,daily,donch100,14
long,10,38,1295,80.8,84.1,63.2,2.02,44.6,null_shuffle,daily,donch100,14
long,20,38,1285,106.5,133.7,55.3,1.58,33.5,null_shuffle,daily,donch100,14
short,1,20,1304,-17.8,-26.6,30.0,-0.73,-14.1,null_shuffle,daily,donch100,14
short,3,20,1302,-24.5,-72.6,30.0,-0.6,-13.3,null_shuffle,daily,donch100,14
short,5,20,1300,-43.2,-82.2,30.0,-1.05,-24.7,null_shuffle,daily,donch100,14
short,10,20,1295,-6.9,-61.5,35.0,-0.1,29.4,null_shuffle,daily,donch100,14
short,20,20,1285,17.7,-86.5,40.0,0.23,90.7,null_shuffle,daily,donch100,14
long,1,25,1304,17.2,20.4,68.0,0.99,13.5,null_shuffle,daily,donch260,14
long,3,25,1302,37.4,19.6,56.0,1.18,26.3,null_shuffle,daily,donch260,14
long,5,25,1300,50.6,10.9,60.0,1.47,32.2,null_shuffle,daily,donch260,14
long,10,25,1295,79.4,108.6,64.0,1.65,43.1,null_shuffle,daily,donch260,14
long,20,25,1285,95.4,153.0,56.0,1.12,22.4,null_shuffle,daily,donch260,14
short,1,14,1304,-39.3,-36.0,21.4,-2.34,-35.6,null_shuffle,daily,donch260,14
short,3,14,1302,-51.6,-72.6,21.4,-1.29,-40.4,null_shuffle,daily,donch260,14
short,5,14,1300,-59.3,-82.2,21.4,-1.24,-40.9,null_shuffle,daily,donch260,14
short,10,14,1295,-54.0,-61.5,28.6,-0.71,-17.7,null_shuffle,daily,donch260,14
short,20,14,1285,47.3,-60.6,42.9,0.49,120.3,null_shuffle,daily,donch260,14
long,1,27,8993,1.2,7.8,59.3,0.16,0.7,null_shuffle,60m,compress_bo,14
long,3,27,8991,-6.6,13.1,55.6,-0.54,-8.2,null_shuffle,60m,compress_bo,14
long,5,27,8989,-6.1,-2.2,48.1,-0.42,-8.7,null_shuffle,60m,compress_bo,14
long,10,27,8984,-20.7,-21.6,44.4,-1.33,-26.1,null_shuffle,60m,compress_bo,14
long,20,27,8974,-37.0,-41.9,40.7,-1.51,-47.6,null_shuffle,60m,compress_bo,14
short,1,20,8993,7.8,4.3,55.0,1.29,8.4,null_shuffle,60m,compress_bo,14
short,3,20,8991,12.9,29.9,60.0,0.86,14.5,null_shuffle,60m,compress_bo,14
short,5,20,8989,5.1,15.8,60.0,0.34,7.8,null_shuffle,60m,compress_bo,14
short,10,20,8984,25.1,-14.4,45.0,0.77,30.4,null_shuffle,60m,compress_bo,14
