Date,engine,book,net
2023-04-11,NEW,WT-L,-130.0
2023-04-12,OLD,WT-L,-542.5
2023-04-12,NEW,WT-L,-542.5
2023-04-13,OLD,WT-L,1420.0
2023-04-13,NEW,WT-L,1420.0
2023-04-17,OLD,WT-S,-642.5
2023-04-17,OLD,WT-S,-642.5
2023-04-17,NEW,WT-S,-642.5
2023-04-17,NEW,WT-S,-642.5
2023-04-21,NEW,FADE,-217.5
2023-04-24,OLD,WT-S,-567.5
2023-04-24,OLD,WT-L,495.0
2023-04-24,OLD,WT-L,295.0
2023-04-24,NEW,WT-S,-567.5
2023-04-24,NEW,WT-L,495.0
2023-04-24,NEW,WT-L,295.0
2023-04-25,OLD,WT-S,-167.5
2023-04-25,NEW,WT-S,-167.5
2023-04-27,OLD,WT-L,1557.5
2023-04-27,OLD,WT-L,1520.0
2023-04-27,NEW,WT-L,1557.5
2023-04-27,NEW,WT-L,1520.0
2023-04-28,OLD,WT-L,-605.0
2023-04-28,NEW,WT-L,-605.0
2023-05-02,OLD,WT-S,-592.5
2023-05-02,NEW,WT-S,-592.5
2023-05-03,OLD,FADE,-217.5
2023-05-03,NEW,FADE,-217.5
2023-05-04,OLD,FADE,-217.5
2023-05-04,NEW,FADE,-217.5
2023-05-08,OLD,WT-S,-492.5
2023-05-08,NEW,WT-S,-492.5
2023-05-11,OLD,WT-S,-505.0
2023-05-11,NEW,WT-S,-505.0
2023-05-12,OLD,WT-S,-630.0
2023-05-12,NEW,WT-S,-630.0
2023-05-19,OLD,WT-S,95.0
2023-05-19,NEW,WT-S,95.0
2023-05-22,OLD,WT-S,195.0
2023-05-22,NEW,WT-S,195.0
2023-05-23,NEW,WT-S,782.5
2023-05-24,OLD,WT-S,-630.0
2023-05-24,NEW,WT-S,-630.0
2023-05-26,OLD,WT-S,-605.0
2023-05-26,NEW,WT-S,-605.0
2023-06-05,OLD,WT-S,707.5
2023-06-05,NEW,WT-S,707.5
2023-06-06,OLD,WT-S,-605.0
2023-06-06,NEW,WT-S,-605.0
2023-06-07,OLD,WT-S,1095.0
2023-06-07,OLD,WT-S,270.0
2023-06-07,NEW,WT-S,1095.0
2023-06-07,NEW,WT-S,270.0
2023-06-09,OLD,WT-S,-580.0
2023-06-09,NEW,WT-S,-580.0
2023-06-09,NEW,WT-L,-130.0
2023-06-13,OLD,WT-S,-592.5
2023-06-13,OLD,WT-L,-592.5
2023-06-13,NEW,WT-S,-592.5
2023-06-13,NEW,WT-L,207.5
2023-06-13,NEW,WT-L,307.5
2023-06-13,NEW,WT-L,-592.5
2023-06-15,OLD,WT-L,670.0
2023-06-15,NEW,WT-L,670.0
2023-06-20,OLD,WT-S,-592.5
2023-06-20,NEW,WT-S,-592.5
2023-06-21,OLD,FADE,-217.5
2023-06-21,NEW,FADE,-217.5
2023-06-26,OLD,WT-S,245.0
2023-06-26,NEW,WT-S,245.0
2023-06-28,OLD,WT-L,-592.5
2023-06-28,NEW,WT-L,-592.5
2023-06-29,OLD,WT-S,-555.0
2023-06-29,NEW,WT-S,-555.0
2023-07-10,OLD,FADE,-217.5
2023-07-10,NEW,WT-L,432.5
2023-07-17,OLD,WT-L,-180.0
2023-07-17,NEW,WT-L,-180.0
2023-07-19,NEW,WT-S,457.5
2023-07-25,OLD,WT-L,307.5
2023-07-25,OLD,WT-L,132.5
2023-07-25,NEW,WT-L,307.5
2023-07-25,NEW,WT-L,132.5
2023-07-26,OLD,FADE,-217.5
2023-07-26,NEW,FADE,-217.5
2023-08-01,OLD,WT-S,-80.0
2023-08-01,NEW,WT-S,-80.0
2023-08-07,OLD,WT-L,595.0
2023-08-07,NEW,WT-L,595.0
2023-08-07,NEW,FADE,-217.5
2023-08-14,OLD,WT-L,507.5
2023-08-14,NEW,WT-L,507.5
2023-08-14,NEW,WT-S,-492.5
2023-08-17,OLD,FADE,-217.5
2023-08-17,NEW,FADE,-217.5
2023-08-17,NEW,WT-L,-692.5
2023-08-22,OLD,WT-S,-730.0
2023-08-22,NEW,WT-S,-730.0
2023-08-23,OLD,WT-L,445.0
2023-08-23,NEW,WT-L,445.0
2023-08-24,OLD,FADE,2432.5
2023-08-24,NEW,FADE,2432.5
2023-08-25,OLD,WT-L,1070.0
2023-08-25,NEW,WT-L,1070.0
2023-08-28,OLD,WT-S,-217.5
2023-08-28,OLD,WT-L,-792.5
2023-08-28,NEW,WT-S,-217.5
2023-08-28,NEW,WT-L,-792.5
2023-08-31,OLD,WT-S,257.5
2023-08-31,NEW,WT-S,257.5
2023-09-01,NEW,WT-S,-205.0
2023-09-12,OLD,WT-S,-505.0
2023-09-12,NEW,WT-S,-505.0
2023-09-13,OLD,WT-S,-455.0
2023-09-13,NEW,WT-S,-455.0
2023-09-13,NEW,FADE,82.5
2023-09-15,OLD,WT-S,545.0
2023-09-15,OLD,WT-S,-155.0
2023-09-15,NEW,WT-S,545.0
2023-09-15,NEW,WT-S,-155.0
2023-09-19,OLD,WT-L,345.0
2023-09-19,NEW,WT-L,345.0
2023-09-20,OLD,WT-S,2757.5
2023-09-20,OLD,WT-L,-505.0
2023-09-20,OLD,WT-S,2370.0
2023-09-20,NEW,WT-S,2757.5
2023-09-20,NEW,WT-L,-505.0
2023-09-20,NEW,WT-S,2370.0
2023-09-22,OLD,WT-S,-555.0
2023-09-22,NEW,WT-S,-555.0
2023-09-27,OLD,FADE,-217.5
2023-09-27,NEW,FADE,-217.5
2023-10-03,OLD,WT-L,-755.0
2023-10-03,NEW,WT-L,-755.0
2023-10-04,OLD,WT-S,-792.5
2023-10-04,NEW,WT-L,-792.5
2023-10-04,NEW,WT-S,-792.5
2023-10-05,OLD,WT-S,-780.0
2023-10-05,NEW,WT-S,-780.0
2023-10-06,OLD,WT-L,82.5
2023-10-06,NEW,WT-L,82.5
2023-10-09,NEW,WT-L,1707.5
2023-10-11,OLD,WT-S,-892.5
2023-10-11,OLD,FADE,-217.5
2023-10-11,NEW,WT-S,-892.5
2023-10-11,NEW,FADE,-217.5
2023-10-12,NEW,FADE,-217.5
2023-10-13,OLD,FADE,-217.5
2023-10-13,OLD,WT-L,-330.0
2023-10-13,NEW,FADE,-217.5
2023-10-13,NEW,WT-L,-330.0
2023-10-19,OLD,FADE,-217.5
2023-10-19,OLD,WT-L,-892.5
2023-10-19,NEW,FADE,-217.5
2023-10-19,NEW,WT-L,-892.5
2023-10-25,OLD,FADE,-217.5
2023-10-25,OLD,WT-S,45.0
2023-10-25,NEW,FADE,-217.5
2023-10-25,NEW,WT-S,45.0
2023-10-27,OLD,WT-L,-880.0
2023-10-27,NEW,WT-L,-880.0
2023-10-31,OLD,FADE,-217.5
2023-10-31,OLD,WT-L,120.0
2023-10-31,NEW,FADE,-217.5
2023-10-31,NEW,WT-L,120.0
2023-11-03,OLD,FADE,-217.5
2023-11-03,NEW,FADE,-217.5
2023-11-06,OLD,WT-S,-517.5
2023-11-06,NEW,WT-S,-517.5
2023-11-07,OLD,WT-L,-105.0
2023-11-07,NEW,WT-L,-105.0
2023-11-07,NEW,WT-S,-242.5
2023-11-08,OLD,FADE,-217.5
2023-11-08,NEW,FADE,-217.5
2023-11-09,OLD,FADE,-217.5
2023-11-09,NEW,FADE,-217.5
2023-11-10,OLD,FADE,-217.5
2023-11-10,OLD,WT-L,582.5
2023-11-10,OLD,WT-L,520.0
2023-11-10,NEW,FADE,-217.5
2023-11-10,NEW,WT-L,582.5
2023-11-10,NEW,WT-L,520.0
2023-11-13,OLD,WT-L,-105.0
2023-11-13,NEW,WT-L,632.5
2023-11-13,NEW,WT-L,-105.0
2023-11-16,OLD,FADE,-217.5
2023-11-16,NEW,FADE,-217.5
2023-11-17,OLD,WT-L,95.0
2023-11-17,NEW,WT-L,95.0
2023-11-22,NEW,WT-S,282.5
2023-11-28,NEW,WT-S,-367.5
2023-11-29,OLD,WT-S,-342.5
2023-11-29,NEW,WT-S,-342.5
2023-11-30,OLD,WT-L,-367.5
2023-11-30,NEW,WT-L,-367.5
2023-12-01,OLD,WT-S,-380.0
2023-12-01,OLD,WT-L,195.0
2023-12-01,NEW,WT-S,-380.0
2023-12-01,NEW,WT-L,195.0
2023-12-05,OLD,WT-S,-392.5
2023-12-05,NEW,WT-S,-392.5
2023-12-05,NEW,WT-L,270.0
2023-12-06,OLD,WT-S,945.0
2023-12-06,OLD,WT-S,782.5
2023-12-06,NEW,WT-S,945.0
2023-12-06,NEW,WT-S,782.5
2023-12-07,OLD,WT-L,-180.0
2023-12-07,NEW,WT-L,-180.0
2023-12-08,OLD,WT-L,820.0
2023-12-08,NEW,WT-L,820.0
2023-12-12,OLD,WT-L,882.5
2023-12-12,OLD,WT-L,732.5
2023-12-12,NEW,WT-L,882.5
2023-12-12,NEW,WT-L,732.5
2023-12-14,OLD,FADE,-217.5
2023-12-14,NEW,FADE,-217.5
2023-12-15,OLD,WT-L,-592.5
2023-12-15,OLD,WT-L,-592.5
2023-12-15,NEW,WT-L,-592.5
2023-12-15,NEW,WT-L,-592.5
2023-12-19,OLD,WT-L,132.5
2023-12-19,OLD,WT-L,170.0
2023-12-19,NEW,WT-L,132.5
2023-12-19,NEW,WT-L,170.0
2023-12-28,OLD,WT-S,32.5
2023-12-28,NEW,WT-S,32.5
2023-12-29,OLD,WT-L,-55.0
2023-12-29,NEW,WT-L,-55.0
2024-01-03,OLD,FADE,-217.5
2024-01-03,NEW,FADE,-217.5
2024-01-05,OLD,WT-S,-567.5
2024-01-05,NEW,WT-S,-567.5
2024-01-11,OLD,WT-L,732.5
2024-01-11,NEW,WT-L,732.5
2024-01-16,OLD,WT-L,-580.0
2024-01-16,OLD,WT-S,-417.5
2024-01-16,NEW,WT-L,-580.0
2024-01-16,NEW,WT-S,-417.5
2024-01-18,OLD,WT-S,-592.5
2024-01-18,OLD,WT-S,-592.5
2024-01-18,NEW,WT-S,-592.5
2024-01-18,NEW,WT-S,-592.5
2024-01-19,OLD,WT-L,2082.5
2024-01-19,NEW,WT-L,2082.5
2024-01-22,OLD,WT-S,270.0
2024-01-22,OLD,WT-S,70.0
2024-01-22,NEW,WT-S,270.0
2024-01-22,NEW,WT-S,70.0
2024-01-23,OLD,WT-S,-567.5
2024-01-23,NEW,WT-S,-567.5
2024-01-24,NEW,WT-L,-555.0
2024-01-26,NEW,WT-S,-17.5
2024-01-26,NEW,WT-S,45.0
2024-02-01,OLD,WT-L,1795.0
2024-02-01,NEW,WT-L,1795.0
