Date,variant,net,stop_pts
2022-04-07,adr30,-855.0,16.75
2022-04-07,atr,-1080.0,21.25
2022-04-07,hybMax,-1080.0,21.25
2022-04-07,hybMax15,-1617.5,32.0
2022-04-07,expand,-855.0,16.75
2022-04-07,adr30,-855.0,16.75
2022-04-07,atr,-955.0,18.75
2022-04-07,hybMax,-955.0,18.75
2022-04-07,hybMax15,-1430.0,28.25
2022-04-07,expand,-855.0,16.75
2022-04-07,adr30,-855.0,16.75
2022-04-07,atr,-930.0,18.25
2022-04-07,hybMax,-930.0,18.25
2022-04-07,hybMax15,-1392.5,27.5
2022-04-07,expand,-855.0,16.75
2022-04-13,adr30,1557.5,18.5
2022-04-13,atr,1557.5,21.5
2022-04-13,hybMax,1557.5,21.5
2022-04-13,hybMax15,1557.5,32.25
2022-04-13,expand,1557.5,18.5
2022-04-13,adr30,907.5,18.5
2022-04-13,atr,907.5,13.5
2022-04-13,hybMax,907.5,18.5
2022-04-13,hybMax15,907.5,20.5
2022-04-13,expand,907.5,18.5
2022-04-13,adr30,295.0,18.5
2022-04-13,atr,295.0,12.75
2022-04-13,hybMax,295.0,18.5
2022-04-13,hybMax15,295.0,19.25
2022-04-13,expand,295.0,18.5
2022-04-14,adr30,1832.5,18.75
2022-04-14,atr,1832.5,24.75
2022-04-14,hybMax,1832.5,24.75
2022-04-14,hybMax15,1832.5,37.0
2022-04-14,expand,1832.5,18.75
2022-04-27,adr30,-1317.5,26.0
2022-04-27,atr,-2067.5,41.0
2022-04-27,hybMax,-2067.5,41.0
2022-04-27,hybMax15,-3092.5,61.5
2022-04-27,expand,-1317.5,26.0
2022-04-29,adr30,3407.5,27.5
2022-04-29,atr,3407.5,29.25
2022-04-29,hybMax,3407.5,29.25
2022-04-29,hybMax15,3407.5,44.0
2022-04-29,expand,3407.5,27.5
2022-05-04,adr30,-1567.5,31.0
2022-05-04,atr,-980.0,19.25
2022-05-04,hybMax,-1567.5,31.0
2022-05-04,hybMax15,-1567.5,31.0
2022-05-04,expand,-1567.5,31.0
2022-05-16,adr30,457.5,32.5
2022-05-16,atr,457.5,31.5
2022-05-16,hybMax,457.5,32.5
2022-05-16,hybMax15,457.5,47.5
2022-05-16,expand,457.5,32.5
2022-05-16,adr30,7.5,32.5
2022-05-16,atr,7.5,25.0
2022-05-16,hybMax,7.5,32.5
2022-05-16,hybMax15,7.5,37.75
2022-05-16,expand,7.5,32.5
2022-05-19,adr30,-1542.5,30.5
2022-05-19,atr,-2642.5,52.5
2022-05-19,hybMax,-2642.5,52.5
2022-05-19,hybMax15,-455.0,79.0
