Date,policy,net
2023-01-20,P3,2470.0
2023-01-20,P3,-205.0
2023-01-23,P1,-205.0
2023-01-23,P2,-205.0
2023-01-23,P3,-205.0
2023-01-31,P1,-205.0
2023-01-31,P1,-205.0
2023-01-31,P2,-205.0
2023-01-31,P2,-205.0
2023-01-31,P3,-205.0
2023-01-31,P3,-205.0
2023-02-02,P1,-205.0
2023-02-02,P2,-205.0
2023-02-02,P3,-205.0
2023-02-07,P1,-205.0
2023-02-07,P2,-205.0
2023-02-07,P3,-205.0
2023-02-15,P1,-205.0
2023-02-15,P2,-205.0
2023-02-15,P3,-205.0
2023-02-16,P1,-205.0
2023-02-16,P2,-205.0
2023-02-16,P3,-205.0
2023-02-17,P1,-205.0
2023-02-17,P2,-205.0
2023-02-17,P3,-205.0
2023-02-21,P1,670.0
2023-02-21,P2,670.0
2023-02-21,P3,670.0
2023-02-22,P1,-205.0
2023-02-22,P2,-205.0
2023-02-22,P3,-205.0
2023-02-24,P1,-205.0
2023-02-24,P2,-205.0
2023-02-24,P3,-205.0
2023-03-01,P1,-205.0
2023-03-01,P2,-205.0
2023-03-01,P3,-205.0
2023-03-02,P1,2082.5
2023-03-02,P2,2082.5
2023-03-02,P2,2020.0
2023-03-02,P3,2082.5
2023-03-02,P3,2020.0
2023-03-03,P1,-205.0
2023-03-03,P1,1107.5
2023-03-03,P2,-205.0
2023-03-03,P2,1107.5
2023-03-03,P2,732.5
2023-03-03,P3,-205.0
2023-03-03,P3,1107.5
2023-03-03,P3,732.5
2023-03-06,P1,-205.0
2023-03-06,P2,-205.0
2023-03-06,P2,-205.0
2023-03-06,P2,-205.0
2023-03-06,P3,-205.0
2023-03-06,P3,-205.0
2023-03-06,P3,-205.0
2023-03-07,P1,-205.0
2023-03-07,P2,-205.0
2023-03-07,P3,-205.0
2023-03-14,P1,-205.0
2023-03-14,P2,-205.0
2023-03-14,P3,-205.0
2023-03-20,P1,-205.0
2023-03-20,P2,-205.0
2023-03-20,P3,-205.0
2023-03-28,P1,-205.0
2023-03-28,P2,-205.0
2023-03-28,P3,-205.0
2023-03-30,P1,332.5
2023-03-30,P2,332.5
2023-03-30,P3,332.5
2023-04-05,P1,-205.0
2023-04-05,P1,270.0
2023-04-05,P2,-205.0
2023-04-05,P2,270.0
2023-04-05,P3,-205.0
2023-04-05,P3,270.0
2023-04-06,P1,-205.0
2023-04-06,P1,332.5
2023-04-06,P2,-205.0
2023-04-06,P2,332.5
2023-04-06,P2,120.0
2023-04-06,P2,120.0
2023-04-06,P3,-205.0
2023-04-06,P3,332.5
2023-04-06,P3,120.0
2023-04-06,P3,120.0
2023-04-11,P1,-205.0
2023-04-11,P1,-205.0
2023-04-11,P2,-205.0
2023-04-11,P2,-205.0
2023-04-11,P2,-205.0
2023-04-11,P3,-205.0
2023-04-11,P3,-205.0
2023-04-11,P3,-205.0
2023-04-12,P1,-205.0
2023-04-12,P2,-205.0
2023-04-12,P3,-205.0
2023-04-13,P1,1407.5
2023-04-13,P2,1407.5
2023-04-13,P3,1407.5
2023-04-14,P1,-205.0
2023-04-14,P2,-205.0
2023-04-14,P3,-205.0
2023-04-17,P1,-205.0
2023-04-17,P1,-205.0
2023-04-17,P2,-205.0
2023-04-17,P2,-205.0
2023-04-17,P3,-205.0
2023-04-17,P3,-205.0
2023-04-24,P1,-205.0
2023-04-24,P1,482.5
2023-04-24,P2,-205.0
2023-04-24,P2,-205.0
2023-04-24,P2,482.5
2023-04-24,P2,282.5
2023-04-24,P3,-205.0
2023-04-24,P3,-205.0
2023-04-24,P3,482.5
2023-04-24,P3,282.5
2023-04-25,P1,-180.0
2023-04-25,P2,-180.0
2023-04-25,P3,-180.0
2023-04-27,P1,1545.0
2023-04-27,P2,1545.0
2023-04-27,P2,1507.5
2023-04-27,P3,1545.0
2023-04-27,P3,1507.5
2023-04-28,P1,-205.0
2023-04-28,P2,-205.0
2023-04-28,P3,-205.0
2023-05-02,P1,-205.0
2023-05-02,P2,-205.0
2023-05-02,P3,-205.0
2023-05-05,P1,-205.0
2023-05-05,P2,-205.0
2023-05-05,P3,-205.0
2023-05-08,P1,-205.0
2023-05-08,P2,-205.0
2023-05-08,P3,-205.0
2023-05-11,P1,-205.0
2023-05-11,P2,-205.0
2023-05-11,P3,-205.0
2023-05-12,P1,-205.0
2023-05-12,P2,-205.0
2023-05-12,P3,-205.0
2023-05-19,P1,-205.0
2023-05-19,P2,-205.0
2023-05-19,P3,-205.0
2023-05-22,P1,-205.0
2023-05-22,P2,-205.0
2023-05-22,P3,-205.0
2023-05-24,P1,-205.0
2023-05-24,P2,-205.0
2023-05-24,P3,-205.0
2023-05-26,P1,-205.0
2023-05-26,P2,-205.0
2023-05-26,P3,-205.0
2023-06-05,P1,-205.0
2023-06-05,P2,-205.0
2023-06-05,P3,-205.0
2023-06-06,P1,-205.0
2023-06-06,P2,-205.0
2023-06-06,P3,-205.0
2023-06-07,P1,1082.5
2023-06-07,P2,1082.5
2023-06-07,P2,-205.0
2023-06-07,P3,1082.5
2023-06-07,P3,-205.0
2023-06-09,P1,-205.0
2023-06-09,P2,-205.0
2023-06-09,P3,-205.0
2023-06-13,P1,-205.0
2023-06-13,P1,-205.0
