Date,adr,short,fx2,fx3,fx4,fx5,fx6,fx8,fx10,fx12,adr0.06,adr0.08,adr0.1,adr0.12,adr0.15,adr0.2,EOD,is_tr
2024-04-11,46.925,False,-117.5,-167.5,95.0,95.0,95.0,95.0,95.0,95.0,-158.3,95.0,95.0,95.0,95.0,95.0,95.0,False
2024-04-23,68.175,True,-117.5,-167.5,-217.5,-130.0,-130.0,-130.0,-130.0,-130.0,-222.0,-130.0,-130.0,-130.0,-130.0,-130.0,-130.0,False
2024-04-30,58.95,True,-117.5,-167.5,1570.0,1570.0,1570.0,1570.0,1570.0,1570.0,1570.0,1570.0,1570.0,1570.0,1570.0,1570.0,1570.0,False
2024-05-06,62.55,False,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,820.0,820.0,-205.1,-267.7,-330.3,-392.8,820.0,820.0,820.0,False
2024-05-15,40.475,False,1207.5,1207.5,1207.5,1207.5,1207.5,1207.5,1207.5,1207.5,1207.5,1207.5,1207.5,1207.5,1207.5,1207.5,1207.5,False
2024-05-17,33.825,True,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-119.0,-152.8,-186.6,-220.5,-271.2,-355.8,-505.0,False
2024-05-20,32.125,False,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-117.5,-146.0,-178.1,-210.2,-258.4,-338.8,-755.0,False
2024-05-21,31.2,True,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-117.5,-142.3,-173.5,-204.7,-251.5,-329.5,-480.0,False
2024-06-07,44.3,False,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-150.4,-194.7,-239.0,-283.3,-349.8,-460.5,-917.5,False
2024-06-10,45.3,False,-117.5,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,False
2024-06-13,50.725,False,-117.5,682.5,682.5,682.5,682.5,682.5,682.5,682.5,682.5,682.5,682.5,682.5,682.5,682.5,682.5,False
2024-06-25,38.05,False,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-131.7,-169.7,-207.8,-245.8,-302.9,-398.0,132.5,False
2024-06-27,35.125,False,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-122.9,-158.0,-193.1,-228.3,-280.9,-368.7,157.5,False
2024-07-01,38.325,True,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-132.5,-170.8,-209.1,-247.5,-304.9,-400.7,-280.0,False
2024-07-12,40.25,False,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-138.2,-178.5,-218.7,-259.0,-319.4,-420.0,-817.5,False
2024-08-01,68.075,True,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-221.7,-289.8,-357.9,-425.9,-528.1,-698.2,-880.0,False
2024-08-06,85.825,False,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-275.0,-360.8,-446.6,-532.4,-661.2,-875.7,-1155.0,False
2024-08-06,85.825,False,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-275.0,-360.8,-446.6,-532.4,-661.2,-875.7,-4005.0,False
2024-08-14,96.175,False,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-306.0,-402.2,-498.4,-594.6,-738.8,-979.2,270.0,False
2024-08-16,84.05,False,-117.5,570.0,570.0,570.0,570.0,570.0,570.0,570.0,570.0,570.0,570.0,570.0,570.0,570.0,570.0,False
2024-08-29,51.625,False,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-172.4,-224.0,-275.6,-327.2,-404.7,-533.7,-1830.0,False
2024-09-04,60.225,True,-117.5,-167.5,-217.5,-267.5,682.5,682.5,682.5,682.5,-198.2,-258.4,682.5,682.5,682.5,682.5,682.5,False
2024-09-10,65.95,True,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-215.4,-281.3,-347.3,-413.2,-512.1,-677.0,-580.0,False
2024-09-24,60.375,True,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-198.6,-259.0,-319.4,-379.7,-470.3,-621.2,-1455.0,False
2024-10-01,47.675,True,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-160.5,-208.2,-255.9,-303.5,-375.1,-494.2,-917.5,False
2024-11-14,50.675,True,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-169.5,-220.2,-270.9,-321.6,-397.6,-524.3,1720.0,False
2024-11-14,50.675,True,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,-617.5,-169.5,-220.2,-270.9,-321.6,-397.6,-524.3,1145.0,False
2024-11-15,49.0,True,-117.5,-167.5,-217.5,-267.5,-317.5,-417.5,-517.5,45.0,-164.5,-213.5,-262.5,-311.5,-385.0,-507.5,45.0,False
2024-11-18,50.375,False,432.5,432.5,432.5,432.5,432.5,432.5,432.5,432.5,432.5,432.5,432.5,432.5,432.5,432.5,432.5,False
2024-11-29,48.55,False,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,False
