Date,dir,stop,target,dist_pts,net
2021-08-02,S,abr2.0,eod,5.75,482.5
2021-08-02,S,abr2.0,t2x,5.75,570.0
2021-08-02,S,abr2.0,t3x,5.75,-292.5
2021-08-02,S,abr3.0,eod,8.5,482.5
2021-08-02,S,abr3.0,t2x,8.5,-430.0
2021-08-02,S,abr3.0,t3x,8.5,-430.0
2021-08-02,S,abr4.0,eod,11.5,482.5
2021-08-02,S,abr4.0,t2x,11.5,-580.0
2021-08-02,S,abr4.0,t3x,11.5,-580.0
2021-08-02,S,adr.10,eod,3.75,482.5
2021-08-02,S,adr.10,t2x,3.75,370.0
2021-08-02,S,adr.10,t3x,3.75,557.5
2021-08-02,S,adr.15,eod,5.5,482.5
2021-08-02,S,adr.15,t2x,5.5,545.0
2021-08-02,S,adr.15,t3x,5.5,-280.0
2021-08-02,S,adr.20,eod,7.5,482.5
2021-08-02,S,adr.20,t2x,7.5,745.0
2021-08-02,S,adr.20,t3x,7.5,-380.0
2021-08-02,S,adr.30,eod,11.25,482.5
2021-08-02,S,adr.30,t2x,11.25,-567.5
2021-08-02,S,adr.30,t3x,11.25,-567.5
2021-08-02,S,fx4p,eod,4.0,482.5
2021-08-02,S,fx4p,t2x,4.0,395.0
2021-08-02,S,fx4p,t3x,4.0,595.0
2021-08-17,S,abr1.0,eod,5.75,-292.5
2021-08-17,S,abr1.0,t2x,5.75,-292.5
2021-08-17,S,abr1.0,t3x,5.75,-292.5
2021-08-17,S,abr1.5,eod,8.5,-430.0
2021-08-17,S,abr1.5,t2x,8.5,-430.0
2021-08-17,S,abr1.5,t3x,8.5,-430.0
2021-08-17,S,abr2.0,eod,11.5,-580.0
2021-08-17,S,abr2.0,t2x,11.5,-580.0
2021-08-17,S,abr2.0,t3x,11.5,-580.0
2021-08-17,S,abr3.0,eod,17.0,-855.0
2021-08-17,S,abr3.0,t2x,17.0,-855.0
2021-08-17,S,abr3.0,t3x,17.0,-855.0
2021-08-17,S,abr4.0,eod,22.75,-1142.5
2021-08-17,S,abr4.0,t2x,22.75,-1142.5
2021-08-17,S,abr4.0,t3x,22.75,-1142.5
2021-08-17,S,adr.10,eod,3.5,-180.0
2021-08-17,S,adr.10,t2x,3.5,345.0
2021-08-17,S,adr.10,t3x,3.5,-180.0
2021-08-17,S,adr.15,eod,5.0,-255.0
2021-08-17,S,adr.15,t2x,5.0,-255.0
2021-08-17,S,adr.15,t3x,5.0,-255.0
2021-08-17,S,adr.20,eod,6.75,-342.5
2021-08-17,S,adr.20,t2x,6.75,-342.5
2021-08-17,S,adr.20,t3x,6.75,-342.5
2021-08-17,S,adr.30,eod,10.25,-517.5
2021-08-17,S,adr.30,t2x,10.25,-517.5
2021-08-17,S,adr.30,t3x,10.25,-517.5
2021-08-17,S,fx4p,eod,4.0,-205.0
2021-08-17,S,fx4p,t2x,4.0,395.0
2021-08-17,S,fx4p,t3x,4.0,-205.0
2021-08-20,S,abr1.0,eod,3.5,-180.0
2021-08-20,S,abr1.0,t2x,3.5,-180.0
2021-08-20,S,abr1.0,t3x,3.5,-180.0
2021-08-20,S,abr1.5,eod,5.25,-267.5
2021-08-20,S,abr1.5,t2x,5.25,-267.5
2021-08-20,S,abr1.5,t3x,5.25,-267.5
2021-08-20,S,abr2.0,eod,7.25,-367.5
2021-08-20,S,abr2.0,t2x,7.25,-367.5
2021-08-20,S,abr2.0,t3x,7.25,-367.5
2021-08-20,S,abr3.0,eod,10.75,-542.5
2021-08-20,S,abr3.0,t2x,10.75,-542.5
2021-08-20,S,abr3.0,t3x,10.75,-542.5
2021-08-20,S,abr4.0,eod,14.25,-355.0
2021-08-20,S,abr4.0,t2x,14.25,-717.5
2021-08-20,S,abr4.0,t3x,14.25,-717.5
2021-08-20,S,adr.10,eod,3.5,-180.0
2021-08-20,S,adr.10,t2x,3.5,-180.0
2021-08-20,S,adr.10,t3x,3.5,-180.0
2021-08-20,S,adr.15,eod,5.5,-280.0
2021-08-20,S,adr.15,t2x,5.5,-280.0
2021-08-20,S,adr.15,t3x,5.5,-280.0
2021-08-20,S,adr.20,eod,7.25,-367.5
2021-08-20,S,adr.20,t2x,7.25,-367.5
2021-08-20,S,adr.20,t3x,7.25,-367.5
2021-08-20,S,adr.30,eod,10.75,-542.5
2021-08-20,S,adr.30,t2x,10.75,-542.5
2021-08-20,S,adr.30,t3x,10.75,-542.5
2021-08-20,S,fx4p,eod,4.0,-205.0
2021-08-20,S,fx4p,t2x,4.0,-205.0
2021-08-20,S,fx4p,t3x,4.0,-205.0
2021-08-20,L,abr1.0,eod,2.25,-117.5
2021-08-20,L,abr1.0,t2x,2.25,-117.5
2021-08-20,L,abr1.0,t3x,2.25,-117.5
2021-08-20,L,abr1.5,eod,3.5,-180.0
2021-08-20,L,abr1.5,t2x,3.5,-180.0
2021-08-20,L,abr1.5,t3x,3.5,-180.0
2021-08-20,L,abr2.0,eod,4.75,107.5
2021-08-20,L,abr2.0,t2x,4.75,-242.5
