Date,first,ADR/EOD,ADR/EOD_r,ADR/1:1,ADR/1:1_r,ADR/2:1,ADR/2:1_r,SB/1:1,SB/1:1_r,SB/2:1,SB/2:1_r,SB/EOD,SB/EOD_r
2023-06-07,True,1095.0,eod,532.5,win,1082.5,win,107.5,win,232.5,win,1095.0,eod
2023-06-07,False,270.0,eod,270.0,eod,270.0,eod,-80.0,stop,-80.0,stop,-80.0,stop
2023-06-09,True,-580.0,stop,-580.0,stop,-580.0,stop,132.5,win,-167.5,stop,-167.5,stop
2023-06-13,True,-592.5,stop,-592.5,stop,-592.5,stop,182.5,win,382.5,win,-217.5,stop
2023-06-13,False,-592.5,stop,-592.5,stop,-592.5,stop,-92.5,stop,-92.5,stop,-92.5,stop
2023-06-15,True,670.0,eod,582.5,win,1182.5,win,-92.5,stop,-92.5,stop,-92.5,stop
2023-06-20,True,-592.5,stop,-592.5,stop,-592.5,stop,-192.5,stop,-192.5,stop,-192.5,stop
2023-06-26,True,245.0,eod,532.5,win,245.0,eod,-142.5,stop,-142.5,stop,-142.5,stop
2023-06-28,True,-592.5,stop,557.5,win,-592.5,stop,-205.0,stop,-205.0,stop,-205.0,stop
2023-06-29,True,-555.0,stop,-555.0,stop,-555.0,stop,-92.5,stop,-92.5,stop,-92.5,stop
2023-07-17,True,-180.0,eod,370.0,win,-180.0,eod,7.5,win,32.5,win,-42.5,stop
2023-07-25,True,307.5,eod,445.0,win,307.5,eod,-42.5,stop,-42.5,stop,-42.5,stop
2023-07-25,False,132.5,eod,445.0,win,132.5,eod,-30.0,stop,-30.0,stop,-30.0,stop
2023-08-01,True,-80.0,eod,-80.0,eod,-80.0,eod,132.5,win,282.5,win,-167.5,stop
2023-08-07,True,595.0,eod,557.5,win,595.0,eod,57.5,win,-92.5,stop,-92.5,stop
2023-08-14,True,507.5,eod,582.5,win,507.5,eod,-155.0,stop,-155.0,stop,-155.0,stop
2023-08-22,True,-730.0,stop,-730.0,stop,-730.0,stop,-205.0,stop,-205.0,stop,-205.0,stop
2023-08-23,True,445.0,eod,682.5,win,445.0,eod,82.5,win,182.5,win,445.0,eod
2023-08-25,True,1070.0,eod,720.0,win,1457.5,win,307.5,win,632.5,win,1070.0,eod
2023-08-28,True,-217.5,eod,757.5,win,-217.5,eod,-180.0,stop,-180.0,stop,-180.0,stop
2023-08-28,False,-792.5,stop,-792.5,stop,-792.5,stop,-80.0,stop,-80.0,stop,-80.0,stop
2023-08-31,True,257.5,eod,257.5,eod,257.5,eod,132.5,win,282.5,win,-167.5,stop
2023-09-12,True,-505.0,stop,-505.0,stop,-505.0,stop,95.0,win,207.5,win,-130.0,stop
2023-09-13,True,-455.0,stop,-455.0,stop,-455.0,stop,-417.5,stop,-417.5,stop,-417.5,stop
2023-09-15,True,545.0,eod,420.0,win,857.5,win,-205.0,stop,-205.0,stop,-205.0,stop
2023-09-15,False,-155.0,eod,-155.0,eod,-155.0,eod,70.0,win,-105.0,stop,-105.0,stop
2023-09-19,True,345.0,eod,445.0,win,345.0,eod,-105.0,stop,-105.0,stop,-105.0,stop
2023-09-20,True,2757.5,eod,470.0,win,957.5,win,-155.0,stop,-155.0,stop,-155.0,stop
2023-09-20,False,-505.0,stop,-505.0,stop,-505.0,stop,45.0,win,-80.0,stop,-80.0,stop
2023-09-20,False,2370.0,eod,470.0,win,957.5,win,395.0,win,807.5,win,2370.0,eod
2023-09-22,True,-555.0,stop,-555.0,stop,-555.0,stop,-217.5,stop,-217.5,stop,-217.5,stop
2023-10-03,True,-755.0,stop,-755.0,stop,-755.0,stop,232.5,win,-267.5,stop,-267.5,stop
2023-10-04,True,-792.5,stop,-792.5,stop,-792.5,stop,82.5,win,182.5,win,-117.5,stop
2023-10-05,True,-780.0,stop,-780.0,stop,-780.0,stop,170.0,win,357.5,win,-205.0,stop
2023-10-06,True,82.5,eod,82.5,eod,82.5,eod,120.0,win,257.5,win,-155.0,stop
2023-10-11,True,-892.5,stop,-892.5,stop,-892.5,stop,-167.5,stop,-167.5,stop,-167.5,stop
2023-10-13,True,-330.0,eod,-330.0,eod,-330.0,eod,-292.5,stop,-292.5,stop,-292.5,stop
2023-10-19,True,-892.5,stop,-892.5,stop,-892.5,stop,-705.0,stop,-705.0,stop,-705.0,stop
2023-10-25,True,45.0,eod,45.0,eod,45.0,eod,220.0,win,457.5,win,45.0,eod
2023-10-27,True,-880.0,stop,-880.0,stop,-880.0,stop,-180.0,stop,-180.0,stop,-180.0,stop
2023-10-31,True,120.0,eod,120.0,eod,120.0,eod,82.5,win,182.5,win,120.0,eod
2023-11-06,True,-517.5,eod,-517.5,eod,-517.5,eod,57.5,win,132.5,win,-92.5,stop
2023-11-07,True,-105.0,eod,-105.0,eod,-105.0,eod,-105.0,stop,-105.0,stop,-105.0,stop
2023-11-10,True,582.5,eod,595.0,win,582.5,eod,57.5,win,132.5,win,582.5,eod
2023-11-10,False,520.0,eod,595.0,win,520.0,eod,70.0,win,157.5,win,520.0,eod
2023-11-13,True,-105.0,eod,-105.0,eod,-105.0,eod,-67.5,stop,-67.5,stop,-67.5,stop
2023-11-17,True,95.0,eod,532.5,win,95.0,eod,532.5,win,95.0,eod,95.0,eod
2023-11-29,True,-342.5,stop,-342.5,stop,-342.5,stop,7.5,win,32.5,win,-42.5,stop
2023-11-30,True,-367.5,stop,-367.5,stop,-367.5,stop,-192.5,stop,-192.5,stop,-192.5,stop
2023-12-01,True,-380.0,stop,-380.0,stop,-380.0,stop,-180.0,stop,-180.0,stop,-180.0,stop
2023-12-01,False,195.0,eod,195.0,eod,195.0,eod,-92.5,stop,-92.5,stop,-92.5,stop
2023-12-05,True,-392.5,stop,357.5,win,-392.5,stop,170.0,win,357.5,win,-205.0,stop
2023-12-06,True,945.0,eod,370.0,win,757.5,win,-117.5,stop,-117.5,stop,-117.5,stop
2023-12-06,False,782.5,eod,370.0,win,757.5,win,32.5,win,-67.5,stop,-67.5,stop
2023-12-07,True,-180.0,eod,-180.0,eod,-180.0,eod,-67.5,stop,-67.5,stop,-67.5,stop
2023-12-08,True,820.0,eod,432.5,win,882.5,win,45.0,win,107.5,win,-80.0,stop
2023-12-12,True,882.5,eod,482.5,win,882.5,eod,-92.5,stop,-92.5,stop,-92.5,stop
2023-12-12,False,732.5,eod,482.5,win,732.5,eod,-80.0,stop,-80.0,stop,-80.0,stop
2023-12-15,True,-592.5,stop,-592.5,stop,-592.5,stop,282.5,win,-317.5,stop,-317.5,stop
2023-12-15,False,-592.5,stop,-592.5,stop,-592.5,stop,-105.0,stop,-105.0,stop,-105.0,stop
2023-12-19,True,132.5,eod,132.5,eod,132.5,eod,-105.0,stop,-105.0,stop,-105.0,stop
2023-12-19,False,170.0,eod,170.0,eod,170.0,eod,170.0,eod,170.0,eod,170.0,eod
2023-12-28,True,32.5,eod,32.5,eod,32.5,eod,-55.0,stop,-55.0,stop,-55.0,stop
2023-12-29,True,-55.0,eod,-55.0,eod,-55.0,eod,70.0,win,157.5,win,-105.0,stop
2024-01-05,True,-567.5,stop,-567.5,stop,-567.5,stop,-130.0,stop,-130.0,stop,-130.0,stop
