Date,book,dir,gap,gross_20,net_20,gross_30,net_30,gross_40,net_40
2022-12-19,WT,S,0.151,962.5,945.0,962.5,945.0,962.5,945.0
2022-12-19,WT,S,0.151,987.5,970.0,987.5,970.0,987.5,970.0
2022-12-21,WT,L,0.628,200.0,182.5,200.0,182.5,200.0,182.5
2022-12-28,WT,S,0.076,1812.5,1795.0,1812.5,1795.0,1812.5,1795.0
2022-12-28,FADE,S,0.076,-200.0,-217.5,-200.0,-217.5,-200.0,-217.5
2023-01-04,WT,L,0.64,-575.0,-592.5,-875.0,-892.5,-1162.5,-1180.0
2023-01-04,WT,S,0.64,-575.0,-592.5,-875.0,-892.5,-787.5,-805.0
2023-01-05,FADE,S,0.425,-200.0,-217.5,-200.0,-217.5,-200.0,-217.5
2023-01-09,WT,L,0.555,-625.0,-642.5,-937.5,-955.0,-1250.0,-1267.5
2023-01-09,WT,L,0.555,-625.0,-642.5,-937.5,-955.0,-1250.0,-1267.5
2023-01-09,WT,S,0.555,1387.5,1370.0,1387.5,1370.0,1387.5,1370.0
2023-01-11,WT,L,0.355,1150.0,1132.5,1150.0,1132.5,1150.0,1132.5
2023-01-12,WT,S,0.21,-600.0,-617.5,-900.0,-917.5,-1200.0,-1217.5
2023-01-13,WT,L,0.759,1325.0,1307.5,1325.0,1307.5,1325.0,1307.5
2023-01-17,WT,L,0.178,-562.5,-580.0,-837.5,-855.0,-1125.0,-1142.5
2023-01-18,WT,S,0.272,1000.0,982.5,1000.0,982.5,1000.0,982.5
2023-01-19,WT,L,0.477,-537.5,-555.0,-462.5,-480.0,-462.5,-480.0
2023-01-20,WT,L,0.256,2500.0,2482.5,2500.0,2482.5,2500.0,2482.5
2023-01-20,WT,L,0.256,1912.5,1895.0,1912.5,1895.0,1912.5,1895.0
2023-01-31,WT,L,0.031,1312.5,1295.0,1312.5,1295.0,1312.5,1295.0
2023-01-31,WT,L,0.031,1075.0,1057.5,1075.0,1057.5,1075.0,1057.5
2023-02-07,WT,L,0.235,-587.5,-605.0,-875.0,-892.5,-1175.0,-1192.5
2023-02-08,FADE,S,0.268,-200.0,-217.5,-200.0,-217.5,-200.0,-217.5
2023-02-09,FADE,S,0.791,3025.0,3007.5,3025.0,3007.5,3025.0,3007.5
2023-02-15,WT,L,0.432,462.5,445.0,462.5,445.0,462.5,445.0
2023-02-16,WT,L,1.141,-575.0,-592.5,-850.0,-867.5,-1137.5,-1155.0
2023-02-17,WT,S,0.436,-562.5,-580.0,-850.0,-867.5,-1125.0,-1142.5
2023-02-24,WT,L,1.05,-450.0,-467.5,362.5,345.0,362.5,345.0
2023-03-01,WT,S,0.074,-87.5,-105.0,-87.5,-105.0,-87.5,-105.0
2023-03-02,WT,L,0.476,2050.0,2032.5,2050.0,2032.5,2050.0,2032.5
2023-03-03,WT,L,0.415,1650.0,1632.5,1650.0,1632.5,1650.0,1632.5
2023-03-03,WT,L,0.415,762.5,745.0,762.5,745.0,762.5,745.0
2023-03-06,WT,L,0.14,-437.5,-455.0,-662.5,-680.0,-875.0,-892.5
2023-03-06,WT,L,0.14,-437.5,-455.0,-662.5,-680.0,-875.0,-892.5
2023-03-07,WT,S,0.041,-462.5,-480.0,-700.0,-717.5,1150.0,1132.5
2023-03-07,FADE,S,0.041,1137.5,1120.0,1137.5,1120.0,1137.5,1120.0
2023-03-14,WT,S,1.036,-625.0,-642.5,-937.5,-955.0,-1250.0,-1267.5
2023-03-20,WT,S,0.112,-175.0,-192.5,-175.0,-192.5,-175.0,-192.5
2023-03-27,FADE,S,0.459,-200.0,-217.5,-200.0,-217.5,-200.0,-217.5
2023-03-28,WT,S,0.211,-675.0,-692.5,-1012.5,-1030.0,-900.0,-917.5
2023-03-29,FADE,S,0.844,-200.0,-217.5,-200.0,-217.5,-200.0,-217.5
2023-04-06,WT,L,0.206,1262.5,1245.0,1262.5,1245.0,1262.5,1245.0
2023-04-06,WT,L,0.206,150.0,132.5,150.0,132.5,150.0,132.5
2023-04-06,WT,L,0.206,150.0,132.5,150.0,132.5,150.0,132.5
2023-04-11,WT,S,0.036,-362.5,-380.0,-537.5,-555.0,-712.5,-730.0
2023-04-11,WT,L,0.036,-362.5,-380.0,-112.5,-130.0,-112.5,-130.0
