DateTime,Open,High,Low,Close,K,D,KSignalUp,KSignalDn,ZoneSignal
2024-06-14 15:15:00,5963.00,5970.00,5924.75,5964.50,88.8158,88.8158,0,0,0
2024-06-17 15:15:00,5962.50,6023.50,5952.25,6008.75,91.1940,91.1940,0,1,-1
2024-06-18 15:15:00,6010.50,6025.25,6004.00,6022.25,98.2275,98.2275,0,1,-1
2024-06-19 12:00:00,6024.25,6029.50,6022.25,6024.25,96.8750,96.8750,0,0,0
2024-06-20 15:15:00,6024.50,6050.50,5988.00,6007.00,76.9841,76.9841,0,0,0
2024-06-21 15:15:00,6007.50,6013.25,5981.50,5996.75,62.5436,62.5436,0,0,0
2024-06-24 15:15:00,6000.00,6021.00,5972.75,5979.50,43.5388,43.5388,0,0,0
2024-06-25 15:15:00,5978.50,6002.25,5973.50,5999.50,59.4433,59.4433,0,0,0
2024-06-26 15:15:00,5997.50,6014.25,5978.75,6006.00,54.7074,54.7074,0,0,0
2024-06-27 15:15:00,5995.50,6017.50,5978.25,6008.50,45.9807,45.9807,0,0,0
2024-06-28 15:15:00,6010.75,6047.50,5973.25,5984.00,14.4695,14.4695,1,0,0
2024-07-01 15:15:00,5996.75,6003.50,5967.00,5996.25,35.0299,35.0299,0,0,0
2024-07-02 15:15:00,5996.00,6032.25,5965.25,6031.25,80.2432,80.2432,0,1,-1
2024-07-03 12:15:00,6026.25,6058.25,6022.25,6052.75,94.0860,94.0860,0,1,-1
2024-07-04 12:00:00,6053.50,6059.50,6047.75,6051.00,90.9814,90.9814,0,0,0
2024-07-05 15:15:00,6050.25,6088.50,6047.50,6084.00,96.3489,96.3489,0,1,-1
2024-07-08 15:15:00,6074.50,6100.00,6073.25,6087.75,90.9091,90.9091,0,0,0
2024-07-09 15:15:00,6090.25,6108.25,6088.75,6093.75,89.8601,89.8601,0,0,0
2024-07-10 15:15:00,6094.25,6153.00,6093.25,6150.50,98.6684,98.6684,0,1,-1
