spec,medabs_fit,medbias_fit,exact_fit,within5_fit,within25_fit,agree_fit,n_fit,medabs_hold,medbias_hold,exact_hold,within5_hold,within25_hold,agree_hold,n_hold
ex1|cspot|sm9_flipneg_near,15.0,0.0,0.12043795620437957,0.2956204379562044,0.7153284671532847,0.9306569343065694,548,10.0,-5.0,0.1550632911392405,0.4050632911392405,0.9003164556962026,0.9651898734177216,632
ex1|cspot|sm7_upflip_near,15.0,0.0,0.09124087591240876,0.3248175182481752,0.6843065693430657,0.9288321167883211,548,10.0,-5.0,0.14556962025316456,0.40189873417721517,0.875,0.9683544303797469,632
ex1|cspot|sm7_flipneg_near,15.0,0.0,0.09124087591240876,0.3248175182481752,0.6824817518248175,0.927007299270073,548,10.0,-5.0,0.14715189873417722,0.40031645569620256,0.8765822784810127,0.9636075949367089,632
all|cspot|sm7_upflip_near,15.0,0.0,0.09671532846715329,0.2937956204379562,0.6222627737226277,0.8631386861313869,548,10.0,0.0,0.125,0.3512658227848101,0.7721518987341772,0.8575949367088608,632
all|cspot|sm7_flipneg_near,15.0,0.0,0.09671532846715329,0.2937956204379562,0.6259124087591241,0.8722627737226277,548,10.0,0.0,0.125,0.3512658227848101,0.7737341772151899,0.8623417721518988,632
all|cspot|sm9_flipneg_near,15.0,0.0,0.10218978102189781,0.2645985401459854,0.6496350364963503,0.8813868613138686,548,15.0,0.0,0.12183544303797468,0.33544303797468356,0.7958860759493671,0.8765822784810127,632
all|cspot|sm9_upflip_near,15.0,0.0,0.10218978102189781,0.2645985401459854,0.6496350364963503,0.8777372262773723,548,15.0,0.0,0.12183544303797468,0.33544303797468356,0.7958860759493671,0.8718354430379747,632
all|mqspot|sm7_flipneg_near,15.0,0.0,0.09671532846715329,0.2956204379562044,0.6259124087591241,0.8759124087591241,548,10.0,0.0,0.125,0.3512658227848101,0.7737341772151899,0.8734177215189873,632
all|mqspot|sm9_upflip_near,15.0,0.0,0.10218978102189781,0.26277372262773724,0.6496350364963503,0.8740875912408759,548,15.0,0.0,0.12183544303797468,0.33544303797468356,0.7943037974683544,0.8670886075949367,632
all|mqspot|sm7_upflip_near,15.0,0.0,0.09671532846715329,0.2937956204379562,0.6222627737226277,0.8631386861313869,548,10.0,0.0,0.125,0.3512658227848101,0.7705696202531646,0.8560126582278481,632
