level,method,band,spot,n_fit,exact_fit,w25_fit,medae_fit,n_hold,exact_hold,w25_hold,medae_hold
cr0,maxtot_ge,b05,spotprev,495,0.14747474747474748,0.43434343434343436,40.0,632,0.18354430379746836,0.504746835443038,25.0
cr0,maxnet,none,spotprev,495,0.14545454545454545,0.42828282828282827,35.0,632,0.1550632911392405,0.5031645569620253,25.0
cr0,maxnet,b05,spotprev,495,0.14545454545454545,0.4262626262626263,35.0,632,0.1550632911392405,0.5031645569620253,25.0
cr0,maxnet,none,spoteod,495,0.14545454545454545,0.42828282828282827,35.0,632,0.1550632911392405,0.5031645569620253,25.0
cr0,maxtot_ge,b02,spotprev,495,0.14343434343434344,0.4303030303030303,40.0,632,0.1819620253164557,0.5015822784810127,25.0
cr0,maxnet,b05,spoteod,495,0.1414141414141414,0.4202020202020202,35.0,632,0.1550632911392405,0.5031645569620253,25.0
cr0,maxnet_ge,none,spotprev,495,0.1393939393939394,0.45252525252525255,35.0,632,0.15981012658227847,0.5332278481012658,25.0
cr0,maxnet_ge,b05,spotprev,495,0.1393939393939394,0.4505050505050505,35.0,632,0.15981012658227847,0.5332278481012658,25.0
cr0,maxcg,b02,spoteod,495,0.1393939393939394,0.3939393939393939,50.0,632,0.1661392405063291,0.45569620253164556,35.0
cr0,maxnet,b02,spotprev,495,0.12727272727272726,0.42828282828282827,35.0,632,0.15031645569620253,0.5110759493670886,25.0
cr0,maxtot,none,spotprev,495,0.12525252525252525,0.3393939393939394,50.0,632,0.1360759493670886,0.34177215189873417,50.0
cr0,maxtot,b05,spotprev,495,0.12525252525252525,0.3393939393939394,50.0,632,0.1360759493670886,0.34177215189873417,50.0
cr0,maxtot,none,spoteod,495,0.12525252525252525,0.3393939393939394,50.0,632,0.1360759493670886,0.34177215189873417,50.0
cr0,maxtot,b02,spotprev,495,0.12323232323232323,0.3393939393939394,50.0,632,0.1360759493670886,0.3401898734177215,50.0
cr0,maxtot,b05,spoteod,495,0.12323232323232323,0.3373737373737374,50.0,632,0.1360759493670886,0.34177215189873417,50.0
cr0,maxnet_ge,b02,spotprev,495,0.12121212121212122,0.4626262626262626,30.0,632,0.1550632911392405,0.5427215189873418,25.0
cr0,maxnet,b02,spoteod,495,0.12121212121212122,0.4222222222222222,40.0,632,0.15822784810126583,0.5015822784810127,25.0
cr0,maxtot,b02,spoteod,495,0.11717171717171718,0.3373737373737374,50.0,632,0.13449367088607594,0.3449367088607595,50.0
gw0,maxcg_ge,none,spoteod,495,0.22424242424242424,0.5737373737373738,25.0,632,0.28164556962025317,0.6756329113924051,20.0
