level,slice,meas,side,target,n_fit,exact_fit,w25_fit,medae_fit,n_hold,exact_hold,w25_hold,medae_hold
ps0,E01,netg,none,max,550,0.014545454545454545,0.12545454545454546,100.0,632,0.014240506329113924,0.1629746835443038,70.0
ps0,E0,totg,ge,max,495,0.01616161616161616,0.12323232323232323,75.0,632,0.012658227848101266,0.11392405063291139,75.0
ps0,E0,co,none,max,495,0.00808080808080808,0.06060606060606061,160.0,632,0.011075949367088608,0.061708860759493674,150.0
ps0,E0,cg,ge,max,495,0.012121212121212121,0.08282828282828283,90.0,632,0.007911392405063292,0.08386075949367089,85.0
ps0,E0,po,none,max,495,0.00202020202020202,0.010101010101010102,600.0,632,0.007911392405063292,0.0189873417721519,950.0
ps0,E0,netg,none,max,495,0.014141414141414142,0.11515151515151516,90.0,632,0.007911392405063292,0.12025316455696203,75.0
ps0,E01,cg,ge,max,550,0.023636363636363636,0.11636363636363636,90.0,632,0.007911392405063292,0.11234177215189874,80.0
ps0,E01,co,none,max,550,0.00909090909090909,0.04363636363636364,190.0,632,0.007911392405063292,0.03639240506329114,185.0
ps0,E01,po,none,max,550,0.014545454545454545,0.02909090909090909,550.0,632,0.007911392405063292,0.01740506329113924,1020.0
ps0,E0,po,le,max,495,0.00202020202020202,0.010101010101010102,600.0,632,0.006329113924050633,0.01740506329113924,952.5
ps0,E01,po,le,max,550,0.014545454545454545,0.02727272727272727,550.0,632,0.006329113924050633,0.012658227848101266,1020.0
ps0,E0,co,ge,max,495,0.00202020202020202,0.01616161616161616,200.0,632,0.004746835443037975,0.01740506329113924,160.0
ps0,E0,neto,none,max,495,0.00202020202020202,0.03636363636363636,200.0,632,0.004746835443037975,0.022151898734177215,175.0
ps0,E0,neto,none,min,495,0.00202020202020202,0.006060606060606061,600.0,632,0.004746835443037975,0.014240506329113924,970.0
ps0,E0,neto,le,min,495,0.00202020202020202,0.006060606060606061,600.0,632,0.0031645569620253164,0.012658227848101266,970.0
ps0,E01,co,ge,max,550,0.005454545454545455,0.016363636363636365,200.0,632,0.0031645569620253164,0.020569620253164556,175.0
ps0,E01,netg,ge,max,550,0.0036363636363636364,0.05272727272727273,100.0,632,0.0031645569620253164,0.07278481012658228,100.0
ps0,E01,neto,none,min,550,0.014545454545454545,0.02181818181818182,600.0,632,0.0031645569620253164,0.012658227848101266,1090.0
ps0,E0,netg,ge,max,495,0.00404040404040404,0.052525252525252523,100.0,632,0.0015822784810126582,0.060126582278481014,95.0
ps0,E0,neto,ge,max,495,0.0,0.010101010101010102,210.0,632,0.0015822784810126582,0.004746835443037975,185.0
ps0,E01,neto,le,min,550,0.01090909090909091,0.016363636363636365,600.0,632,0.0015822784810126582,0.00949367088607595,1090.0
ps0,E01,neto,none,max,550,0.0036363636363636364,0.014545454545454545,225.0,632,0.0,0.02531645569620253,185.0
ps0,E01,neto,ge,max,550,0.0018181818181818182,0.007272727272727273,250.0,632,0.0,0.011075949367088608,195.0
