level,lo,hi,grid,band,side,n_fit,exact_fit,w25_fit,medae_fit,n_hold,exact_hold,w25_hold,medae_hold
cr,1,9999,m25,b30,none,549,0.6721311475409836,0.6867030965391621,0.0,632,0.740506329113924,0.7689873417721519,0.0
cr,1,9999,m25,b30,ge,549,0.6721311475409836,0.6867030965391621,0.0,632,0.7895569620253164,0.8085443037974683,0.0
cr,1,9999,m50,b20,ge,549,0.6703096539162113,0.6775956284153005,0.0,632,0.819620253164557,0.8259493670886076,0.0
cr,1,9999,m100,none,ge,549,0.6703096539162113,0.6703096539162113,0.0,632,0.7800632911392406,0.7816455696202531,0.0
cr,1,9999,m100,b30,ge,549,0.6703096539162113,0.6703096539162113,0.0,632,0.7800632911392406,0.7816455696202531,0.0
cr,2,180,m25,none,none,549,0.6703096539162113,0.6775956284153005,0.0,632,0.8670886075949367,0.8718354430379747,0.0
cr,2,180,m25,b20,none,549,0.6703096539162113,0.6775956284153005,0.0,632,0.8670886075949367,0.8734177215189873,0.0
cr,2,180,m25,b30,none,549,0.6703096539162113,0.6775956284153005,0.0,632,0.8670886075949367,0.8718354430379747,0.0
cr,2,365,m100,b20,none,549,0.6703096539162113,0.6721311475409836,0.0,632,0.805379746835443,0.8085443037974683,0.0
cr,2,180,m50,none,none,549,0.668488160291439,0.6757741347905283,0.0,632,0.8670886075949367,0.8718354430379747,0.0
cr,2,180,m50,b20,none,549,0.668488160291439,0.6757741347905283,0.0,632,0.8670886075949367,0.8734177215189873,0.0
cr,2,180,m50,b30,none,549,0.668488160291439,0.6757741347905283,0.0,632,0.8670886075949367,0.8718354430379747,0.0
cr,2,9999,m100,b20,ge,549,0.668488160291439,0.668488160291439,0.0,632,0.8085443037974683,0.8117088607594937,0.0
cr,1,365,m100,none,none,549,0.663023679417122,0.6648451730418944,0.0,632,0.754746835443038,0.7563291139240507,0.0
cr,1,365,m100,b30,none,549,0.663023679417122,0.6648451730418944,0.0,632,0.754746835443038,0.7563291139240507,0.0
cr,1,365,m50,none,none,549,0.6612021857923497,0.668488160291439,0.0,632,0.7689873417721519,0.7737341772151899,0.0
cr,1,365,m50,b30,none,549,0.6612021857923497,0.668488160291439,0.0,632,0.7689873417721519,0.7737341772151899,0.0
cr,1,9999,m25,b20,none,549,0.6593806921675774,0.6739526411657559,0.0,632,0.7420886075949367,0.7721518987341772,0.0
cr,1,9999,m25,b20,ge,549,0.6593806921675774,0.6739526411657559,0.0,632,0.7911392405063291,0.8117088607594937,0.0
cr,1,9999,m100,b20,ge,549,0.6575591985428051,0.6575591985428051,0.0,632,0.7816455696202531,0.7848101265822784,0.0
