eod_date,r2,spot,b0_0,b1_2,b3_5,b6_10,b11_21,b22_45,b46_90,b91_400
2024-10-03,0.9625545410529153,5687.06,0.0,316104.7695081623,-175759.99998848158,1215577.3842357772,310591.0864361748,323143.0206319304,1823578.9796801903,-230255.92019017573
2024-10-04,0.9998148609549087,5745.81,0.0,-27949.36769087403,591886.1510766968,700270.4827204236,521012.9362223316,584101.9718535166,1117177.4609239406,236435.79982098757
2024-10-07,0.9989217053526409,5692.25,0.0,24166.587582025677,578585.112424449,563095.6199681393,591763.1675172893,557603.931073207,613288.8762866211,548105.7262792755
2024-10-08,0.9971290135597362,5752.12,0.0,62761.01850606967,843156.0676528935,394554.2554308879,484642.8450316905,538301.6648138146,685659.9337422209,1590494.8612454871
2024-10-09,0.99573928701207,5789.56,0.0,-26722.526529382914,955315.0171773708,731450.879919735,162708.96176431334,573244.0614602026,622344.226380765,465158.19834770286
2024-10-10,0.9980389910428572,5776.89,0.0,296831.527558838,859743.723356131,598801.2210049594,851269.2352063794,466589.169275442,649254.3432117602,-287714.46825995616
2024-10-11,0.9973940857187727,5820.18,0.0,-2368058.4038583552,554264.5983215144,438196.9054779692,23304.386336568452,-260526.79994416886,966060.7938054606,602821.0938632996
2024-10-14,0.998679564738737,5865.8,0.0,-22536.9507913047,604948.706838757,701236.0850246836,664156.6599558947,739966.3903878235,-62177.66077809516,549530.4821584524
2024-10-15,0.9992136239410747,5809.21,0.0,82873.61540169409,615564.7558817063,19259.531354102684,668037.3465258863,1972940.5745948637,-1718100.9361974197,1919426.8151081654
2024-10-16,0.9997356382929913,5841.04,0.0,19839.798591930652,549733.5906205899,673868.65165272,603182.8899367931,432911.48634476564,151619.8432994036,1132619.6407234808
2024-10-17,0.9864470069055086,5844.48,0.0,473987.435944085,2270715.84067912,-585282.010335185,868288.7620514415,987714.2517640839,3301780.6053432217,-1216137.138515096
2024-10-18,0.998536344586777,5859.83,0.0,3226.1064841158222,648692.4263288626,693890.4561277789,571107.144529764,459868.941978317,965193.9302440383,-681504.2591126413
2024-10-21,0.9996290915383771,5844.41,0.0,47443.55860431853,658182.0207181866,625822.4352204924,640563.660144955,635705.7346394956,493410.6576669457,587533.7947070242
2024-10-22,0.9986709749472246,5855.58,0.0,565886.4370050007,561900.3721831401,537331.17674862,515637.07838377485,491008.7769248045,952595.0798200131,-334290.0634604936
2024-10-23,0.9982846705801937,5797.33,0.0,43661.167904197195,838074.4345965063,204240.0980370364,1217579.0648957314,413036.15996230184,269168.88748790685,1091347.88214181
2024-10-24,0.9989122965890055,5810.36,0.0,718666.8596531415,-800645.0279180754,624383.0704971433,1541886.190672196,-320483.340372427,-956416.2236281002,3095256.3646349055
2024-10-25,0.9998161340353886,5810.96,0.0,-36976.05561586146,475612.67462707317,618885.6020350246,554529.2116564304,527269.63100583,120663.664868318,1408036.3901504108
2024-10-28,0.9953596534658901,5831.69,0.0,532866.2286526756,464273.3937250135,393993.52198002895,620365.9333269618,1448618.002396245,1110785.3124677439,-637576.2665135928
2024-10-29,0.9950827873036938,5840.26,0.0,36431.527027403354,591736.482370049,907515.5815364467,404718.14726197714,838822.5831173054,114264.03483921444,1157704.9420956392
2024-10-30,0.9973050381329609,5819.89,0.0,542846.2691555975,719318.5936804522,560278.8589811452,407322.58274256886,653991.8115400873,363142.90187495475,1101605.4220504365
2024-10-31,0.9853900531950492,5725.06,0.0,22886.294666915084,706487.120566714,1273677.216287342,1177701.274785539,18876.211736628564,178523.49321223138,982797.9531077972
2024-11-01,0.9999538656756286,5735.45,0.0,-26473.54532773979,545088.7537449963,585329.201897741,548760.4109363452,653634.1823206163,637367.2882292658,539762.3694611911
2024-11-04,0.9974826683246638,5716.26,0.0,192929.3875247779,639394.9508647539,1650268.2676908493,619008.7570125427,403930.68790277385,495471.28471218765,786906.2662165441
2024-11-05,0.9998031244492172,5768.73,0.0,-22853.094336461858,988845.0702514377,329999.328112292,425164.56051762204,573296.2473183544,667443.4892893643,786814.5585062996
2024-11-06,0.9994690362707279,5929.76,0.0,28552.065811752924,753043.4989491674,669813.5905822425,169272.97452437022,444768.8763439491,588573.2075308231,1199106.5592740404
2024-11-07,0.9886477766721536,5979.6,0.0,105628.26913598273,1225582.5377898603,505307.2213167625,1139726.4029723748,966491.523598249,570255.6157298866,-1522737.1769589074
2024-11-08,0.9996199957042289,5994.96,0.0,-5168.053175333771,598772.3502964632,585806.849381296,599244.6250702579,565974.2075869435,622222.1402954267,857428.2909681548
2024-11-12,0.997968761019601,5986.92,0.0,427773.804671161,587017.2688197265,258522.8052538675,623940.7327590138,871457.6641207656,631176.1882769068,-75991.40542160765
2024-11-13,0.9613108674746621,5996.92,0.0,-142500.549305298,55186.68652183193,-261428.7564289672,861436.7195617926,-214934.13441050836,1248593.9197961574,899750.4817907979
2024-11-14,0.9381689285717978,5944.89,0.0,145133.67409443343,2644559.998515247,1294997.6273045223,1355856.1169966701,5803369.952210596,-314831.05463535374,-8263973.444557862
2024-11-15,0.9996511585987269,5864.25,0.0,2696.1980862368364,457484.0843434867,680251.2529678652,406727.5289737506,883215.7244267036,585666.4029774676,521225.54975256696
