dte,grid,side,band,meas,n_fit,exact_fit,w25_fit,medae_fit,bias_fit,n_hold,exact_hold,w25_hold,medae_hold,bias_hold,level
le60,m100,ge,b20,net,549,0.5136612021857924,0.5300546448087432,0.0,0.0,632,0.6376582278481012,0.6455696202531646,0.0,0.0,cr
le60,m100,gt,bNone,net,549,0.5136612021857924,0.5300546448087432,0.0,0.0,632,0.6376582278481012,0.6455696202531646,0.0,0.0,cr
le60,m100,gt,b15,net,549,0.5136612021857924,0.5300546448087432,0.0,0.0,632,0.6376582278481012,0.6424050632911392,0.0,0.0,cr
le60,m100,gt,b20,net,549,0.5136612021857924,0.5300546448087432,0.0,0.0,632,0.6376582278481012,0.6455696202531646,0.0,0.0,cr
le90,m25,none,bNone,net,549,0.5136612021857924,0.5409836065573771,0.0,0.0,632,0.6281645569620253,0.6629746835443038,0.0,0.0,cr
le90,m50,none,b10,net,549,0.5136612021857924,0.5336976320582878,0.0,0.0,632,0.6598101265822784,0.6677215189873418,0.0,0.0,cr
le90,m50,ge,b10,net,549,0.5136612021857924,0.5373406193078324,0.0,0.0,632,0.6993670886075949,0.7072784810126582,0.0,0.0,cr
le90,m50,gt,b10,net,549,0.5136612021857924,0.5373406193078324,0.0,0.0,632,0.6993670886075949,0.7072784810126582,0.0,0.0,cr
d1_60,m100,none,b10,net,549,0.5136612021857924,0.5282331511839709,0.0,0.0,632,0.6281645569620253,0.6329113924050633,0.0,0.0,cr
d1_60,m100,ge,bNone,net,549,0.5136612021857924,0.5300546448087432,0.0,0.0,632,0.6376582278481012,0.6455696202531646,0.0,0.0,cr
d1_60,m100,ge,b15,net,549,0.5136612021857924,0.5300546448087432,0.0,0.0,632,0.6376582278481012,0.6424050632911392,0.0,0.0,cr
d1_60,m100,ge,b20,net,549,0.5136612021857924,0.5300546448087432,0.0,0.0,632,0.6376582278481012,0.6455696202531646,0.0,0.0,cr
d1_60,m100,gt,bNone,net,549,0.5136612021857924,0.5300546448087432,0.0,0.0,632,0.6376582278481012,0.6455696202531646,0.0,0.0,cr
d1_60,m100,gt,b15,net,549,0.5136612021857924,0.5300546448087432,0.0,0.0,632,0.6376582278481012,0.6424050632911392,0.0,0.0,cr
d1_60,m100,gt,b20,net,549,0.5136612021857924,0.5300546448087432,0.0,0.0,632,0.6376582278481012,0.6455696202531646,0.0,0.0,cr
ex0,any,none,b05,net,549,0.5136612021857924,0.5300546448087432,0.0,0.0,632,0.5933544303797469,0.6265822784810127,0.0,0.0,cr
all,any,ge,b05,net,549,0.51183970856102,0.5282331511839709,0.0,0.0,632,0.6392405063291139,0.6677215189873418,0.0,0.0,cr
all,any,gt,b05,net,549,0.51183970856102,0.5282331511839709,0.0,0.0,632,0.6392405063291139,0.6693037974683544,0.0,0.0,cr
le90,m25,none,b20,net,549,0.51183970856102,0.5391621129326047,0.0,0.0,632,0.6281645569620253,0.6629746835443038,0.0,0.0,cr
ex0,any,ge,b05,net,549,0.51183970856102,0.5282331511839709,0.0,0.0,632,0.6392405063291139,0.6677215189873418,0.0,0.0,cr
ex0,any,gt,b05,net,549,0.51183970856102,0.5282331511839709,0.0,0.0,632,0.6392405063291139,0.6693037974683544,0.0,0.0,cr
le90,m25,none,b15,net,549,0.5100182149362478,0.5373406193078324,0.0,0.0,632,0.6265822784810127,0.6582278481012658,0.0,0.0,cr
