spec,n_fit,nvalid_fit,medabs_fit,medbias_fit,exact_fit,within5_fit,agree_fit,n_hold,nvalid_hold,medabs_hold,medbias_hold,exact_hold,within5_hold,agree_hold
d45|peak_oi,548,548,250.0,-195.0,0.09124087591240876,0.11861313868613138,0.6295620437956204,632,632,445.0,-445.0,0.004746835443037975,0.0379746835443038,0.6028481012658228
d7|peak_oi,548,548,250.0,-240.0,0.03102189781021898,0.07664233576642336,0.5565693430656934,632,632,130.0,-15.0,0.012658227848101266,0.061708860759493674,0.5806962025316456
d90|cumhi_nearspot,548,469,255.0,-100.0,0.0,0.0,0.34754797441364604,632,518,2105.0,2105.0,0.0,0.0,0.21428571428571427
all|peak_oi,548,548,255.0,-195.0,0.09306569343065693,0.12226277372262774,0.6313868613138686,632,632,450.0,-450.0,0.004746835443037975,0.03639240506329114,0.6091772151898734
d90|peak_oi,548,548,255.0,-195.0,0.09124087591240876,0.12043795620437957,0.6313868613138686,632,632,445.0,-445.0,0.004746835443037975,0.03639240506329114,0.6091772151898734
d90|cumhi_maxswing,548,469,255.0,-100.0,0.0,0.0,0.34968017057569295,632,518,2105.0,2105.0,0.0,0.0,0.21428571428571427
d60|peak_oi,548,548,255.0,-197.5,0.09124087591240876,0.11861313868613138,0.6277372262773723,632,632,445.0,-445.0,0.004746835443037975,0.03639240506329114,0.6091772151898734
ex1|peak_oi,548,548,255.0,-195.0,0.09306569343065693,0.12226277372262774,0.6313868613138686,632,632,450.0,-450.0,0.004746835443037975,0.03639240506329114,0.6091772151898734
d90|cumhi_lowest,548,469,255.0,-100.0,0.0,0.0,0.34754797441364604,632,518,2105.0,2105.0,0.0,0.0,0.21428571428571427
isqrt|peak_oi,548,548,277.5,-205.0,0.09306569343065693,0.12226277372262774,0.6259124087591241,632,632,447.5,-447.5,0.004746835443037975,0.03639240506329114,0.6107594936708861
monthly|cumhi_lowest,548,343,295.0,-295.0,0.0,0.0,0.4139941690962099,632,189,400.0,-400.0,0.0,0.0,0.31216931216931215
monthly|cumhi_maxswing,548,343,295.0,-295.0,0.0,0.0,0.4139941690962099,632,189,400.0,-400.0,0.0,0.0,0.31216931216931215
monthly|cumhi_nearspot,548,343,295.0,-295.0,0.0,0.0,0.4139941690962099,632,189,400.0,-400.0,0.0,0.0,0.31216931216931215
monthly|cumhi_highest,548,343,295.0,-295.0,0.0,0.0,0.4139941690962099,632,189,400.0,-400.0,0.0,0.0,0.31216931216931215
monthly|peak_oi,548,548,297.5,-245.0,0.09124087591240876,0.11861313868613138,0.6313868613138686,632,632,450.0,-450.0,0.004746835443037975,0.03639240506329114,0.6091772151898734
all|cumlo_nearspot,548,405,370.0,85.0,0.0,0.0,0.18518518518518517,632,441,155.0,130.0,0.0,0.0,0.23129251700680273
all|cumlo_highest,548,405,370.0,85.0,0.0,0.0,0.18518518518518517,632,441,155.0,130.0,0.0,0.0,0.23129251700680273
all|cumlo_maxswing,548,405,370.0,85.0,0.0,0.0,0.18518518518518517,632,441,155.0,130.0,0.0,0.0,0.23129251700680273
ex1|cumlo_maxswing,548,401,410.0,105.0,0.0,0.0,0.15211970074812967,632,440,175.0,160.0,0.0,0.0,0.13863636363636364
ex1|cumlo_nearspot,548,401,410.0,105.0,0.0,0.0,0.15211970074812967,632,440,175.0,160.0,0.0,0.0,0.13863636363636364
ex1|cumlo_highest,548,401,410.0,105.0,0.0,0.0,0.15211970074812967,632,440,175.0,160.0,0.0,0.0,0.13863636363636364
monthly|cumlo_maxswing,548,397,890.0,105.0,0.0,0.0,0.16624685138539042,632,470,280.0,250.0,0.0,0.0,0.16808510638297872
monthly|cumlo_highest,548,397,890.0,105.0,0.0,0.0,0.16624685138539042,632,470,280.0,250.0,0.0,0.0,0.16808510638297872
monthly|cumlo_nearspot,548,397,890.0,100.0,0.0,0.0,0.163727959697733,632,470,280.0,250.0,0.0,0.0,0.16808510638297872
