entry_dt,exit_dt,entry,exit,pts,bars,mae_pts,pnl
2024-06-12 14:00:00,2024-06-13 08:30:00,5950.25,5959.5,9.0,3,0.0,40.0
2024-06-13 09:30:00,2024-06-13 11:30:00,5945.25,5946.75,1.25,4,-8.5,1.25
2024-06-20 10:30:00,2024-06-20 13:00:00,6020.75,6017.0,-4.0,5,-24.25,-25.0
2024-06-28 12:30:00,2024-06-28 15:00:00,6004.0,5994.25,-10.0,5,-18.25,-55.0
2024-07-08 11:00:00,2024-07-08 12:30:00,6082.5,6089.0,6.25,3,0.0,26.25
2024-07-09 13:00:00,2024-07-09 15:00:00,6093.25,6094.0,0.5,4,0.0,-2.5
2024-07-11 09:30:00,2024-07-11 12:00:00,6119.5,6105.0,-14.75,5,-21.75,-78.75
2024-07-11 12:30:00,2024-07-11 13:30:00,6093.5,6106.0,12.25,2,0.0,56.25
2024-07-15 12:00:00,2024-07-15 13:30:00,6148.75,6155.25,6.25,3,-5.75,26.25
2024-08-01 09:30:00,2024-08-01 14:00:00,5988.75,5927.75,-61.25,9,-76.0,-311.25
2024-08-12 08:30:00,2024-08-12 09:00:00,5815.0,5843.25,28.0,1,0.0,135.0
2024-08-20 10:00:00,2024-08-20 10:30:00,6076.75,6090.0,13.0,1,0.0,60.0
2024-08-20 11:30:00,2024-08-20 13:00:00,6077.5,6091.0,13.25,3,0.0,61.25
2024-08-21 10:30:00,2024-08-21 11:30:00,6085.25,6097.5,12.0,2,0.0,55.0
2024-08-22 10:00:00,2024-08-22 11:00:00,6086.75,6092.0,5.0,2,-14.25,20.0
2024-08-22 11:30:00,2024-08-22 14:30:00,6071.25,6057.75,-13.75,6,-20.75,-73.75
2024-08-26 10:00:00,2024-08-26 11:00:00,6098.25,6103.5,5.0,2,-6.75,20.0
2024-08-26 12:30:00,2024-08-26 13:30:00,6087.0,6100.5,13.25,2,0.0,61.25
2024-08-29 13:00:00,2024-08-30 08:30:00,6095.0,6103.25,8.0,5,-22.25,35.0
2024-09-18 10:30:00,2024-09-18 11:00:00,6087.0,6100.75,13.5,1,0.0,62.5
2024-09-18 14:30:00,2024-09-19 08:30:00,6082.5,6165.25,82.5,2,0.0,407.5
2024-09-19 15:00:00,2024-09-20 10:30:00,6174.5,6153.25,-21.5,5,-31.0,-112.5
2024-09-25 11:30:00,2024-09-25 12:30:00,6180.75,6183.75,2.75,2,-2.75,8.75
2024-09-27 11:00:00,2024-09-27 12:30:00,6201.75,6204.0,2.0,3,-4.25,5.0
2024-09-27 13:00:00,2024-09-27 13:30:00,6191.75,6202.25,10.25,1,0.0,46.25
2024-09-30 08:30:00,2024-09-30 09:30:00,6184.25,6190.5,6.0,2,0.0,25.0
2024-10-15 09:00:00,2024-10-16 09:00:00,6299.25,6273.75,-25.75,14,-42.25,-133.75
2024-10-17 13:00:00,2024-10-18 08:30:00,6291.25,6295.25,3.75,5,-3.25,13.75
2024-10-21 09:00:00,2024-10-21 11:30:00,6301.0,6289.5,-11.75,5,-32.0,-63.75
2024-11-11 11:30:00,2024-11-11 13:30:00,6427.75,6429.0,1.0,4,-3.75,0.0
2024-11-12 09:30:00,2024-11-12 12:30:00,6417.5,6419.25,1.5,6,-25.75,2.5
2024-11-14 11:00:00,2024-11-14 13:00:00,6391.75,6395.0,3.0,4,-9.25,10.0
2024-11-27 09:00:00,2024-11-27 12:00:00,6423.75,6414.25,-9.75,6,-12.25,-53.75
2024-12-03 09:00:00,2024-12-03 10:00:00,6450.75,6460.0,9.0,2,0.0,40.0
2024-12-03 10:30:00,2024-12-03 11:00:00,6451.5,6455.5,3.75,1,0.0,13.75
2024-12-05 14:00:00,2024-12-06 08:30:00,6491.5,6512.0,20.25,3,-5.75,96.25
2024-12-06 13:00:00,2024-12-06 14:30:00,6493.25,6500.25,6.75,3,0.0,28.75
2024-12-09 09:00:00,2024-12-09 12:00:00,6484.5,6477.5,-7.25,6,-10.75,-41.25
2024-12-11 15:00:00,2024-12-12 10:00:00,6490.0,6486.75,-3.5,4,-10.25,-22.5
2025-01-06 12:30:00,2025-01-06 14:30:00,6357.5,6354.0,-3.75,4,-14.0,-23.75
2025-01-16 12:30:00,2025-01-16 13:30:00,6305.0,6320.75,15.5,2,0.0,72.5
2025-01-16 15:00:00,2025-01-17 08:30:00,6295.25,6352.0,56.5,1,0.0,277.5
2025-01-17 14:30:00,2025-01-20 08:30:00,6364.5,6399.25,34.5,2,-2.75,167.5
2025-01-22 14:30:00,2025-01-23 09:30:00,6451.75,6456.25,4.25,4,-7.25,16.25
2025-01-24 11:30:00,2025-01-24 14:30:00,6472.5,6464.25,-8.5,6,-16.5,-47.5
2025-01-31 12:00:00,2025-02-03 10:00:00,6447.75,6356.25,-91.75,10,-151.0,-463.75
2025-02-14 11:00:00,2025-02-14 12:00:00,6459.75,6465.75,5.75,2,0.0,23.75
2025-02-20 08:30:00,2025-02-20 11:00:00,6448.25,6452.0,3.5,5,-10.75,12.5
