date,r1h,tempo1h,nclimax1h,rest_range,adr,prev_close,op,last_t,gap_adr,r1h_adr,rest_adr,year
2025-10-21,19.25,43.112701252236135,0.0,27.75,100.75,6948.0,6945.0,15:14:59.642012,0.02977667493796526,0.19106699751861042,0.27543424317617865,2025
2025-10-22,27.75,52.154058296915444,2.0,72.5,98.46875,6938.5,6949.75,15:14:59.637407,0.11424944462075531,0.28181529673119643,0.7362741986670898,2025
2025-10-23,30.0,53.38877338877339,1.0,40.5,82.40625,6909.5,6910.0,15:14:59.515827,0.006067500948047023,0.3640500568828214,0.49146757679180886,2025
2025-10-24,23.0,53.35822478679622,1.0,26.0,82.40625,6945.75,6991.5,15:14:59.688762,0.5551763367463026,0.2791050436101631,0.3155100492984452,2025
2025-10-27,15.5,29.92030492030492,1.0,30.75,69.84375,6996.25,7053.75,15:14:59.490528,0.8232662192393736,0.22192393736017896,0.44026845637583895,2025
2025-10-28,20.5,30.316742081447963,1.0,41.75,59.8125,7080.75,7096.5,15:14:58.355564,0.26332288401253917,0.34273772204806685,0.6980146290491118,2025
2025-10-29,15.75,22.718360187110186,0.0,63.25,50.21875,7094.75,7112.75,15:14:59.621784,0.358431860609832,0.313627878033603,1.2594897324206595,2025
2025-10-30,46.0,79.96824050771419,4.0,60.75,49.25,7092.25,7063.75,15:14:59.911554,0.5786802030456852,0.934010152284264,1.233502538071066,2025
2025-10-31,28.75,52.86070686070686,2.0,56.5,50.84375,7045.5,7072.75,15:14:59.964339,0.5359557467732022,0.5654578979717271,1.1112476951444377,2025
2025-11-03,57.75,54.18857771798948,2.0,43.75,54.40625,7042.75,7079.0,15:14:59.713372,0.6662837449741528,1.061458931648478,0.80413555427915,2025
2025-11-04,50.25,60.84492871992872,2.0,54.5,50.84375,7056.5,6981.0,15:14:59.567611,1.484941610325753,0.9883220651505839,1.0719114935464045,2025
2025-11-05,39.75,60.01633501633501,3.0,41.75,51.4375,6974.0,6969.25,15:14:59.101969,0.09234507897934387,0.772782503037667,0.8116646415552855,2025
2025-11-06,49.5,71.49595060042822,8.0,60.5,56.34375,6993.0,6983.0,15:14:59.895493,0.17748197448696618,0.8785357737104825,1.0737659456461452,2025
2025-11-07,40.25,79.83417984683807,5.0,107.0,62.96875,6930.5,6894.25,15:14:59.536822,0.575682382133995,0.6392059553349876,1.6992555831265508,2025
2025-11-10,22.25,44.22966337859955,1.0,73.0,71.125,6931.25,6986.5,15:14:59.026722,0.7768014059753954,0.31282952548330406,1.0263620386643233,2025
2025-11-11,20.5,39.395590581637094,1.0,49.25,71.53125,7033.0,7013.25,15:14:59.930043,0.2761031017911752,0.28658802970729574,0.6885102664919178,2025
2025-11-12,21.75,40.86394086394086,1.0,32.25,69.84375,7049.25,7062.0,15:14:59.291329,0.1825503355704698,0.31140939597315437,0.46174496644295304,2025
2025-11-13,33.5,69.09423775095416,2.0,85.75,67.5625,7049.75,7018.0,15:14:59.996126,0.46993524514338575,0.4958371877890842,1.2691951896392228,2025
