date,side,grp,label,conf,eff_fall,retrace_adr,ext_adr
2021-09-30,-1,climax,continuation,True,False,0.076,0.871
2021-09-30,-1,climax,continuation,False,False,0.106,0.547
2021-09-30,-1,climax,continuation,False,False,0.091,0.319
2021-09-30,-1,climax,reversal,False,False,0.127,0.213
2021-09-30,1,climax,continuation,False,False,0.081,0.511
2021-09-30,1,climax,reversal,False,True,0.38,0.329
2021-09-30,1,climax,continuation,False,False,0.051,0.289
2021-09-30,1,climax,reversal,True,False,1.003,0.0
2021-09-30,-1,climax,reversal,False,True,0.349,0.603
2021-09-30,-1,climax,continuation,False,False,0.02,0.522
2021-09-30,-1,climax,unresolved,False,False,0.03,0.061
2021-10-01,-1,climax,reversal,True,False,0.141,0.348
2021-10-01,1,climax,reversal,False,False,0.625,1.164
2021-10-01,-1,climax,continuation,True,False,0.045,0.267
2021-10-01,1,control,continuation,True,False,0.035,1.361
2021-10-01,1,climax,continuation,False,True,0.096,1.094
2021-10-01,1,climax,continuation,False,False,0.081,0.746
2021-10-01,1,climax,continuation,False,False,0.131,0.439
2021-10-01,1,control,continuation,False,True,0.035,0.373
2021-10-01,1,control,continuation,False,True,0.05,0.131
2021-10-04,-1,climax,continuation,False,False,0.028,1.032
2021-10-04,-1,climax,continuation,False,True,0.06,0.75
2021-10-04,-1,climax,continuation,False,False,0.046,0.393
2021-10-04,-1,climax,reversal,True,False,0.032,0.171
2021-10-04,-1,climax,reversal,True,False,0.032,0.069
2021-10-04,1,climax,reversal,False,False,0.412,0.097
2021-10-04,1,control,continuation,False,True,0.208,0.167
2021-10-04,1,control,continuation,False,False,0.12,0.12
2021-10-04,1,control,unresolved,False,True,0.042,0.0
2021-10-05,1,climax,continuation,False,False,0.03,0.749
2021-10-05,1,control,continuation,False,True,0.004,0.553
2021-10-05,1,control,continuation,True,False,0.009,0.348
2021-10-05,1,control,continuation,True,False,0.035,0.222
2021-10-05,1,control,reversal,False,True,0.244,0.052
2021-10-05,1,control,reversal,False,False,0.096,0.039
2021-10-05,1,control,reversal,False,True,0.47,0.0
2021-10-05,-1,control,continuation,True,False,0.052,0.279
2021-10-05,-1,control,continuation,True,False,0.017,0.122
2021-10-06,-1,climax,continuation,True,False,0.047,0.274
2021-10-06,-1,climax,reversal,False,False,0.051,0.021
2021-10-06,1,climax,continuation,True,False,0.0,0.93
2021-10-06,-1,climax,reversal,True,True,0.034,0.039
2021-10-06,1,climax,continuation,False,False,0.073,0.746
2021-10-06,1,climax,continuation,False,False,0.163,0.373
2021-10-06,1,control,continuation,False,False,0.03,0.116
2021-10-06,1,control,unresolved,True,True,0.103,0.069
2021-10-07,1,control,continuation,False,True,0.039,0.146
2021-10-07,1,control,reversal,False,True,0.551,0.0
2021-10-07,-1,control,continuation,False,False,0.173,0.362
2021-10-07,-1,control,continuation,False,False,0.02,0.366
2021-10-07,-1,control,continuation,False,False,0.02,0.201
2021-10-07,-1,control,unresolved,False,True,0.055,0.035
2021-10-08,1,control,reversal,False,False,0.088,0.004
2021-10-08,1,control,reversal,False,True,0.345,0.0
2021-10-08,-1,control,continuation,True,False,0.012,0.119
2021-10-08,-1,climax,reversal,True,False,0.035,0.031
2021-10-08,1,control,unresolved,True,True,0.027,0.092
2021-10-08,-1,control,unresolved,True,True,0.015,0.088
2021-10-11,1,control,reversal,True,True,0.034,0.08
2021-10-11,-1,control,continuation,False,False,0.067,0.734
2021-10-11,-1,control,continuation,True,True,0.004,0.449
2021-10-11,-1,control,continuation,False,False,0.042,0.289
2021-10-11,-1,control,continuation,False,True,0.017,0.109
2021-10-12,1,control,reversal,False,True,0.202,0.095
2021-10-12,1,control,reversal,False,False,0.02,0.055
2021-10-12,-1,control,reversal,True,True,0.036,0.253
2021-10-12,-1,control,continuation,True,True,0.107,0.206
2021-10-12,-1,control,unresolved,False,False,0.107,0.0
2021-10-13,-1,control,continuation,True,True,0.129,0.207
2021-10-13,-1,climax,reversal,True,False,0.056,0.056
2021-10-13,1,control,continuation,False,True,0.194,0.461
2021-10-13,1,control,continuation,False,False,0.017,0.289
2021-10-13,-1,control,unresolved,False,False,0.246,0.0
2021-10-14,1,control,continuation,False,False,0.024,0.432
2021-10-14,1,control,continuation,False,False,0.009,0.309
2021-10-14,1,control,continuation,False,False,0.019,0.228
2021-10-14,1,control,unresolved,False,True,0.133,0.081
2021-10-14,1,control,unresolved,False,False,0.033,0.043
2021-10-14,1,control,unresolved,False,False,0.104,0.005
2021-10-15,1,control,reversal,False,False,0.291,0.119
2021-10-15,1,control,continuation,False,False,0.036,0.119
2021-10-18,1,control,continuation,True,False,0.144,0.41
2021-10-18,1,control,continuation,True,False,0.006,0.202
2021-10-18,1,control,unresolved,False,True,0.075,0.098
2021-10-19,1,control,continuation,False,False,0.045,0.415
2021-10-19,1,control,continuation,False,False,0.038,0.319
2021-10-19,1,control,continuation,False,False,0.083,0.204
2021-10-19,-1,control,reversal,False,False,0.389,0.0
2021-10-19,1,control,continuation,False,False,0.045,0.128
2021-10-19,1,control,unresolved,False,True,0.045,0.0
2021-10-20,1,control,reversal,False,True,0.033,0.098
2021-10-20,-1,control,continuation,True,False,0.026,0.169
2021-10-21,1,control,reversal,True,True,0.41,0.262
2021-10-21,-1,control,reversal,False,True,0.02,0.081
2021-10-21,1,control,continuation,True,True,0.175,0.39
2021-10-21,1,control,continuation,True,False,0.027,0.222
2021-10-22,1,control,continuation,True,False,0.023,0.13
2021-10-22,-1,control,continuation,False,False,0.015,0.657
2021-10-22,-1,climax,continuation,True,False,0.031,0.16
2021-10-22,1,control,continuation,False,True,0.038,0.52
2021-10-22,1,control,continuation,True,False,0.008,0.122
2021-10-25,1,control,continuation,False,False,0.092,0.56
2021-10-25,1,control,continuation,True,False,0.038,0.345
2021-10-25,1,control,reversal,False,False,0.015,0.084
2021-10-25,-1,control,continuation,True,False,0.1,0.107
2021-10-26,1,control,continuation,False,False,0.008,0.176
