date,level,side,grp,label,szpct,session_min
2021-12-15,PDH,1,DRIVE,reject,33.88773388773389,282.75244846895004
2021-12-15,PDH,1,DRIVE,reject,1.2474012474012475,310.00541669191665
2021-12-15,PDH,1,DRIVE,break,17.87941787941788,325.44599597755
2021-12-16,PDH,-1,PLAIN,break,34.0956340956341,7.154219756083333
2021-12-16,PDH,-1,ABSORB,break,82.12058212058211,27.39459519245
2021-12-16,PDH,1,PLAIN,break,22.66112266112266,41.52610078238333
2021-12-16,PDH,-1,PLAIN,break,25.77962577962578,70.51084215748332
2021-12-16,PDH,1,PLAIN,reject,60.4989604989605,105.85915960801667
2021-12-17,PDL,1,DRIVE,break,84.61538461538461,77.02600668685
2021-12-17,PDL,-1,DRIVE,break,54.26195426195426,93.24595106185001
2021-12-17,PDL,1,DRIVE,reject,58.00415800415801,238.24886551381667
2021-12-17,PDL,-1,DRIVE,break,40.33264033264033,299.3045474458167
2021-12-17,PDL,1,PLAIN,reject,72.76507276507276,316.07066918481667
2021-12-21,PDH,-1,ABSORB,reject,85.44698544698545,57.563045467049996
2021-12-22,PDH,1,PLAIN,break,80.24948024948024,14.916164347116668
2021-12-22,PDH,-1,PLAIN,reject,48.44074844074844,29.221437256883334
2021-12-28,PDH,-1,PLAIN,break,13.721413721413722,16.47319631465
2021-12-28,PDH,-1,PLAIN,break,40.12474012474012,60.31163484978333
2021-12-28,PDH,1,PLAIN,break,7.276507276507276,75.65624125735
2021-12-28,PDH,-1,PLAIN,break,58.41995841995842,137.93816618181665
2021-12-28,PDH,1,DRIVE,unresolved,91.68399168399168,177.94033282505
2021-12-28,PDH,1,PLAIN,unresolved,4.158004158004158,288.93080733615
2021-12-28,PDH,1,PLAIN,unresolved,77.96257796257797,384.80059832188334
2021-12-29,PDL,-1,DRIVE,reject,43.03534303534303,41.80342648018333
2021-12-29,PDL,-1,PLAIN,reject,21.82952182952183,118.76421288531667
2021-12-29,PDH,1,PLAIN,reject,87.52598752598753,362.1977922448167
2021-12-30,PDH,1,PLAIN,reject,1.0,16.346700876316667
2021-12-30,PDH,-1,PLAIN,break,3.1185031185031185,86.01454347818334
2021-12-30,PDL,-1,PLAIN,unresolved,79.83367983367984,378.78209654638334
2021-12-31,PDL,-1,PLAIN,break,2.494802494802495,18.01647195365
2021-12-31,PDL,1,PLAIN,break,27.85862785862786,36.14930935781667
2021-12-31,PDL,-1,PLAIN,break,27.027027027027028,81.34025021671667
2021-12-31,PDL,1,PLAIN,break,62.99376299376299,147.38082305195
2021-12-31,PDL,-1,PLAIN,reject,39.08523908523909,281.84914529388334
2021-12-31,PDL,-1,PLAIN,break,92.51559251559252,382.40904150501666
2021-12-31,PDL,1,DRIVE,unresolved,94.17879417879418,390.01761143351666
2022-01-03,PDH,1,PLAIN,reject,7.0686070686070686,15.01112934615
2022-01-03,PDL,-1,DRIVE,break,87.73388773388774,17.77234713775
2022-01-03,PDL,1,DRIVE,break,11.018711018711018,24.877015095850002
2022-01-03,PDL,-1,PLAIN,reject,2.7027027027027026,32.453019093816664
2022-01-03,PDH,1,PLAIN,reject,64.44906444906445,55.530224999716665
2022-01-03,PDL,-1,PLAIN,reject,38.46153846153846,102.59811539961667
2022-01-03,PDL,1,PLAIN,break,21.205821205821206,151.59855544001667
2022-01-03,PDH,1,PLAIN,break,92.51559251559252,260.4080951448167
2022-01-03,PDH,-1,PLAIN,unresolved,85.44698544698545,361.79885452355
2022-01-04,PDH,-1,ABSORB,break,75.25987525987526,83.75112004815
2022-01-04,PDH,1,PLAIN,reject,78.17047817047818,132.18537609698333
2022-01-04,PDH,1,PLAIN,break,77.13097713097713,318.04523244498336
2022-01-04,PDH,-1,PLAIN,break,89.81288981288981,383.04924846318335
2022-01-05,PDL,-1,PLAIN,reject,76.92307692307692,197.31866373264998
2022-01-05,PDL,1,PLAIN,break,60.91476091476091,264.19809103231665
2022-01-05,PDL,-1,DRIVE,break,16.83991683991684,273.7991431824833
