rule,book,removed,n_train,n_test,train_delta,test_delta,p_train,p_test,p_joint,p_bonf,top1_share_test,test_ex_april,test_ex_top1,n_april_skips,jaccard_vix25_test
loss<-2000_stand1d,combined,day,35,23,-211,11833,0.8982,0.0812,0.2638894058797218,1.0,0.438,5292,6655,2,0.14
loss<-2000_stand2d,combined,day,66,40,6644,28381,0.8152,0.002,0.012095823301616387,1.0,0.203,17814,22618,2,0.138
loss<-2000_until_vixdown,combined,day,29,19,4419,24466,0.6016,0.0,9.218721715489375e-06,0.0036413950776183032,0.236,12536,18703,3,0.082
cluster_2x_loss<-500,combined,day,44,30,21801,12081,0.026,0.1462,0.02498315312215017,1.0,0.446,5912,6692,2,0.085
vixprior>25_standdown,ic,day,92,34,5312,4606,0.338,0.1234,0.17422072778578493,1.0,0.706,-378,1356,6,1.0
vixprior>25_standdown,fly,day,92,34,37188,23616,0.0002,0.0,4.666540749876099e-09,1.843283596201059e-06,0.143,15172,20240,6,1.0
vixprior>25_standdown,combined,day,92,34,37972,27674,0.02,0.001,0.00023639556568820564,0.09337624844684123,0.195,12916,22285,6,1.0
vixprior>30_standdown,ic,day,23,14,892,7723,0.47,0.0048,0.01600442934870131,1.0,0.421,2739,4473,6,0.412
vixprior>30_standdown,fly,day,23,14,9968,11716,0.036,0.0002,9.245829262998414e-05,0.036521025588843736,0.211,3272,9243,6,0.412
vixprior>30_standdown,combined,day,23,14,8956,21139,0.1908,0.0002,0.00042638925866642053,0.1684237571732361,0.255,6381,15750,6,0.412
