date,strat,method,center,em,short_k,long_k,credit,exit_kind,exit_val,pnl,note
2025-06-16,eodic_c,straddle,5976.97,29.9,6005.0,6030.0,13.5,stop,15.6,-216.52,
2025-06-16,openic_p,vix252,6004.0,78.4,5925.0,5900.0,0.05,settle,0.0,1.74,
2025-06-16,openic_p,vix365,6004.0,65.1,5940.0,5915.0,0.1,settle,0.0,6.74,
2025-06-16,openic_p,straddle,6004.0,29.9,5975.0,5950.0,0.4,settle,0.0,36.74,
2025-06-16,openic_c,vix252,6004.0,78.4,6080.0,6105.0,0.45,settle,0.0,41.74,
2025-06-16,openic_c,vix365,6004.0,65.1,6070.0,6095.0,1.1,settle,0.0,106.74,
2025-06-16,openic_c,straddle,6004.0,29.9,6035.0,6060.0,11.5,stop,12.7,-126.52,
2025-06-17,eodic_p,vix252,6033.11,72.6,5960.0,5935.0,1.35,settle,0.0,131.74,
2025-06-17,eodic_p,vix365,6033.11,60.3,5975.0,5950.0,2.25,settle,0.0,221.74,
2025-06-17,eodic_p,straddle,6033.11,28.0,6005.0,5980.0,6.1,stop,9.9,-386.52,
2025-06-17,eodic_c,vix252,6033.11,72.6,6105.0,6130.0,0.0,settle,0.0,-3.26,
2025-06-17,eodic_c,vix365,6033.11,60.3,6095.0,6120.0,0.0,settle,0.0,-3.26,
2025-06-17,eodic_c,straddle,6033.11,28.0,6060.0,6085.0,0.55,settle,0.0,51.74,
2025-06-17,openic_p,vix252,6012.15,72.6,5940.0,5915.0,0.3,settle,0.0,26.74,
2025-06-17,openic_p,vix365,6012.15,60.3,5950.0,5925.0,0.45,settle,0.0,41.74,
2025-06-17,openic_p,straddle,6012.15,28.0,5985.0,5960.0,2.2,stop,8.25,-611.52,
2025-06-17,openic_c,vix252,6012.15,72.6,6085.0,6110.0,0.05,settle,0.0,1.74,
2025-06-17,openic_c,vix365,6012.15,60.3,6070.0,6095.0,0.1,settle,0.0,6.74,
2025-06-17,openic_c,straddle,6012.15,28.0,6040.0,6065.0,1.3,settle,0.0,126.74,
2025-06-18,eodic_p,vix252,5982.72,81.4,5900.0,5875.0,1.1,settle,0.0,106.74,
2025-06-18,eodic_p,vix365,5982.72,67.6,5915.0,5890.0,1.7,settle,0.0,166.74,
2025-06-18,eodic_p,straddle,5982.72,40.6,5940.0,5915.0,3.3,settle,0.0,326.74,
2025-06-18,eodic_c,vix252,5982.72,81.4,6065.0,6090.0,0.35,settle,0.0,31.74,
2025-06-18,eodic_c,vix365,5982.72,67.6,6050.0,6075.0,1.0,settle,0.0,96.74,
2025-06-18,eodic_c,straddle,5982.72,40.6,6025.0,6050.0,3.45,settle,0.0,341.74,
2025-06-18,openic_p,vix252,5987.93,81.4,5905.0,5880.0,0.45,settle,0.0,41.74,
2025-06-18,openic_p,vix365,5987.93,67.6,5920.0,5895.0,0.8,settle,0.0,76.74,
2025-06-18,openic_p,straddle,5987.93,40.6,5945.0,5920.0,1.8,settle,0.0,176.74,
2025-06-18,openic_c,vix252,5987.93,81.4,6070.0,6095.0,0.35,settle,0.0,31.74,
2025-06-18,openic_c,vix365,5987.93,67.6,6055.0,6080.0,0.9,settle,0.0,86.74,
2025-06-18,openic_c,straddle,5987.93,40.6,6030.0,6055.0,3.7,settle,0.0,366.74,
2025-06-20,eodic_p,vix252,5980.87,75.9,5905.0,5880.0,0.25,settle,0.0,21.74,
2025-06-20,eodic_p,vix365,5980.87,63.0,5920.0,5895.0,0.4,settle,0.0,36.74,
2025-06-20,eodic_p,straddle,5980.87,31.8,5950.0,5925.0,1.25,settle,0.0,121.74,
2025-06-20,eodic_c,vix252,5980.87,75.9,6055.0,6080.0,1.05,settle,0.0,101.74,
2025-06-20,eodic_c,vix365,5980.87,63.0,6045.0,6070.0,1.95,settle,0.0,191.74,
2025-06-20,eodic_c,straddle,5980.87,31.8,6015.0,6040.0,7.8,settle,0.0,776.74,
2025-06-20,openic_p,vix252,5999.67,75.9,5925.0,5900.0,0.45,settle,0.0,41.74,
2025-06-20,openic_p,vix365,5999.67,63.0,5935.0,5910.0,0.75,settle,0.0,71.74,
2025-06-20,openic_p,straddle,5999.67,31.8,5970.0,5945.0,3.0,stop,11.1,-816.52,
2025-06-20,openic_c,vix252,5999.67,75.9,6075.0,6100.0,0.1,settle,0.0,6.74,
2025-06-20,openic_c,vix365,5999.67,63.0,6065.0,6090.0,0.2,settle,0.0,16.74,
2025-06-20,openic_c,straddle,5999.67,31.8,6030.0,6055.0,2.2,settle,0.0,216.74,
2025-06-23,eodic_p,vix252,5967.84,77.5,5890.0,5865.0,0.7,settle,0.0,66.74,
2025-06-23,eodic_p,vix365,5967.84,64.4,5905.0,5880.0,1.2,settle,0.0,116.74,
2025-06-23,eodic_p,straddle,5967.84,30.0,5940.0,5915.0,3.6,settle,0.0,356.74,
2025-06-23,eodic_c,vix252,5967.84,77.5,6045.0,6070.0,0.05,settle,0.0,1.74,
2025-06-23,eodic_c,vix365,5967.84,64.4,6030.0,6055.0,0.2,settle,0.0,16.74,
2025-06-23,eodic_c,straddle,5967.84,30.0,6000.0,6025.0,2.25,stop,13.5,-1131.52,
2025-06-23,openic_p,vix252,5969.67,77.5,5890.0,5865.0,0.15,settle,0.0,11.74,
2025-06-23,openic_p,vix365,5969.67,64.4,5905.0,5880.0,0.2,settle,0.0,16.74,
2025-06-23,openic_p,straddle,5969.67,30.0,5940.0,5915.0,0.75,settle,0.0,71.74,
2025-06-23,openic_c,vix252,5969.67,77.5,6045.0,6070.0,0.4,settle,0.0,36.74,
2025-06-23,openic_c,vix365,5969.67,64.4,6035.0,6060.0,0.85,settle,0.0,81.74,
