date,strat,center,short_k,long_k,credit,exit_kind,exit_val,pnl,note
2025-12-12,eodfly_p,6901.0,6900.0,6875.0,10.0,stop,8.0,193.48,
2025-12-12,eodfly_c,6901.0,6900.0,6925.0,6.85,settle,0.0,681.74,
2025-12-12,openfly_p,6886.85,6885.0,6860.0,9.6,stop,12.6,-306.52,
2025-12-12,openfly_c,6886.85,6885.0,6910.0,6.95,settle,0.0,691.74,
2025-12-15,eodfly_p,6827.41,6825.0,6800.0,2.2,stop,9.3,-716.52,
2025-12-15,eodfly_c,6827.41,6825.0,6850.0,19.8,stop,17.9,183.48,
2025-12-15,openfly_p,6860.19,6860.0,6835.0,16.9,stop,18.8,-196.52,
2025-12-15,openfly_c,6860.19,6860.0,6885.0,2.2,settle,0.0,216.74,
2025-12-16,eodfly_p,6816.51,6815.0,6790.0,9.3,stop,12.3,-306.52,
2025-12-16,eodfly_c,6816.51,6815.0,6840.0,9.4,settle,0.0,936.74,
2025-12-16,openfly_p,6800.12,6800.0,6775.0,6.8,stop,14.2,-746.52,
2025-12-16,openfly_c,6800.12,6800.0,6825.0,12.7,stop,11.5,113.48,
2025-12-17,eodfly_p,6800.26,6800.0,6775.0,7.5,stop,11.6,-416.52,
2025-12-17,eodfly_c,6800.26,6800.0,6825.0,11.9,settle,0.0,1186.74,
2025-12-17,openfly_p,6802.88,6805.0,6780.0,9.7,stop,10.4,-76.52,
2025-12-17,openfly_c,6802.88,6805.0,6830.0,9.0,settle,0.0,896.74,
2025-12-18,eodfly_p,6721.43,6720.0,6695.0,1.35,settle,0.0,131.74,
2025-12-18,eodfly_c,6721.43,6720.0,6745.0,21.1,stop,22.1,-106.52,
2025-12-18,openfly_p,6778.06,6780.0,6755.0,5.8,stop,8.5,-276.52,
2025-12-18,openfly_c,6778.06,6780.0,6805.0,13.8,stop,16.9,-316.52,
2025-12-19,eodfly_p,6774.76,6775.0,6750.0,4.6,settle,0.0,456.74,
2025-12-19,eodfly_c,6774.76,6775.0,6800.0,16.5,stop,18.5,-206.52,
2025-12-19,openfly_p,6792.62,6795.0,6770.0,2.25,settle,0.0,221.74,
2025-12-19,openfly_c,6792.62,6795.0,6820.0,19.7,stop,19.3,33.48,
2025-12-22,eodfly_p,6834.5,6835.0,6810.0,2.15,settle,0.0,211.74,
2025-12-22,eodfly_c,6834.5,6835.0,6860.0,19.0,stop,18.7,23.48,
2025-12-22,openfly_p,6865.21,6865.0,6840.0,6.7,stop,8.8,-216.52,
2025-12-22,openfly_c,6865.21,6865.0,6890.0,7.65,stop,7.65,-6.52,
2025-12-23,eodfly_p,6878.49,6880.0,6855.0,6.3,stop,8.6,-236.52,
2025-12-23,eodfly_c,6878.49,6880.0,6905.0,9.15,stop,11.45,-236.52,
2025-12-23,openfly_p,6872.41,6870.0,6845.0,4.95,settle,0.0,491.74,
2025-12-23,openfly_c,6872.41,6870.0,6895.0,10.05,stop,10.95,-96.52,
2025-12-24,eodfly_p,6909.79,6910.0,6885.0,5.65,settle,0.0,561.74,
2025-12-24,eodfly_c,6909.79,6910.0,6935.0,5.3,stop,7.4,-216.52,
2025-12-24,openfly_p,6904.91,6905.0,6880.0,1.05,settle,0.0,101.74,
2025-12-24,openfly_c,6904.91,6905.0,6930.0,10.95,stop,14.15,-326.52,
2025-12-26,eodfly_p,6932.05,6930.0,6905.0,5.8,stop,5.15,58.48,
2025-12-26,eodfly_c,6932.05,6930.0,6955.0,8.55,stop,13.05,-456.52,
2025-12-26,openfly_p,6936.02,6935.0,6910.0,7.5,stop,9.2,-176.52,
2025-12-26,openfly_c,6936.02,6935.0,6960.0,5.75,settle,0.0,571.74,
2025-12-29,eodfly_p,6929.94,6930.0,6905.0,15.5,stop,12.4,303.48,
2025-12-29,eodfly_c,6929.94,6930.0,6955.0,2.25,settle,0.0,221.74,
2025-12-29,openfly_p,6903.6,6905.0,6880.0,7.8,stop,8.9,-116.52,
2025-12-29,openfly_c,6903.6,6905.0,6930.0,7.15,stop,9.1,-201.52,
2025-12-30,eodfly_p,6905.74,6905.0,6880.0,7.0,stop,8.5,-156.52,
