day,t5,Open,Close,High,Low,delta,vol,poc,hi_minfrac,lo_minfrac,cvd,kind,delta_flip,delta_close_mismatch,churn_absorption,cvd_div_local,vol_climax,finished_rej
2026-07-15,2026-07-15 09:05:00,7618.75,7620.5,7623.5,7616.5,-10,16000,7620.75,0.0,0.2714285714285714,3274,control,0,1,1,0,0,
2026-07-15,2026-07-15 09:10:00,7620.5,7619.0,7622.25,7616.5,-538,13996,7619.75,0.06422018348623854,0.08759124087591241,2736,control,0,0,1,0,0,
2026-07-15,2026-07-15 09:15:00,7619.0,7621.0,7626.0,7618.25,932,14004,7624.25,0.0,0.0,3668,HIGH,1,0,1,1,0,1.0
2026-07-15,2026-07-15 09:20:00,7621.0,7605.5,7621.25,7603.25,-2196,26000,7618.25,0.46551724137931033,0.34375,1472,control,1,0,0,0,1,
2026-07-15,2026-07-15 09:25:00,7605.5,7616.25,7617.5,7603.75,344,24000,7606.0,0.0,0.43558282208588955,1816,control,1,0,1,0,0,
2026-07-15,2026-07-15 09:30:00,7616.25,7614.5,7618.75,7609.25,-468,17998,7616.25,0.1590909090909091,0.0,1348,control,1,0,1,0,0,
2026-07-15,2026-07-15 09:35:00,7614.5,7606.25,7615.25,7605.0,-1025,14001,7606.75,0.0,0.06666666666666667,323,control,0,0,1,0,0,
2026-07-15,2026-07-15 09:40:00,7606.25,7602.5,7609.75,7597.75,-1,22001,7603.0,0.23076923076923078,0.0,322,control,0,0,1,0,0,
2026-07-15,2026-07-15 09:45:00,7602.5,7607.5,7608.25,7599.0,1236,13998,7602.5,0.21052631578947367,0.22033898305084745,1558,control,1,0,0,0,0,
2026-07-15,2026-07-15 09:50:00,7607.5,7602.25,7608.25,7597.25,-962,14002,7603.0,0.04,0.0,596,LOW,1,0,1,1,0,1.0
