t,o,h,l,c,v
2026-07-09 20:53:00-05:00,7581.75,7582.25,7581.75,7582.25,67.0
2026-07-09 20:54:00-05:00,7582.0,7582.0,7581.25,7581.75,108.0
2026-07-09 20:55:00-05:00,7581.75,7582.25,7581.5,7582.0,120.0
2026-07-09 20:56:00-05:00,7581.75,7582.25,7581.25,7581.75,98.0
2026-07-09 20:57:00-05:00,7581.75,7582.5,7581.75,7582.0,103.0
2026-07-09 20:58:00-05:00,7582.0,7582.0,7581.0,7581.0,91.0
2026-07-09 20:59:00-05:00,7580.75,7581.0,7579.75,7580.25,125.0
2026-07-09 21:00:00-05:00,7580.25,7580.5,7577.5,7578.0,240.0
2026-07-09 21:01:00-05:00,7578.25,7578.5,7577.5,7577.75,106.0
2026-07-09 21:02:00-05:00,7577.75,7578.25,7577.25,7578.25,148.0
2026-07-09 21:03:00-05:00,7578.25,7579.25,7578.25,7579.25,88.0
2026-07-09 21:04:00-05:00,7579.25,7580.5,7579.25,7580.5,65.0
2026-07-09 21:05:00-05:00,7580.25,7580.75,7579.5,7579.75,98.0
2026-07-09 21:06:00-05:00,7580.25,7580.5,7579.75,7580.0,65.0
2026-07-09 21:07:00-05:00,7580.25,7580.75,7579.0,7580.5,170.0
2026-07-09 21:08:00-05:00,7580.5,7582.25,7580.25,7581.5,136.0
2026-07-09 21:09:00-05:00,7581.5,7581.5,7580.5,7581.5,103.0
2026-07-09 21:10:00-05:00,7581.5,7581.5,7580.75,7581.5,86.0
2026-07-09 21:11:00-05:00,7581.5,7581.5,7580.25,7580.25,108.0
2026-07-09 21:12:00-05:00,7580.25,7580.5,7579.75,7580.5,94.0
2026-07-09 21:13:00-05:00,7580.5,7581.0,7580.0,7580.0,106.0
2026-07-09 21:14:00-05:00,7579.75,7580.25,7579.25,7580.0,130.0
2026-07-09 21:15:00-05:00,7580.25,7580.25,7579.25,7579.25,98.0
2026-07-09 21:16:00-05:00,7579.25,7579.25,7578.0,7578.25,238.0
2026-07-09 21:17:00-05:00,7578.25,7579.0,7578.0,7578.25,88.0
2026-07-09 21:18:00-05:00,7578.5,7579.0,7578.25,7579.0,102.0
2026-07-09 21:19:00-05:00,7579.0,7579.25,7578.5,7579.0,111.0
2026-07-09 21:20:00-05:00,7579.0,7579.5,7578.25,7578.5,125.0
2026-07-09 21:21:00-05:00,7578.5,7579.0,7578.25,7578.25,102.0
2026-07-09 21:22:00-05:00,7578.5,7578.5,7577.25,7577.75,232.0
2026-07-09 21:23:00-05:00,7577.5,7577.75,7577.0,7577.25,184.0
2026-07-09 21:24:00-05:00,7577.25,7578.25,7577.25,7578.0,123.0
2026-07-09 21:25:00-05:00,7578.0,7578.75,7577.5,7578.75,132.0
2026-07-09 21:26:00-05:00,7579.0,7579.5,7578.75,7579.0,107.0
2026-07-09 21:27:00-05:00,7578.75,7579.25,7578.0,7578.25,124.0
2026-07-09 21:28:00-05:00,7578.0,7579.0,7577.75,7578.5,140.0
2026-07-09 21:29:00-05:00,7578.25,7579.5,7578.25,7579.25,107.0
2026-07-09 21:30:00-05:00,7579.5,7579.5,7578.0,7579.0,334.0
2026-07-09 21:31:00-05:00,7579.25,7580.25,7579.25,7579.75,170.0
2026-07-09 21:32:00-05:00,7579.5,7579.75,7579.25,7579.75,68.0
2026-07-09 21:33:00-05:00,7579.75,7580.25,7579.25,7579.5,162.0
2026-07-09 21:34:00-05:00,7579.75,7579.75,7578.75,7579.5,113.0
2026-07-09 21:35:00-05:00,7579.75,7580.25,7578.75,7578.75,143.0
2026-07-09 21:36:00-05:00,7578.75,7579.5,7578.75,7579.25,95.0
2026-07-09 21:37:00-05:00,7579.25,7579.75,7579.0,7579.5,66.0
2026-07-09 21:38:00-05:00,7579.5,7580.5,7579.25,7580.5,75.0
2026-07-09 21:39:00-05:00,7580.5,7581.75,7580.25,7581.5,151.0
