date,close,dmin,dmax,sc,sp,credit,pnl,win,in_band,pos_gamma
2023-06-08,4293.930176,4237.81,4297.27,4300.0,4235.0,2.3,230.0,True,True,True
2023-06-09,4298.859863,4265.96,4321.36,4325.0,4265.0,2.9,290.0,True,True,True
2023-06-12,4338.930176,4269.88,4329.0,4330.0,4265.0,3.1,-583.02,False,False,True
2023-06-13,4369.009766,4308.97,4369.95,4370.0,4305.0,8.45,845.0,True,True,True
2023-06-14,4372.589844,4338.93,4399.53,4400.0,4335.0,9.95,995.0,True,True,True
2023-06-15,4425.839844,4340.82,4404.32,4405.0,4340.0,5.6,-1523.98,False,False,True
2023-06-16,4409.589844,4394.88,4457.92,4460.0,4390.0,1.6,160.0,True,True,True
2023-06-20,4388.709961,4362.4,4457.14,4460.0,4360.0,1.3,130.0,True,True,True
2023-06-21,4365.689941,4357.36,4420.74,4425.0,4355.0,2.8,280.0,True,True,True
2023-06-22,4381.890137,4335.02,4396.28,4400.0,4335.0,2.85,285.0,True,True,True
2023-06-23,4348.330078,4351.37,4411.71,4415.0,4350.0,2.65,98.01,True,False,True
2023-07-17,4522.790039,4317.99,4378.47,4380.0,4315.0,29.0,-2100.0,False,False,True
2023-07-18,4554.97998,4492.81,4552.77,4555.0,4490.0,1.9,190.0,True,False,True
2023-07-19,4565.720215,4525.48,4585.8,4590.0,4525.0,2.05,205.0,True,True,True
2023-07-20,4534.870117,4534.16,4597.14,4600.0,4530.0,3.15,315.0,True,True,True
2023-07-21,4536.339844,4503.12,4567.44,4570.0,4500.0,0.7,70.0,True,True,True
2023-07-24,4554.640137,4506.58,4566.78,4570.0,4505.0,2.45,245.0,True,True,True
