BarIdx,BarTime,Open,Close,High,Low,MinDelta,MaxDelta,Delta,DurationSec,DeltaRate,UnfHigh,UnfLow
788,2026-07-31 08:31:36,7506.75,7508.25,7509.75,7505.75,-473,111,-469,60.3,-7.77,7509.75,0
789,2026-07-31 08:32:36,7508.25,7511,7513.5,7508,-147,373,-116,56.9,-2.04,7513.5,0
790,2026-07-31 08:33:33,7511,7514.25,7514.5,7509,-523,52,-378,68.4,-5.53,0,0
791,2026-07-31 08:34:42,7514.25,7513,7515.5,7510.25,-173,258,-10,60.2,-0.17,0,0
792,2026-07-31 08:35:42,7513,7512,7514.75,7509.25,-399,24,-204,72.3,-2.82,0,0
793,2026-07-31 08:36:54,7512,7508.75,7512.75,7506,-402,106,-16,68.0,-0.24,0,7506
794,2026-07-31 08:38:02,7508.75,7502.25,7509.25,7500.75,-409,94,-209,60.8,-3.44,0,0
795,2026-07-31 08:39:03,7502.25,7493.25,7502.25,7493,-430,136,-424,56.7,-7.48,7502.25,0
796,2026-07-31 08:40:00,7493.25,7487,7494,7487,-131,217,147,44.7,3.29,0,0
797,2026-07-31 08:40:44,7487,7489,7493.5,7486.75,-90,365,350,74.0,4.73,7493.5,0
798,2026-07-31 08:41:58,7489,7487.25,7489.5,7482.75,-334,80,-214,70.9,-3.02,0,0
799,2026-07-31 08:43:09,7487.25,7487.25,7488.5,7479.75,-565,5,-108,60.5,-1.79,0,0
800,2026-07-31 08:44:10,7487.5,7482.75,7489.5,7482.25,-173,150,56,63.7,0.88,0,7482.25
801,2026-07-31 08:45:14,7482.5,7481.25,7487.75,7478,-333,263,-220,45.2,-4.87,7487.75,0
802,2026-07-31 08:45:59,7481.25,7480.5,7481.75,7477.25,-253,68,-4,49.6,-0.08,7481.75,0
803,2026-07-31 08:46:48,7480.5,7479.25,7482.5,7477.75,-190,123,-126,53.7,-2.35,0,7477.75
804,2026-07-31 08:47:42,7479.25,7474.5,7479.75,7474.25,-451,74,-334,59.7,-5.59,0,0
805,2026-07-31 08:48:42,7474.5,7472,7477.75,7471.5,-372,20,-224,40.8,-5.49,7477.75,0
806,2026-07-31 08:49:23,7472,7470.25,7476.25,7470,-15,417,40,41.9,0.95,0,0
807,2026-07-31 08:50:05,7470.25,7474.75,7476,7470.25,-16,442,326,46.8,6.97,7476,7470.25
808,2026-07-31 08:50:51,7474.75,7475.5,7477,7470.75,-75,337,159,43.1,3.68,0,0
