date,symbol,cr0,ps0,hvl0,gw0,d1_min,d1_max
2026-04-02,NQ,24200.0,23880.0,24060.0,,23867.01,24571.99
2026-04-06,NQ,24500.0,24000.0,24290.0,,23995.71,24703.79
2026-04-07,NQ,24500.0,23500.0,24175.0,,24030.01,24768.49
2026-04-08,NQ,25100.0,25020.0,24390.0,,24705.58,25372.42
2026-04-09,NQ,25250.0,24750.0,24740.0,,24931.4,25558.1
2026-04-10,NQ,25450.0,24875.0,24390.0,,25022.6,25643.4
2026-04-13,NQ,25450.0,25200.0,24740.0,,25283.76,25887.24
2026-04-14,NQ,26000.0,25660.0,24740.0,,25681.26,26298.74
2026-04-15,NQ,26350.0,25850.0,25290.0,,26036.73,26682.27
2026-04-16,NQ,26500.0,26325.0,25290.0,,26146.56,26781.94
2026-04-17,NQ,26650.0,26075.0,25290.0,,26516.74,27164.76
2026-04-20,NQ,26800.0,26650.0,25490.0,,26449.19,27099.31
2026-04-21,NQ,26960.0,26600.0,26490.0,,26384.56,27057.94
2026-04-22,NQ,27150.0,26900.0,25740.0,,26765.51,27447.49
2026-04-23,NQ,27000.0,26800.0,26490.0,,26601.75,27283.75
2026-04-24,NQ,27700.0,26600.0,25730.0,,27092.36,27788.14
2026-04-27,NQ,27440.0,27200.0,26490.0,,27076.19,27760.81
2026-04-28,NQ,27375.0,27000.0,27040.0,,26850.87,27532.13
2026-04-29,NQ,27500.0,26775.0,27190.0,,26792.41,27505.09
2026-04-30,NQ,27700.0,27400.0,27240.0,,27267.53,27929.47
2026-06-01,NQ,30480.0,30300.0,30390.0,180.0,30322.31,30722.69
2026-06-02,NQ,30670.0,30650.0,30660.0,20.0,30344.9,31141.1
2026-06-04,NQ,30700.0,29900.0,30340.0,800.0,30026.18,30772.82
2026-06-05,NQ,29700.0,28700.0,30180.0,1000.0,28299.51,29358.99
2026-06-08,NQ,29140.0,29000.0,29440.0,140.0,28957.82,29912.68
2026-06-09,NQ,29660.0,28500.0,28975.0,1160.0,28601.01,29679.99
2026-06-10,NQ,28975.0,28000.0,28830.0,975.0,27843.54,29100.46
2026-06-11,NQ,30100.0,29775.0,29800.0,325.0,29226.53,30204.47
2026-06-12,NQ,30100.0,29775.0,29800.0,325.0,29511.67,30422.83
2026-06-15,NQ,31000.0,30000.0,29975.0,1000.0,30380.82,31283.18
2026-06-16,NQ,30750.0,30200.0,30225.0,550.0,29846.09,30754.91
2026-06-17,NQ,30340.0,29900.0,30210.0,440.0,29677.57,30605.93
2026-06-18,NQ,30500.0,30425.0,30490.0,75.0,30272.09,31180.91
2026-06-23,NQ,30170.0,29600.0,29990.0,570.0,29237.06,30266.94
2026-06-24,NQ,30120.0,29150.0,29825.0,970.0,29601.57,30588.93
2026-06-25,NQ,30100.0,29500.0,29950.0,600.0,29250.47,30268.03
2026-06-26,NQ,29750.0,29000.0,29900.0,750.0,28776.37,29789.63
2026-06-29,NQ,30500.0,29000.0,29820.0,1500.0,29498.66,30491.34
2026-06-30,NQ,30600.0,29000.0,30090.0,1600.0,30035.81,30965.69
