ts,trade_id,unreal_pnl,mid,vix
2026-08-25 08:56:08,xsp_auto_20260825_084230,0.5,-0.015,15.13
2026-08-25 08:56:08,xsp_auto_20260825_084252,-9.0,-0.37,15.13
2026-08-25 08:56:34,xsp_auto_20260825_084230,0.0,-0.02,15.13
2026-08-25 08:56:34,xsp_auto_20260825_084252,-5.0,-0.33,15.13
2026-08-25 08:57:00,xsp_auto_20260825_084230,0.5,-0.015,15.13
2026-08-25 08:57:00,xsp_auto_20260825_084252,-5.5,-0.335,15.13
2026-08-25 08:57:26,xsp_auto_20260825_084230,0.5,-0.015,15.13
2026-08-25 08:57:26,xsp_auto_20260825_084252,-5.5,-0.335,15.13
2026-08-25 08:57:52,xsp_auto_20260825_084230,0.5,-0.015,15.82
2026-08-25 08:57:52,xsp_auto_20260825_084252,-7.0,-0.35,15.82
2026-08-25 08:58:18,xsp_auto_20260825_084230,0.5,-0.015,15.82
2026-08-25 08:58:18,xsp_auto_20260825_084252,-7.5,-0.355,15.82
2026-08-25 08:58:44,xsp_auto_20260825_084230,1.0,-0.01,15.82
2026-08-25 08:58:44,xsp_auto_20260825_084252,-10.0,-0.38,15.82
2026-08-25 08:59:10,xsp_auto_20260825_084230,0.5,-0.015,15.85
2026-08-25 08:59:10,xsp_auto_20260825_084252,-8.5,-0.365,15.85
2026-08-25 08:59:36,xsp_auto_20260825_084230,0.5,-0.015,15.85
2026-08-25 08:59:36,xsp_auto_20260825_084252,-9.0,-0.37,15.85
2026-08-25 09:00:02,xsp_auto_20260825_084230,0.5,-0.015,15.83
2026-08-25 09:00:02,xsp_auto_20260825_084252,-7.5,-0.355,15.83
2026-08-25 09:00:28,xsp_auto_20260825_084230,0.5,-0.015,15.83
2026-08-25 09:00:28,xsp_auto_20260825_084252,-7.0,-0.35,15.83
2026-08-25 09:00:54,xsp_auto_20260825_084230,0.5,-0.015,15.83
2026-08-25 09:00:54,xsp_auto_20260825_084252,-7.0,-0.35,15.83
2026-08-25 09:01:21,xsp_auto_20260825_084230,0.5,-0.015,15.82
2026-08-25 09:01:21,xsp_auto_20260825_084252,-9.0,-0.37,15.82
2026-08-25 09:01:47,xsp_auto_20260825_084230,0.5,-0.015,15.82
2026-08-25 09:01:47,xsp_auto_20260825_084252,-5.5,-0.335,15.82
2026-08-25 09:02:13,xsp_auto_20260825_084230,0.5,-0.015,15.79
2026-08-25 09:02:13,xsp_auto_20260825_084252,-5.5,-0.335,15.79
2026-08-25 09:02:39,xsp_auto_20260825_084230,0.5,-0.015,15.79
2026-08-25 09:02:39,xsp_auto_20260825_084252,-8.0,-0.36,15.79
2026-08-25 09:03:05,xsp_auto_20260825_084230,0.0,-0.02,15.79
2026-08-25 09:03:05,xsp_auto_20260825_084252,-9.5,-0.375,15.79
2026-08-25 09:03:31,xsp_auto_20260825_084230,1.0,-0.01,15.79
2026-08-25 09:03:31,xsp_auto_20260825_084252,-8.0,-0.36,15.79
2026-08-25 09:03:57,xsp_auto_20260825_084230,1.0,-0.01,15.79
2026-08-25 09:03:57,xsp_auto_20260825_084252,-13.0,-0.41,15.79
2026-08-25 09:04:23,xsp_auto_20260825_084230,1.0,-0.01,15.8
2026-08-25 09:04:23,xsp_auto_20260825_084252,-15.5,-0.435,15.8
2026-08-25 09:04:49,xsp_auto_20260825_084230,1.0,-0.01,15.8
2026-08-25 09:04:49,xsp_auto_20260825_084252,-12.0,-0.4,15.8
2026-08-25 09:05:15,xsp_auto_20260825_084230,1.0,-0.01,15.8
2026-08-25 09:05:15,xsp_auto_20260825_084252,-11.0,-0.39,15.8
2026-08-25 09:05:41,xsp_auto_20260825_084230,1.0,-0.01,15.81
2026-08-25 09:05:41,xsp_auto_20260825_084252,-8.0,-0.36,15.81
2026-08-25 09:06:29,xsp_auto_20260825_084230,1.0,-0.01,15.83
2026-08-25 09:06:29,xsp_auto_20260825_084252,-11.5,-0.395,15.83
2026-08-25 09:07:39,xsp_auto_20260825_084230,1.0,-0.01,15.82
2026-08-25 09:07:39,xsp_auto_20260825_084252,-17.5,-0.455,15.82
2026-08-25 09:07:39,xsp_auto_20260825_090642,-4.5,-0.745,15.82
2026-08-25 09:09:35,xsp_auto_20260825_084230,1.0,-0.01,15.82
2026-08-25 09:09:35,xsp_auto_20260825_084252,-14.5,-0.425,15.82
2026-08-25 09:09:35,xsp_auto_20260825_090642,-1.5,-0.715,15.82
2026-08-25 09:09:35,xsp_auto_20260825_090720,-3.5,-0.855,15.82
2026-08-25 09:09:35,xsp_auto_20260825_090742,-0.5,-0.235,15.82
2026-08-25 09:09:35,xsp_auto_20260825_090803,-12.0,-1.36,15.82
2026-08-25 09:10:35,xsp_auto_20260825_084230,1.0,-0.01,15.82
2026-08-25 09:10:35,xsp_auto_20260825_084252,-8.0,-0.36,15.82
2026-08-25 09:10:35,xsp_auto_20260825_090642,8.0,-0.62,15.82
2026-08-25 09:10:35,xsp_auto_20260825_090720,-12.0,-0.94,15.82
2026-08-25 09:10:35,xsp_auto_20260825_090742,2.0,-0.21,15.82
2026-08-25 09:10:35,xsp_auto_20260825_090803,-20.5,-1.445,15.82
2026-08-25 09:11:33,xsp_auto_20260825_084230,-48.0,-0.5,15.83
2026-08-25 09:11:33,xsp_auto_20260825_084252,-12.0,-0.4,15.83
